method,topology,seed,hotspot_node,peak_event_rate,initial_convergence_tick,active_node_ratio,total_emit_events_under_hotspot,weighted_mean_emit_distance,max_active_distance,p90_emit_radius,near_emit_share_h2,far_emit_share_h5,hotspot_emit_share,far_quiet_ratio_h5,outer_quiet_ratio_h3,distance_emit_correlation
snn_baseline,ba,91,8,17814,4,0.17,66,0.9242424242424242,1,1.0,1.0,0.0,0.07575757575757576,0.0,1.0,-0.7121851277133826
snn_full,ba,91,8,16560,4,0.2,60,0.95,1,1.0,1.0,0.0,0.05,0.0,1.0,-0.7765149345813572
ospf_te_t5,ba,91,8,39006,16,1.0,500,2.11,4,3.0,0.69,0.0,0.01,0.0,0.0,
ospf_te_t1,ba,91,8,39006,4,1.0,2100,2.11,4,3.0,0.69,0.0,0.01,0.0,0.0,
snn_baseline,ba,92,3,17808,4,0.35,138,0.9637681159420289,1,1.0,1.0,0.0,0.036231884057971016,0.0,1.0,-0.8708888976201973
snn_full,ba,92,3,16960,4,0.36,108,0.9722222222222222,1,1.0,1.0,0.0,0.027777777777777776,0.0,1.0,-0.8849871526767116
ospf_te_t5,ba,92,3,39006,16,1.0,500,1.72,3,2.0,0.91,0.0,0.01,0.0,0.0,
ospf_te_t1,ba,92,3,39006,4,1.0,2100,1.72,3,2.0,0.91,0.0,0.01,0.0,0.0,
snn_baseline,ba,93,3,18324,4,0.23,92,0.9456521739130435,1,1.0,1.0,0.0,0.05434782608695652,0.0,1.0,-0.7912970413437762
snn_full,ba,93,3,17186,4,0.27,81,0.9629629629629629,1,1.0,1.0,0.0,0.037037037037037035,0.0,1.0,-0.8659295716844574
ospf_te_t5,ba,93,3,39006,16,1.0,500,1.81,3,2.0,0.91,0.0,0.01,0.0,0.0,
ospf_te_t1,ba,93,3,39006,4,1.0,2100,1.81,3,2.0,0.91,0.0,0.01,0.0,0.0,
snn_baseline,ba,94,3,17800,4,0.28,112,0.9553571428571429,1,1.0,1.0,0.0,0.044642857142857144,0.0,1.0,-0.8474694053655031
snn_full,ba,94,3,16801,4,0.28,84,0.9642857142857143,1,1.0,1.0,0.0,0.03571428571428571,0.0,1.0,-0.8417024922778138
ospf_te_t5,ba,94,3,39006,16,1.0,500,1.86,3,3.0,0.85,0.0,0.01,0.0,0.0,
ospf_te_t1,ba,94,3,39006,4,1.0,2100,1.86,3,3.0,0.85,0.0,0.01,0.0,0.0,
snn_baseline,ba,95,1,18610,4,0.28,112,0.9553571428571429,1,1.0,1.0,0.0,0.044642857142857144,0.0,1.0,-0.8389578274116748
snn_full,ba,95,1,17151,4,0.28,84,0.9642857142857143,1,1.0,1.0,0.0,0.03571428571428571,0.0,1.0,-0.8336005402506584
ospf_te_t5,ba,95,1,39006,16,1.0,500,1.9,3,3.0,0.81,0.0,0.01,0.0,0.0,
ospf_te_t1,ba,95,1,39006,4,1.0,2100,1.9,3,3.0,0.81,0.0,0.01,0.0,0.0,
