method,topology,seed,hotspot_node,peak_event_rate,initial_convergence_tick,active_node_ratio,total_emit_events_under_hotspot,weighted_mean_emit_distance,max_active_distance,p90_emit_radius,near_emit_share_h2,far_emit_share_h5,hotspot_emit_share,far_quiet_ratio_h5,outer_quiet_ratio_h3,distance_emit_correlation
snn_baseline,rgg,121,10,19977,,0.16,65,0.9230769230769231,1,1.0,1.0,0.0,0.07692307692307693,1.0,1.0,-0.5999165027381885
snn_full,rgg,121,10,18002,,0.16,48,0.9375,1,1.0,1.0,0.0,0.0625,1.0,1.0,-0.5982993042444928
ospf_te_t5,rgg,121,10,15840,22,1.0,420,3.9238095238095236,8,7.0,0.30714285714285716,0.3976190476190476,0.011904761904761904,0.0,0.0,-0.029776753591660442
ospf_te_t1,rgg,121,10,75240,10,1.0,2100,3.93,8,7.0,0.31,0.4,0.01,0.0,0.0,
snn_baseline,rgg,122,94,21762,,0.01,5,0.0,0,0.0,1.0,0.0,1.0,1.0,1.0,-0.19338985857494548
snn_full,rgg,122,94,19356,,0.12,34,0.9117647058823529,1,1.0,1.0,0.0,0.08823529411764706,1.0,1.0,-0.5348374446555235
ospf_te_t5,rgg,122,94,15840,22,1.0,420,3.8119047619047617,8,7.0,0.29285714285714287,0.3619047619047619,0.009523809523809525,0.0,0.0,0.0632962104427291
ospf_te_t1,rgg,122,94,74448,10,1.0,2100,3.8,8,7.0,0.29,0.36,0.01,0.0,0.0,
snn_baseline,rgg,123,2,18448,,0.13,53,0.9056603773584906,1,1.0,1.0,0.0,0.09433962264150944,1.0,1.0,-0.6367191662452918
snn_full,rgg,123,2,17637,,0.13,39,0.9230769230769231,1,1.0,1.0,0.0,0.07692307692307693,1.0,1.0,-0.6353812686427566
ospf_te_t5,rgg,123,2,15444,29,1.0,420,4.766666666666667,9,8.0,0.2,0.5166666666666667,0.009523809523809525,0.0,0.0,0.12057769606264407
ospf_te_t1,rgg,123,2,70290,12,1.0,2100,4.74,9,8.0,0.2,0.51,0.01,0.0,0.0,
snn_baseline,rgg,124,34,20572,,0.1,40,0.875,1,1.0,1.0,0.0,0.125,1.0,1.0,-0.47458190760891666
snn_full,rgg,124,34,19099,,0.14,42,0.9285714285714286,1,1.0,1.0,0.0,0.07142857142857142,1.0,1.0,-0.5682090153860543
ospf_te_t5,rgg,124,34,15642,23,1.0,420,3.9214285714285713,9,7.0,0.27380952380952384,0.3619047619047619,0.009523809523809525,0.0,0.0,0.0566826524666368
ospf_te_t1,rgg,124,34,74448,10,1.0,2100,3.91,9,7.0,0.28,0.36,0.01,0.0,0.0,
snn_baseline,rgg,125,96,22033,,0.04,17,0.7058823529411765,1,1.0,1.0,0.0,0.29411764705882354,1.0,1.0,-0.33680920996207425
snn_full,rgg,125,96,19721,,0.06,18,0.8333333333333334,1,1.0,1.0,0.0,0.16666666666666666,1.0,1.0,-0.3992172337977956
ospf_te_t5,rgg,125,96,16533,23,1.0,420,3.407142857142857,7,5.0,0.3047619047619048,0.30238095238095236,0.009523809523809525,0.0,0.0,0.11124896482504362
ospf_te_t1,rgg,125,96,77022,10,1.0,2100,3.39,7,5.0,0.31,0.3,0.01,0.0,0.0,
