topology,seed,method,service_loss_ticks,service_loss_area,post_burst_active_ticks,recovery_failures,total_control_bytes,total_route_changes,route_changes_per_node,peak_route_changes_per_tick,peak_event_rate,mean_burst_delivery_ratio
er,121,bandit,4,1.785000000000006,91,2,90245696.0,573959,5739.59,8167.0,21681,0.9938639323133936
er,122,bandit,4,2.052500000000007,91,2,81882080.0,523027,5230.27,6877.0,19602,0.9948884065255407
er,123,bandit,4,1.897500000000006,91,2,90819584.0,612442,6124.42,8041.0,21483,0.9814112334338914
er,124,bandit,3,1.8000000000000052,91,2,86421056.0,565467,5654.67,7157.0,20889,0.9875722464873181
er,125,bandit,5,1.9025152724930843,91,2,85702784.0,547444,5474.44,6996.0,21483,0.948615225381022
er,121,ospf_te,5,2.2150000000000096,91,2,54070592.0,20527,205.27,2966.0,14058,0.9794476735371166
er,122,ospf_te,6,2.5675000000000123,91,2,48945152.0,20067,200.67,2512.0,12177,0.9846252495378666
er,123,ospf_te,11,3.529641138565267,91,2,54436672.0,22235,222.35,3012.0,12870,0.94228387170094
er,124,ospf_te,5,2.1925000000000088,91,2,51636448.0,20916,209.16,2874.0,13959,0.9646212603769655
er,125,ospf_te,9,2.3032657672282277,91,2,51345600.0,21017,210.17,2716.0,13167,0.9572271197661234
er,121,snn_sra,8,2.535494907854138,72,2,9637984.0,10071,100.71,5160.0,31265,0.9671176112846175
er,122,snn_sra,8,1.967398135906798,72,2,7103456.0,9661,96.61,4784.0,27276,0.9675092978996974
er,123,snn_sra,7,3.614147343032075,72,2,9830144.0,10209,102.09,5118.0,31161,0.9471931005945122
er,124,snn_sra,7,3.1918078217902752,72,2,10888608.0,10123,101.23,5062.0,29111,0.9551803600453725
er,125,snn_sra,7,2.7993579117461915,72,2,8240320.0,9975,99.75,5034.0,29596,0.9638847772810583
er,121,te_ecmp,5,2.2150000000000065,91,2,106069376.0,24241,242.41,3812.0,28419,0.988103758931977
er,122,te_ecmp,6,2.56750000000001,91,2,91781024.0,19587,195.87,3582.0,22668,1.0000000000000089
er,123,te_ecmp,8,2.2380181580337526,91,2,106883328.0,33046,330.46,3616.0,25867,0.9737140078093579
er,124,te_ecmp,5,2.192500000000008,91,2,98436000.0,32651,326.51,3949.0,27934,0.9826206484099044
er,125,te_ecmp,8,2.242169665137869,91,2,96086304.0,31312,313.12,3310.0,26477,0.9594541769191155
er,121,triggered_te,3,1.597500000000004,91,2,49975936.0,11855,118.55,5214.0,40179,0.9840811299728811
er,122,triggered_te,3,1.707500000000004,91,2,45845056.0,12249,122.49,4832.0,35508,0.9746944333482133
er,123,triggered_te,8,2.0274656325975786,91,2,50151328.0,12224,122.24,5172.0,40827,0.978587051289672
er,124,triggered_te,5,1.6573146031931714,91,2,47553856.0,11671,116.71,5126.0,38538,0.9896761926534882
er,125,triggered_te,15,2.6722430271994586,91,2,48625184.0,13032,130.32,5070.0,38430,0.8922475605423229
