topology,seed,method,tick,time_ms,burst_active,burst_multiplier,hotspot_pressure,delivery_ratio,control_messages,control_bytes,route_changes
er,121,bandit,0,0,0,1.0,0.0,0.02249999999999983,0.0,0.0,0.0
er,121,bandit,1,10,0,1.0,0.0,0.25749999999999756,8846.0,283072.0,3507.0
er,121,bandit,2,20,0,1.0,0.0,0.6524999999999976,13793.0,441376.0,4479.0
er,121,bandit,3,30,0,1.0,0.0,0.8824999999999992,18571.0,594272.0,6045.0
er,121,bandit,4,40,0,1.0,0.0,0.9599999999999997,21416.0,685312.0,8167.0
er,121,bandit,5,50,0,1.0,0.0,1.0,19404.0,620928.0,7486.0
er,121,bandit,6,60,0,1.0,0.0,1.0,20097.0,643104.0,5699.0
er,121,bandit,7,70,0,1.0,0.0,1.0,21681.0,693792.0,7231.0
er,121,bandit,8,80,0,1.0,0.0,1.0,19404.0,620928.0,7052.0
er,121,bandit,9,90,0,1.0,0.0,1.0,20097.0,643104.0,5455.0
er,121,bandit,10,100,0,1.0,0.0,1.0,21681.0,693792.0,6940.0
er,121,bandit,11,110,0,1.0,0.0,1.0,19404.0,620928.0,6249.0
er,121,bandit,12,120,0,1.0,0.0,1.0,20097.0,643104.0,4913.0
er,121,bandit,13,130,0,1.0,0.0,1.0,21681.0,693792.0,6330.0
er,121,bandit,14,140,0,1.0,0.0,1.0,19404.0,620928.0,5910.0
er,121,bandit,15,150,0,1.0,0.0,1.0,20097.0,643104.0,4681.0
er,121,bandit,16,160,0,1.0,0.0,1.0,21681.0,693792.0,5834.0
er,121,bandit,17,170,0,1.0,0.0,1.0,19404.0,620928.0,5496.0
er,121,bandit,18,180,0,1.0,0.0,1.0,20097.0,643104.0,4377.0
er,121,bandit,19,190,0,1.0,0.0,1.0,21681.0,693792.0,5732.0
er,121,bandit,20,200,0,1.0,0.0,1.0,19404.0,620928.0,5429.0
er,121,bandit,21,210,0,1.0,0.0,1.0,20097.0,643104.0,4263.0
er,121,bandit,22,220,0,1.0,0.0,1.0,21681.0,693792.0,5539.0
er,121,bandit,23,230,0,1.0,0.0,1.0,19404.0,620928.0,4855.0
er,121,bandit,24,240,0,1.0,0.0,1.0,20097.0,643104.0,4014.0
er,121,bandit,25,250,0,1.0,0.0,1.0,21681.0,693792.0,5331.0
er,121,bandit,26,260,0,1.0,0.0,1.0,19404.0,620928.0,4877.0
er,121,bandit,27,270,0,1.0,0.0,1.0,20097.0,643104.0,3863.0
er,121,bandit,28,280,0,1.0,0.0,1.0,21681.0,693792.0,5159.0
er,121,bandit,29,290,0,1.0,0.0,1.0,19404.0,620928.0,4657.0
er,121,bandit,30,300,1,3.0,0.0,0.9776814835523252,20097.0,643104.0,3767.0
er,121,bandit,31,310,1,3.0,0.19199999999999975,0.9684335512361159,21681.0,693792.0,5015.0
er,121,bandit,32,320,1,3.0,0.3479999999999995,0.9773727984344426,19404.0,620928.0,4511.0
er,121,bandit,33,330,1,3.0,0.3599999999999994,0.9894920445843617,20097.0,643104.0,3472.0
er,121,bandit,34,340,1,3.0,0.22799999999999931,0.9809197651663404,21681.0,693792.0,4541.0
er,121,bandit,35,350,1,3.0,0.3119999999999991,0.984767546411382,19404.0,620928.0,3962.0
er,121,bandit,36,360,1,3.0,0.287999999999999,0.985649054142205,20097.0,643104.0,3181.0
er,121,bandit,37,370,1,3.0,0.26399999999999885,0.9819239880523227,21681.0,693792.0,4544.0
er,121,bandit,38,380,1,3.0,0.31199999999999867,0.9891216760676875,19404.0,620928.0,3989.0
er,121,bandit,39,390,1,3.0,0.2159999999999986,0.9909141738887337,20097.0,643104.0,3170.0
er,121,bandit,40,400,1,3.0,0.15599999999999847,0.991530589329826,21681.0,693792.0,4392.0
er,121,bandit,41,410,1,3.0,0.13199999999999837,0.9903415188435075,19404.0,620928.0,3881.0
er,121,bandit,42,420,1,3.0,0.1439999999999982,0.9921722113502938,20097.0,643104.0,3191.0
er,121,bandit,43,430,1,3.0,0.11999999999999808,0.9910012511629401,21681.0,693792.0,4377.0
er,121,bandit,44,440,1,3.0,0.13199999999999792,0.9903415188435075,19404.0,620928.0,3869.0
er,121,bandit,45,450,1,3.0,0.1439999999999978,0.9969558599695589,20097.0,643104.0,3166.0
er,121,bandit,46,460,0,1.0,0.0479999999999977,1.0,21681.0,693792.0,4387.0
er,121,bandit,47,470,0,1.0,0.0,1.0,19404.0,620928.0,3888.0
er,121,bandit,48,480,0,1.0,0.0,1.0,20097.0,643104.0,3098.0
er,121,bandit,49,490,0,1.0,0.0,1.0,21681.0,693792.0,4378.0
er,121,bandit,50,500,0,1.0,0.0,1.0,19404.0,620928.0,3805.0
er,121,bandit,51,510,0,1.0,0.0,1.0,20097.0,643104.0,3178.0
er,121,bandit,52,520,0,1.0,0.0,1.0,21681.0,693792.0,4263.0
er,121,bandit,53,530,0,1.0,0.0,1.0,19404.0,620928.0,3944.0
er,121,bandit,54,540,0,1.0,0.0,1.0,20097.0,643104.0,3061.0
er,121,bandit,55,550,0,1.0,0.0,1.0,21681.0,693792.0,4360.0
er,121,bandit,56,560,0,1.0,0.0,1.0,19404.0,620928.0,3853.0
er,121,bandit,57,570,0,1.0,0.0,1.0,20097.0,643104.0,3163.0
er,121,bandit,58,580,0,1.0,0.0,1.0,21681.0,693792.0,4369.0
er,121,bandit,59,590,0,1.0,0.0,1.0,19404.0,620928.0,3922.0
er,121,bandit,60,600,1,3.0,0.0,1.0,20097.0,643104.0,3137.0
er,121,bandit,61,610,1,3.0,0.0,0.993150684931507,21681.0,693792.0,4357.0
er,121,bandit,62,620,1,3.0,0.08399999999999981,0.9957302971001604,19404.0,620928.0,3828.0
er,121,bandit,63,630,1,3.0,0.05999999999999968,0.9973415057416092,20097.0,643104.0,3187.0
er,121,bandit,64,640,1,3.0,0.03599999999999955,0.9907045009784737,21681.0,693792.0,4391.0
er,121,bandit,65,650,1,3.0,0.11999999999999936,0.9884417808219179,19404.0,620928.0,3850.0
er,121,bandit,66,660,1,3.0,0.16799999999999918,0.9909096647938894,20097.0,643104.0,3142.0
er,121,bandit,67,670,1,3.0,0.14399999999999905,0.9969558599695588,21681.0,693792.0,4324.0
er,121,bandit,68,680,1,3.0,0.04799999999999898,0.9981935872346834,19404.0,620928.0,3866.0
er,121,bandit,69,690,1,3.0,0.02399999999999885,1.0,20097.0,643104.0,3099.0
er,121,bandit,70,700,1,3.0,0.0,0.9960861056751471,21681.0,693792.0,4319.0
er,121,bandit,71,710,1,3.0,0.04799999999999983,0.9954634406689203,19404.0,620928.0,3823.0
er,121,bandit,72,720,1,3.0,0.05999999999999968,1.0,20097.0,643104.0,3121.0
er,121,bandit,73,730,1,3.0,0.0,1.0,21681.0,693792.0,4354.0
er,121,bandit,74,740,1,3.0,0.0,1.0,19404.0,620928.0,3796.0
er,121,bandit,75,750,1,3.0,0.0,1.0,20097.0,643104.0,3093.0
er,121,bandit,76,760,0,1.0,0.0,1.0,21681.0,693792.0,4294.0
er,121,bandit,77,770,0,1.0,0.0,1.0,19404.0,620928.0,3721.0
er,121,bandit,78,780,0,1.0,0.0,1.0,20097.0,643104.0,3108.0
er,121,bandit,79,790,0,1.0,0.0,1.0,21681.0,693792.0,4249.0
er,121,bandit,80,800,0,1.0,0.0,1.0,19404.0,620928.0,3771.0
er,121,bandit,81,810,0,1.0,0.0,1.0,20097.0,643104.0,3083.0
er,121,bandit,82,820,0,1.0,0.0,1.0,21681.0,693792.0,4312.0
er,121,bandit,83,830,0,1.0,0.0,1.0,19404.0,620928.0,3719.0
er,121,bandit,84,840,0,1.0,0.0,1.0,20097.0,643104.0,3106.0
er,121,bandit,85,850,0,1.0,0.0,1.0,21681.0,693792.0,4255.0
er,121,bandit,86,860,0,1.0,0.0,1.0,19404.0,620928.0,3734.0
er,121,bandit,87,870,0,1.0,0.0,1.0,20097.0,643104.0,3008.0
er,121,bandit,88,880,0,1.0,0.0,1.0,21681.0,693792.0,4291.0
er,121,bandit,89,890,0,1.0,0.0,1.0,19404.0,620928.0,3805.0
er,121,bandit,90,900,1,3.0,0.0,1.0,20097.0,643104.0,3078.0
er,121,bandit,91,910,1,3.0,0.0,1.0,21681.0,693792.0,4373.0
er,121,bandit,92,920,1,3.0,0.0,1.0,19404.0,620928.0,3843.0
er,121,bandit,93,930,1,3.0,0.0,1.0,20097.0,643104.0,3023.0
er,121,bandit,94,940,1,3.0,0.0,1.0,21681.0,693792.0,4262.0
er,121,bandit,95,950,1,3.0,0.0,1.0,19404.0,620928.0,3746.0
er,121,bandit,96,960,1,3.0,0.0,1.0,20097.0,643104.0,3088.0
er,121,bandit,97,970,1,3.0,0.0,0.999021526418787,21681.0,693792.0,4264.0
er,121,bandit,98,980,1,3.0,0.011999999999999851,1.0,19404.0,620928.0,3805.0
er,121,bandit,99,990,1,3.0,0.0,0.9960861056751471,20097.0,643104.0,3062.0
er,121,bandit,100,1000,1,3.0,0.04799999999999983,0.9981935872346834,21681.0,693792.0,4360.0
er,121,bandit,101,1010,1,3.0,0.023999999999999702,1.0,19404.0,620928.0,3709.0
er,121,bandit,102,1020,1,3.0,0.0,0.999021526418787,20097.0,643104.0,3099.0
er,121,bandit,103,1030,1,3.0,0.011999999999999851,1.0,21681.0,693792.0,4324.0
er,121,bandit,104,1040,1,3.0,0.0,0.9960861056751471,19404.0,620928.0,3779.0
er,121,bandit,105,1050,1,3.0,0.04799999999999983,0.9954634406689203,20097.0,643104.0,3070.0
er,121,bandit,106,1060,0,1.0,0.05999999999999968,1.0,21681.0,693792.0,4267.0
er,121,bandit,107,1070,0,1.0,0.0,1.0,19404.0,620928.0,3816.0
er,121,bandit,108,1080,0,1.0,0.0,1.0,20097.0,643104.0,2996.0
er,121,bandit,109,1090,0,1.0,0.0,1.0,21681.0,693792.0,4339.0
er,121,bandit,110,1100,0,1.0,0.0,1.0,19404.0,620928.0,3740.0
er,121,bandit,111,1110,0,1.0,0.0,1.0,20097.0,643104.0,2965.0
er,121,bandit,112,1120,0,1.0,0.0,1.0,21681.0,693792.0,4273.0
er,121,bandit,113,1130,0,1.0,0.0,1.0,19404.0,620928.0,3814.0
er,121,bandit,114,1140,0,1.0,0.0,1.0,20097.0,643104.0,3018.0
er,121,bandit,115,1150,0,1.0,0.0,1.0,21681.0,693792.0,4372.0
er,121,bandit,116,1160,0,1.0,0.0,1.0,19404.0,620928.0,3782.0
er,121,bandit,117,1170,0,1.0,0.0,1.0,20097.0,643104.0,3019.0
er,121,bandit,118,1180,0,1.0,0.0,1.0,21681.0,693792.0,4314.0
er,121,bandit,119,1190,0,1.0,0.0,1.0,19404.0,620928.0,3786.0
er,121,bandit,120,1200,0,1.0,0.0,1.0,20097.0,643104.0,3093.0
er,121,bandit,121,1210,0,1.0,0.0,1.0,21681.0,693792.0,4337.0
er,121,bandit,122,1220,0,1.0,0.0,1.0,19404.0,620928.0,3820.0
er,121,bandit,123,1230,0,1.0,0.0,1.0,20097.0,643104.0,2943.0
er,121,bandit,124,1240,0,1.0,0.0,1.0,21681.0,693792.0,4301.0
er,121,bandit,125,1250,0,1.0,0.0,1.0,19404.0,620928.0,3791.0
er,121,bandit,126,1260,0,1.0,0.0,1.0,20097.0,643104.0,3039.0
er,121,bandit,127,1270,0,1.0,0.0,1.0,21681.0,693792.0,4254.0
er,121,bandit,128,1280,0,1.0,0.0,1.0,19404.0,620928.0,3713.0
er,121,bandit,129,1290,0,1.0,0.0,1.0,20097.0,643104.0,3083.0
er,121,bandit,130,1300,0,1.0,0.0,1.0,21681.0,693792.0,4299.0
er,121,bandit,131,1310,0,1.0,0.0,1.0,19404.0,620928.0,3837.0
er,121,bandit,132,1320,0,1.0,0.0,1.0,20097.0,643104.0,3072.0
er,121,bandit,133,1330,0,1.0,0.0,1.0,21681.0,693792.0,4311.0
er,121,bandit,134,1340,0,1.0,0.0,1.0,19404.0,620928.0,3811.0
er,121,bandit,135,1350,0,1.0,0.0,1.0,20097.0,643104.0,3055.0
er,121,bandit,136,1360,0,1.0,0.0,1.0,21681.0,693792.0,4333.0
er,121,bandit,137,1370,0,1.0,0.0,1.0,19404.0,620928.0,3706.0
er,121,bandit,138,1380,0,1.0,0.0,1.0,20097.0,643104.0,3015.0
er,121,bandit,139,1390,0,1.0,0.0,1.0,21681.0,693792.0,4350.0
er,122,bandit,0,0,0,1.0,0.0,0.029999999999999773,0.0,0.0,0.0
er,122,bandit,1,10,0,1.0,0.0,0.2274999999999979,6995.0,223840.0,2858.0
er,122,bandit,2,20,0,1.0,0.0,0.4774999999999965,10916.0,349312.0,3519.0
er,122,bandit,3,30,0,1.0,0.0,0.8124999999999988,14974.0,479168.0,4922.0
er,122,bandit,4,40,0,1.0,0.0,0.9349999999999996,18813.0,602016.0,6877.0
