topology,seed,method,service_loss_ticks,service_loss_area,post_burst_active_ticks,recovery_failures,total_control_bytes,total_route_changes,route_changes_per_node,peak_route_changes_per_tick,peak_event_rate,mean_burst_delivery_ratio
rgg,121,bandit,103,21.839721664665117,91,2,107987648.0,383183,3831.83,7948.0,26136,0.6285033079247923
rgg,122,bandit,136,24.787987396144825,91,2,107644576.0,477630,4776.3,8921.0,25443,0.6370090102600986
rgg,123,bandit,131,40.91526563904199,91,2,100223264.0,332621,3326.21,7546.0,24354,0.35707128179989317
rgg,124,bandit,65,8.668755335063086,91,2,107126240.0,392410,3924.1,8436.0,26433,0.8104210253405856
rgg,125,bandit,76,25.83616380337101,91,2,111298752.0,430978,4309.78,9424.0,27522,0.5177938167379373
rgg,121,ospf_te,107,22.587503928030298,91,2,64014080.0,72248,722.48,1402.0,15840,0.6114177466210047
rgg,122,ospf_te,100,19.734857180168493,91,2,64096800.0,73660,736.6,1420.0,15840,0.6456750647572015
rgg,123,ospf_te,140,57.23216586170147,91,2,59073792.0,80125,801.25,1692.0,15444,0.2886518677428174
rgg,124,ospf_te,71,13.345474958174535,91,2,63753760.0,92387,923.87,1933.0,15642,0.7405258482500034
rgg,125,ospf_te,120,33.33086497606839,91,2,66341280.0,68101,681.01,1441.0,16533,0.46591792275993765
rgg,121,snn_sra,117,23.44277537627387,75,2,14122848.0,19310,193.1,1416.0,18002,0.6340834952632703
rgg,122,snn_sra,135,26.489287780834186,91,2,12805184.0,15933,159.33,1734.0,19356,0.5784586826335406
rgg,123,snn_sra,140,49.76871809024902,78,2,17223904.0,22970,229.7,1330.0,17637,0.3559962846757805
rgg,124,snn_sra,89,17.71381694702023,72,2,21632288.0,24672,246.72,1602.0,19099,0.6651808677660264
rgg,125,snn_sra,135,33.91842323194742,91,2,22377728.0,21666,216.66,1686.0,19721,0.463980104823931
rgg,121,te_ecmp,126,26.24566285000361,91,2,113963424.0,114360,1143.6,2110.0,33105,0.6313317401864551
rgg,122,te_ecmp,96,19.830018916524953,91,2,113547008.0,115647,1156.47,2658.0,35665,0.634948534617459
rgg,123,te_ecmp,136,47.288824210754576,91,2,90409344.0,131840,1318.4,1872.0,31823,0.33044238610838333
rgg,124,te_ecmp,80,16.604672250229818,91,2,98260544.0,134772,1347.72,2552.0,36792,0.6859282381064272
rgg,125,te_ecmp,131,43.64252554235505,91,2,129119040.0,106998,1069.98,2504.0,38883,0.4154777199252238
rgg,121,triggered_te,117,37.935895209303574,91,2,66064320.0,22198,221.98,1527.0,29683,0.5696688498061794
rgg,122,triggered_te,128,29.837673603429415,91,2,67109216.0,20737,207.37,1888.0,29863,0.5901034017477024
rgg,123,triggered_te,130,57.73671376052002,91,2,74424640.0,29419,294.19,1387.0,25923,0.2989400166011153
rgg,124,triggered_te,112,14.443106948036043,91,2,78247040.0,28204,282.04,1762.0,28333,0.7500818646104609
rgg,125,triggered_te,118,52.84111077217772,91,2,70226816.0,21697,216.97,1824.0,30338,0.35871182260627643
