topology,seed,method,tick,time_ms,burst_active,burst_multiplier,hotspot_pressure,delivery_ratio,control_messages,control_bytes,route_changes
rgg,121,bandit,0,0,0,1.0,0.0,0.08249999999999942,0.0,0.0,0.0
rgg,121,bandit,1,10,0,1.0,0.0,0.19749999999999823,5367.0,171744.0,2048.0
rgg,121,bandit,2,20,0,1.0,0.0,0.29499999999999715,5857.0,187424.0,1937.0
rgg,121,bandit,3,30,0,1.0,0.0,0.3724999999999963,9559.0,305888.0,1989.0
rgg,121,bandit,4,40,0,1.0,0.0,0.48749999999999655,12494.0,399808.0,4353.0
rgg,121,bandit,5,50,0,1.0,0.0,0.5424999999999969,11632.0,372224.0,5242.0
rgg,121,bandit,6,60,0,1.0,0.0,0.5999999999999973,17071.0,546272.0,4276.0
rgg,121,bandit,7,70,0,1.0,0.0,0.6624999999999978,18786.0,601152.0,7136.0
rgg,121,bandit,8,80,0,1.0,0.0,0.7349999999999982,16639.0,532448.0,7400.0
rgg,121,bandit,9,90,0,1.0,0.0,0.8174999999999988,21752.0,696064.0,6223.0
rgg,121,bandit,10,100,0,1.0,0.0,0.854999999999999,22301.0,713632.0,7948.0
rgg,121,bandit,11,110,0,1.0,0.0,0.8499999999999983,19814.0,634048.0,7737.0
rgg,121,bandit,12,120,0,1.0,0.0,0.8641666666666662,24058.0,769856.0,6608.0
rgg,121,bandit,13,130,0,1.0,0.0,0.9359722222222208,24707.0,790624.0,7610.0
rgg,121,bandit,14,140,0,1.0,0.0,0.9387676056338013,22350.0,715200.0,7138.0
rgg,121,bandit,15,150,0,1.0,0.0,0.9361188811188801,25226.0,807232.0,6376.0
rgg,121,bandit,16,160,0,1.0,0.0,0.9410227272727263,25850.0,827200.0,6706.0
rgg,121,bandit,17,170,0,1.0,0.0,0.942550125313283,23370.0,747840.0,6643.0
rgg,121,bandit,18,180,0,1.0,0.0,0.9692808219178076,25614.0,819648.0,5961.0
rgg,121,bandit,19,190,0,1.0,0.0,0.9525661838161824,26115.0,835680.0,6043.0
rgg,121,bandit,20,200,0,1.0,0.0,0.9618918918918911,23463.0,750816.0,5983.0
rgg,121,bandit,21,210,0,1.0,0.0,0.9763461538461538,25641.0,820512.0,5340.0
rgg,121,bandit,22,220,0,1.0,0.0,0.9670149253731332,26136.0,836352.0,5605.0
rgg,121,bandit,23,230,0,1.0,0.0,0.9642028985507243,23463.0,750816.0,5591.0
rgg,121,bandit,24,240,0,1.0,0.0,0.9829166666666667,25641.0,820512.0,5039.0
rgg,121,bandit,25,250,0,1.0,0.0,0.9703725961538453,26136.0,836352.0,5234.0
rgg,121,bandit,26,260,0,1.0,0.0,0.9640795206971664,23463.0,750816.0,5309.0
rgg,121,bandit,27,270,0,1.0,0.0,0.9843644067796601,25641.0,820512.0,4726.0
rgg,121,bandit,28,280,0,1.0,0.0,1.0,26136.0,836352.0,4916.0
rgg,121,bandit,29,290,0,1.0,0.0,1.0,23463.0,750816.0,5089.0
rgg,121,bandit,30,300,1,3.0,0.0,0.7190179666003552,25641.0,820512.0,4456.0
rgg,121,bandit,31,310,1,3.0,0.0,0.639241221264478,26136.0,836352.0,4692.0
rgg,121,bandit,32,320,1,3.0,0.0,0.5905516617182903,23463.0,750816.0,4609.0
rgg,121,bandit,33,330,1,3.0,0.0,0.5913574335035251,25641.0,820512.0,3208.0
rgg,121,bandit,34,340,1,3.0,0.0,0.6190375675606107,26136.0,836352.0,3549.0
rgg,121,bandit,35,350,1,3.0,0.0,0.5827516813115442,23463.0,750816.0,3072.0
rgg,121,bandit,36,360,1,3.0,0.0,0.6019817595340533,25641.0,820512.0,3072.0
rgg,121,bandit,37,370,1,3.0,0.0,0.6014470305335087,26136.0,836352.0,2708.0
rgg,121,bandit,38,380,1,3.0,0.0,0.5785379026219452,23463.0,750816.0,2735.0
rgg,121,bandit,39,390,1,3.0,0.0,0.5864497210685004,25641.0,820512.0,2487.0
rgg,121,bandit,40,400,1,3.0,0.0,0.5950485576009333,26136.0,836352.0,2741.0
rgg,121,bandit,41,410,1,3.0,0.0,0.5968719746827097,23463.0,750816.0,2514.0
rgg,121,bandit,42,420,1,3.0,0.0,0.6274694590739892,25641.0,820512.0,2166.0
rgg,121,bandit,43,430,1,3.0,0.0,0.6233145674887887,26136.0,836352.0,2541.0
rgg,121,bandit,44,440,1,3.0,0.0,0.6289445935975871,23463.0,750816.0,2400.0
rgg,121,bandit,45,450,1,3.0,0.0,0.6365965748405858,25641.0,820512.0,2105.0
rgg,121,bandit,46,460,0,1.0,0.0,0.6647612092048619,26136.0,836352.0,2525.0
rgg,121,bandit,47,470,0,1.0,0.0,0.6740089318219167,23463.0,750816.0,2258.0
rgg,121,bandit,48,480,0,1.0,0.0,0.6971868225600816,25641.0,820512.0,1936.0
rgg,121,bandit,49,490,0,1.0,0.0,0.7340368174694161,26136.0,836352.0,2022.0
rgg,121,bandit,50,500,0,1.0,0.0,0.7785034154509921,23463.0,750816.0,2243.0
rgg,121,bandit,51,510,0,1.0,0.0,0.8074741989457465,25641.0,820512.0,2153.0
rgg,121,bandit,52,520,0,1.0,0.0,0.8712225741352511,26136.0,836352.0,2057.0
rgg,121,bandit,53,530,0,1.0,0.0,0.9473275353773559,23463.0,750816.0,2426.0
rgg,121,bandit,54,540,0,1.0,0.0,0.9647151898734161,25641.0,820512.0,2092.0
