topology,seed,method,first_active_tick_after_impairment,impairment_relief_tick,impairment_mean_delivery_ratio,impairment_mean_control_bytes,impairment_peak_pressure,total_control_bytes
er,121,snn_sra,5,6,0.9331380554532164,27863.74193548387,1.8,7460544.0
er,121,ospf_te,0,0,0.9781543761627712,390174.96774193546,0.3456000000000005,46239296.0
er,121,triggered_te,0,0,0.983502981864609,334525.93548387097,1.3272,42783808.0
er,121,bandit,0,0,0.9689024716125558,653936.5161290322,1.2792000000000023,77161856.0
er,122,snn_sra,6,7,0.9583114315102881,9232.516129032258,1.7891999999999992,5261248.0
er,122,ospf_te,0,0,0.9909424260083439,357166.4516129032,0.5520000000000002,41823488.0
er,122,triggered_te,0,0,0.9953417214000121,304772.12903225806,0.38880000000000026,38951680.0
er,122,bandit,0,0,0.9992827468230694,594562.0645161291,0.04440000000000009,69995744.0
er,123,snn_sra,6,7,0.9039511377033627,14928.516129032258,1.8,6013472.0
er,123,ospf_te,0,3,0.9485732560019782,393956.12903225806,1.0632000000000004,46554688.0
er,123,triggered_te,0,7,0.9479359970210266,345199.48387096776,1.678799999999999,43644128.0
er,123,bandit,0,0,0.9650507254651903,657819.8709677419,1.0680000000000025,77678720.0
er,124,snn_sra,5,6,0.9209493275026881,34826.32258064516,1.8,7443616.0
er,124,ospf_te,0,0,0.981990360026875,377400.77419354836,0.3984000000000004,44134624.0
er,124,triggered_te,0,2,0.969534787262097,333544.2580645161,0.8472000000000001,41659200.0
er,124,bandit,0,0,0.9655233784866073,626548.6451612903,1.4244000000000023,73945472.0
er,125,snn_sra,0,9,0.9074395585431986,14652.90322580645,1.8,5784320.0
er,125,ospf_te,0,2,0.967399307154967,372597.67741935485,0.8124000000000003,43894464.0
er,125,triggered_te,0,7,0.9257025507441182,328278.70967741933,1.5779999999999994,41359520.0
er,125,bandit,0,0,0.9544578076557609,620519.2258064516,1.8,73350752.0
