topology,seed,method,tick,time_ms,gray_failure_active,delivery_ratio,control_bytes,degraded_node_pressure
er,121,snn_sra,0,0,0,0.02750000000000011,0.0,0.0
er,121,snn_sra,1,10,0,0.2775000000000008,650688.0,0.0
er,121,snn_sra,2,20,0,0.8275000000000002,1000480.0,0.0
er,121,snn_sra,3,30,0,1.0,164864.0,0.0
er,121,snn_sra,4,40,0,1.0,2208.0,0.0
er,121,snn_sra,5,50,0,1.0,650688.0,0.0
er,121,snn_sra,6,60,0,1.0,1000480.0,0.0
er,121,snn_sra,7,70,0,1.0,164864.0,0.0
er,121,snn_sra,8,80,0,1.0,2208.0,0.0
er,121,snn_sra,9,90,0,1.0,650688.0,0.0
er,121,snn_sra,10,100,0,1.0,1000480.0,0.0
er,121,snn_sra,11,110,0,1.0,0.0,0.0
er,121,snn_sra,12,120,0,1.0,0.0,0.0
er,121,snn_sra,13,130,0,1.0,0.0,0.0
er,121,snn_sra,14,140,0,1.0,0.0,0.0
er,121,snn_sra,15,150,0,1.0,0.0,0.0
er,121,snn_sra,16,160,0,1.0,0.0,0.0
er,121,snn_sra,17,170,0,1.0,0.0,0.0
er,121,snn_sra,18,180,0,1.0,0.0,0.0
er,121,snn_sra,19,190,0,1.0,0.0,0.0
er,121,snn_sra,20,200,0,1.0,0.0,0.0
er,121,snn_sra,21,210,0,1.0,0.0,0.0
er,121,snn_sra,22,220,0,1.0,0.0,0.0
er,121,snn_sra,23,230,0,1.0,0.0,0.0
er,121,snn_sra,24,240,0,1.0,0.0,0.0
er,121,snn_sra,25,250,0,1.0,0.0,0.0
er,121,snn_sra,26,260,0,1.0,0.0,0.0
er,121,snn_sra,27,270,0,1.0,0.0,0.0
er,121,snn_sra,28,280,0,1.0,0.0,0.0
er,121,snn_sra,29,290,0,1.0,0.0,0.0
er,121,snn_sra,30,300,0,1.0,0.0,0.0
er,121,snn_sra,31,310,0,1.0,0.0,0.0
er,121,snn_sra,32,320,0,1.0,0.0,0.0
er,121,snn_sra,33,330,0,1.0,0.0,0.0
er,121,snn_sra,34,340,0,1.0,0.0,0.0
er,121,snn_sra,35,350,0,1.0,0.0,0.0
er,121,snn_sra,36,360,0,1.0,0.0,0.0
er,121,snn_sra,37,370,0,1.0,0.0,0.0
er,121,snn_sra,38,380,0,1.0,0.0,0.0
er,121,snn_sra,39,390,0,1.0,0.0,0.0
er,121,snn_sra,40,400,1,0.7820454545454546,0.0,0.0
er,121,snn_sra,41,410,1,0.7170097875661806,0.0,0.3612
er,121,snn_sra,42,420,1,0.6841484360870208,0.0,0.7224
er,121,snn_sra,43,430,1,0.6640495591788327,0.0,1.0836
er,121,snn_sra,44,440,1,0.6504134436955012,0.0,1.4448
er,121,snn_sra,45,450,1,0.6405490213598248,34848.0,1.8
er,121,snn_sra,46,460,1,0.9482484940467462,21760.0,1.8
er,121,snn_sra,47,470,1,0.9483526947659353,56864.0,1.8
er,121,snn_sra,48,480,1,0.9461699416538126,40480.0,1.8
er,121,snn_sra,49,490,1,0.946292886150399,18336.0,1.8
er,121,snn_sra,50,500,1,1.0,43232.0,1.8
er,121,snn_sra,51,510,1,1.0,76704.0,1.8
er,121,snn_sra,52,520,1,1.0,37408.0,1.8
er,121,snn_sra,53,530,1,1.0,16224.0,1.8
er,121,snn_sra,54,540,1,1.0,18912.0,1.8
er,121,snn_sra,55,550,1,1.0,73472.0,1.8
er,121,snn_sra,56,560,1,1.0,55776.0,1.8
er,121,snn_sra,57,570,1,1.0,16224.0,1.8
er,121,snn_sra,58,580,1,1.0,15904.0,1.8
er,121,snn_sra,59,590,1,1.0,61056.0,1.8
er,121,snn_sra,60,600,1,1.0,10848.0,1.8
er,121,snn_sra,61,610,1,1.0,39776.0,1.8
er,121,snn_sra,62,620,1,1.0,14688.0,1.8
er,121,snn_sra,63,630,1,1.0,53440.0,1.8
er,121,snn_sra,64,640,1,1.0,10528.0,1.8
er,121,snn_sra,65,650,1,1.0,17760.0,1.8
er,121,snn_sra,66,660,1,1.0,14304.0,1.8
er,121,snn_sra,67,670,1,1.0,74432.0,1.8
er,121,snn_sra,68,680,1,1.0,10528.0,1.8
er,121,snn_sra,69,690,1,1.0,16224.0,1.8
