seed,method,burst_mean_delivery_ratio,burst_mean_loss_ratio,burst_mean_delay,burst_mean_emitted_this_tick,hotspot_peak_pressure,post_burst_mean_pressure,relief_tick_after_burst,total_emitted_updates,peak_event_rate
121,snn_sra,0.9552744996876528,0.044725500312349516,3.241304790952483,2348.4193548387098,1.8,0.045599999999999995,24,213109,16954
121,ospf_te,0.9535796837456161,0.04642031625438611,3.189295939023603,8807.806451612903,1.8,0.0,1,557414,39006
121,te_ecmp,0.9654742979973708,0.03452570200263045,3.172844587596498,11881.064516129032,1.290000000000001,0.0019100000000000044,3,768272,59696
121,bandit,0.9979014546450587,0.0020985453549413765,3.126310159470836,12582.58064516129,0.2879999999999994,0.0,1,986480,39006
122,snn_sra,0.8337347968698834,0.16626520313012264,3.630893877960271,2880.6129032258063,1.8,0.04223999999999997,24,223152,16984
122,ospf_te,0.9535860102105072,0.04641398978949416,3.382660986339418,8807.806451612903,1.0200000000000014,4.999999999999937e-05,1,554031,39006
122,te_ecmp,0.9303833170387698,0.06961668296123259,3.4293172206263853,11515.870967741936,1.7399999999999982,0.0033112499999999943,4,763366,62922
122,bandit,0.9871902235480655,0.012809776451934918,3.2954691390283544,12582.58064516129,0.647999999999999,9.99999999999952e-06,1,983097,39006
123,snn_sra,0.965057752269646,0.034942247730355695,3.231050604839337,1819.225806451613,1.8,0.036000000000000025,24,187504,16428
123,ospf_te,0.9744607973833117,0.02553920261668892,3.2277043468152877,8807.806451612903,1.8,0.0,1,554072,39006
123,te_ecmp,0.9908120323838107,0.009187967616190633,3.191921078027613,11981.451612903225,0.8700000000000013,0.0,1,795964,60964
123,bandit,0.9991935483870968,0.0008064516129032348,3.187749482803124,12582.58064516129,0.1199999999999998,0.0,1,983138,39006
124,snn_sra,0.9492157016867904,0.05078429831321173,3.420542395493228,2116.0967741935483,1.8,0.05519999999999994,24,203230,17381
124,ospf_te,0.9751283148672927,0.02487168513270808,3.294235450871251,8807.806451612903,1.1399999999999988,0.0,1,553715,39006
124,te_ecmp,0.9677504802039794,0.0322495197960228,3.326082868631988,12348.645161290322,1.4699999999999995,0.0019305357142857134,3,789556,62125
124,bandit,0.9983465391181482,0.0016534608818519218,3.26937282661653,12582.58064516129,0.17999999999999947,0.0,1,982781,39006
125,snn_sra,0.7295308979791708,0.2704691020208418,4.037794641270215,2922.7741935483873,1.8,0.10563499999999999,24,251246,16852
125,ospf_te,0.8283435022585932,0.17165649774141484,3.7386657337549543,8807.806451612903,1.8,0.007179999999999986,4,555464,39006
125,te_ecmp,0.8651846214451626,0.134815378554843,3.656890191654379,11441.387096774193,1.8,0.01799,5,740406,61818
125,bandit,0.9082362273235853,0.09176377267641724,3.5616433415243627,12582.58064516129,1.8,0.004445,6,984530,39006
