topology,mode,seed,tick,route_changes,phase
er,baseline,101,1,2752,pre
er,baseline,101,2,5046,pre
er,baseline,101,3,1464,pre
er,baseline,101,4,40,pre
er,baseline,101,5,0,pre
er,baseline,101,6,0,pre
er,baseline,101,7,0,pre
er,baseline,101,8,0,pre
er,baseline,101,9,0,pre
er,baseline,101,10,0,pre
er,baseline,101,11,0,pre
er,baseline,101,12,0,pre
er,baseline,101,13,0,pre
er,baseline,101,14,0,pre
er,baseline,101,15,0,stage1
er,baseline,101,16,0,stage1
er,baseline,101,17,0,stage1
er,baseline,101,18,95,stage1
er,baseline,101,19,245,stage1
er,baseline,101,20,0,stage1
er,baseline,101,21,0,stage1
er,baseline,101,22,0,stage1
er,baseline,101,23,0,stage1
er,baseline,101,24,0,stage1
er,baseline,101,25,0,stage1
er,baseline,101,26,0,stage1
er,baseline,101,27,0,stage1
er,baseline,101,28,0,stage1
er,baseline,101,29,0,stage1
er,baseline,101,30,0,stage1
er,baseline,101,31,245,pre
er,baseline,101,32,0,pre
er,baseline,101,33,0,pre
er,baseline,101,34,0,pre
er,baseline,101,35,0,pre
er,baseline,101,36,0,pre
er,baseline,101,37,0,pre
er,baseline,101,38,0,pre
er,baseline,101,39,0,pre
er,baseline,101,40,0,stage2
er,baseline,101,41,0,stage2
er,baseline,101,42,0,stage2
er,baseline,101,43,0,stage2
er,baseline,101,44,0,stage2
er,baseline,101,45,0,stage2
er,baseline,101,46,0,stage2
er,baseline,101,47,0,stage2
er,baseline,101,48,0,stage2
er,baseline,101,49,0,stage2
er,baseline,101,50,0,stage2
er,baseline,101,51,0,stage2
er,baseline,101,52,0,stage2
er,baseline,101,53,0,stage2
er,baseline,101,54,0,stage2
er,baseline,101,55,0,stage2
er,baseline,101,56,0,recovery
er,baseline,101,57,0,recovery
er,baseline,101,58,0,recovery
er,baseline,101,59,0,recovery
er,baseline,101,60,0,recovery
er,baseline,101,61,0,recovery
er,baseline,101,62,0,recovery
er,baseline,101,63,0,recovery
er,baseline,101,64,0,recovery
er,baseline,101,65,0,recovery
er,baseline,101,66,0,recovery
er,baseline,101,67,0,recovery
er,baseline,101,68,0,recovery
er,baseline,101,69,0,recovery
er,baseline,101,70,0,recovery
er,baseline,101,71,0,recovery
er,baseline,101,72,0,recovery
er,baseline,101,73,0,recovery
er,baseline,101,74,0,recovery
er,baseline,101,75,0,recovery
er,baseline,101,76,0,recovery
er,baseline,101,77,0,recovery
er,baseline,101,78,0,recovery
er,baseline,101,79,0,recovery
er,memory_only,101,1,2752,pre
er,memory_only,101,2,5046,pre
er,memory_only,101,3,1464,pre
er,memory_only,101,4,40,pre
er,memory_only,101,5,0,pre
er,memory_only,101,6,0,pre
er,memory_only,101,7,0,pre
er,memory_only,101,8,0,pre
er,memory_only,101,9,0,pre
er,memory_only,101,10,0,pre
er,memory_only,101,11,0,pre
er,memory_only,101,12,0,pre
er,memory_only,101,13,0,pre
er,memory_only,101,14,0,pre
er,memory_only,101,15,0,stage1
er,memory_only,101,16,0,stage1
er,memory_only,101,17,0,stage1
er,memory_only,101,18,0,stage1
er,memory_only,101,19,0,stage1
er,memory_only,101,20,225,stage1
er,memory_only,101,21,115,stage1
er,memory_only,101,22,0,stage1
er,memory_only,101,23,0,stage1
er,memory_only,101,24,0,stage1
er,memory_only,101,25,0,stage1
er,memory_only,101,26,0,stage1
er,memory_only,101,27,0,stage1
er,memory_only,101,28,0,stage1
er,memory_only,101,29,0,stage1
er,memory_only,101,30,0,stage1
er,memory_only,101,31,227,pre
er,memory_only,101,32,0,pre
er,memory_only,101,33,0,pre
er,memory_only,101,34,0,pre
er,memory_only,101,35,0,pre
er,memory_only,101,36,0,pre
er,memory_only,101,37,0,pre
er,memory_only,101,38,0,pre
er,memory_only,101,39,0,pre
er,memory_only,101,40,0,stage2
er,memory_only,101,41,0,stage2
er,memory_only,101,42,0,stage2
er,memory_only,101,43,0,stage2
er,memory_only,101,44,0,stage2
er,memory_only,101,45,0,stage2
er,memory_only,101,46,0,stage2
er,memory_only,101,47,0,stage2
er,memory_only,101,48,0,stage2
er,memory_only,101,49,0,stage2
