burst_multiplier,burst_route_changes,delivery_ratio,path_stretch,peak_event_rate,route_changes_per_node,scenario,seed,service_loss_ticks,total_control_bytes,variant
3.0,,0.9671176112846175,1.0545936700920426,31265.0,100.71,chaos,121,8,9637984.0,full
3.0,,0.9675092978996974,1.0113820688531394,27276.0,96.61,chaos,122,8,7103456.0,full
3.0,,0.9471931005945122,1.0545487509560143,31161.0,102.09,chaos,123,7,9830144.0,full
3.0,,0.9551803600453725,1.0562499875014206,29111.0,101.23,chaos,124,7,10888608.0,full
3.0,,0.9638847772810583,1.0609922290290656,29596.0,99.75,chaos,125,7,8240320.0,full
3.0,,0.9675509088926981,1.0332225261033783,44574.0,125.63,chaos,121,11,8291104.0,no_inhibition
3.0,,0.9635793484442573,1.0100901356999115,36623.0,125.58,chaos,122,3,6681856.0,no_inhibition
3.0,,0.9640911443331003,1.0526264603112876,45531.0,130.73,chaos,123,7,8724000.0,no_inhibition
3.0,,0.9709610510312512,1.0202308541951548,41001.0,125.07,chaos,124,9,7578272.0,no_inhibition
3.0,,0.969854511430592,1.0447057399077744,40323.0,122.51,chaos,125,10,7951168.0,no_inhibition
3.0,,0.9671176112846175,1.0545936700920426,31265.0,100.65,chaos,121,8,9631584.0,no_memory
3.0,,0.9675092978996974,1.0113820688531394,27276.0,96.69,chaos,122,8,7103264.0,no_memory
3.0,,0.9471931005945122,1.0537191705901443,31161.0,102.08,chaos,123,7,9829440.0,no_memory
3.0,,0.9549781780137295,1.0506902836849745,29111.0,101.63,chaos,124,7,10024320.0,no_memory
3.0,,0.9640624652848736,1.0592860472629977,29596.0,99.2,chaos,125,7,8110368.0,no_memory
3.0,,0.9671176112846175,1.0545936700920426,31265.0,100.72,chaos,121,8,9637984.0,no_slow
3.0,,0.9675092978996974,1.0113684645743994,27276.0,96.62,chaos,122,8,7086368.0,no_slow
3.0,,0.9471931005945122,1.0545487509560143,31161.0,102.12,chaos,123,7,9812224.0,no_slow
3.0,,0.9565427253674232,1.0572374560941225,29111.0,101.14,chaos,124,7,10882016.0,no_slow
3.0,,0.9638847772810583,1.0609806136799464,29596.0,99.88,chaos,125,7,8238368.0,no_slow
3.0,25.129032258064516,0.9476374717373911,1.054992056616684,,100.71,stress,121,,9971040.0,full
3.0,10.419354838709678,0.957579234725401,1.0109061768833714,,96.61,stress,122,,7270080.0,full
3.0,30.032258064516128,0.916765924798022,1.0525464731293837,,102.09,stress,123,,10158080.0,full
3.0,26.29032258064516,0.9292062461741295,1.0542357100952602,,101.23,stress,124,,11432928.0,full
3.0,18.258064516129032,0.9293558982875316,1.0678900642452365,,98.89,stress,125,,8704192.0,full
3.0,15.03225806451613,0.9480518081762577,1.0289785232580213,,125.63,stress,121,,8528352.0,no_inhibition
3.0,16.096774193548388,0.9528772086555707,1.0086046745898734,,125.9,stress,122,,6761984.0,no_inhibition
3.0,27.93548387096774,0.9434094551550644,1.0493351206721844,,130.73,stress,123,,8931808.0,no_inhibition
3.0,13.451612903225806,0.9400357047364659,1.0186643766664485,,125.07,stress,124,,7775264.0,no_inhibition
3.0,9.67741935483871,0.9533231144731747,1.0421204977214924,,122.51,stress,125,,8210432.0,no_inhibition
3.0,24.93548387096774,0.9476374717373911,1.054992056616684,,100.65,stress,121,,9962880.0,no_memory
3.0,10.64516129032258,0.957579234725401,1.0109061768833714,,96.68,stress,122,,7269824.0,no_memory
3.0,30.0,0.916765924798022,1.0518834429230797,,102.08,stress,123,,10158976.0,no_memory
3.0,27.580645161290324,0.9288931901251338,1.049730759858346,,101.63,stress,124,,10438368.0,no_memory
3.0,18.0,0.9395552790571743,1.0606911596310509,,98.8,stress,125,,8076064.0,no_memory
3.0,25.161290322580644,0.9476374717373911,1.054992056616684,,100.72,stress,121,,9971040.0,no_slow
3.0,10.451612903225806,0.957579234725401,1.0108851121937095,,96.62,stress,122,,7269632.0,no_slow
3.0,30.129032258064516,0.916765924798022,1.0525464731293837,,102.12,stress,123,,10142528.0,no_slow
3.0,26.0,0.9325698082808148,1.0561324718814142,,101.14,stress,124,,11404256.0,no_slow
3.0,18.225806451612904,0.9293558982875316,1.0678900642452365,,98.88,stress,125,,8704000.0,no_slow
