status,claim,location,source,metric,actual,expected,tolerance,unit
PASS,NEURA calm control,neura.tex shock-response text,shock_response_matrix_er_n100_s5_summary.csv,"snn_sra mean control, 300-390 ms",1.07712,1.1,0.15,KB / 10 ms
PASS,Triggered-TE calm control,neura.tex shock-response text,shock_response_matrix_er_n100_s5_summary.csv,"triggered_te mean control, 300-390 ms",311.161,311,2,KB / 10 ms
PASS,OSPF-TE calm control,neura.tex shock-response text,shock_response_matrix_er_n100_s5_summary.csv,"ospf_te mean control, 300-390 ms",377.879,378,2,KB / 10 ms
PASS,Bandit calm control,neura.tex shock-response text,shock_response_matrix_er_n100_s5_summary.csv,"bandit mean control, 300-390 ms",626.25,626,3,KB / 10 ms
PASS,NEURA delivery at shock onset,neura.tex shock-response text,shock_response_matrix_er_n100_s5_summary.csv,"snn_sra delivery_ratio_mean, tick 40",68.5083,68.5,0.15,%
PASS,NEURA delivery at 450 ms,neura.tex shock-response text,shock_response_matrix_er_n100_s5_summary.csv,"snn_sra delivery_ratio_mean, tick 45",96.6624,96.7,0.15,%
PASS,NEURA control at 450 ms,neura.tex shock-response text,shock_response_matrix_er_n100_s5_summary.csv,"snn_sra control_bytes_mean, tick 45",79.136,79,1,KB
PASS,Triggered-TE delivery at shock onset,neura.tex shock-response text,shock_response_matrix_er_n100_s5_summary.csv,"triggered_te delivery_ratio_mean, tick 40",89.6975,89.7,0.15,%
PASS,Triggered-TE delivery at 450 ms,neura.tex shock-response text,shock_response_matrix_er_n100_s5_summary.csv,"triggered_te delivery_ratio_mean, tick 45",95.4663,95.5,0.15,%
PASS,Triggered-TE control at 450 ms,neura.tex shock-response text,shock_response_matrix_er_n100_s5_summary.csv,"triggered_te control_bytes_mean, tick 45",318.573,319,2,KB
PASS,NEURA burst route changes,neura.tex shock-response text,shock_response_matrix_er_n100_s5_summary.csv,snn_sra mean route changes during burst,22.0258,22,0.5,changes / 10 ms
PASS,Triggered-TE burst route changes,neura.tex shock-response text,shock_response_matrix_er_n100_s5_summary.csv,triggered_te mean route changes during burst,11.8258,12,0.5,changes / 10 ms
PASS,OSPF-TE burst route changes,neura.tex shock-response text,shock_response_matrix_er_n100_s5_summary.csv,ospf_te mean route changes during burst,107.781,108,1,changes / 10 ms
PASS,Bandit burst route changes,neura.tex shock-response text,shock_response_matrix_er_n100_s5_summary.csv,bandit mean route changes during burst,3779.01,3779,5,changes / 10 ms
PASS,NEURA ER 0-hop update share,neura.tex blast-radius text,activation_locality_matrix_er_n100_s5_distance_profile.csv,snn_baseline,11.7337,11.7,0.15,%
PASS,NEURA ER 1-hop update share,neura.tex blast-radius text,activation_locality_matrix_er_n100_s5_distance_profile.csv,snn_baseline,88.2663,88.3,0.15,%
PASS,Triggered-TE ER 0-hop update share,neura.tex blast-radius text,activation_locality_matrix_er_n100_s5_distance_profile.csv,triggered_te,1.48517,1.5,0.15,%
