time_s,selected_path,queue_a_norm,queue_b_norm,accum,memory_a,memory_b,burst_active
0.200000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.300000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.400000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.500000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.600000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.700000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.800000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.900000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.000000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.100000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.200000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.300000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.400000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.500000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.600000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.700000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.800000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.900000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
2.000000,a,0.000000,0.000000,0.000000,0.000000,0.000000,1
2.100000,b,1.000000,0.000000,0.000000,0.250000,0.000000,1
2.200000,b,0.250000,0.000000,0.000000,0.287500,0.000000,1
2.300000,b,0.000000,0.000000,0.000000,0.258750,0.000000,1
2.400000,b,0.000000,0.000000,0.000000,0.232875,0.000000,1
2.500000,b,0.000000,0.000000,0.000000,0.209588,0.000000,1
2.600000,b,0.000000,0.000000,0.000000,0.188629,0.000000,1
2.700000,b,0.000000,0.000000,0.000000,0.169766,0.000000,1
2.800000,b,0.000000,0.000000,0.000000,0.152789,0.000000,1
2.900000,b,0.000000,0.000000,0.001123,0.137510,0.000000,1
3.000000,b,0.000000,0.000000,0.004999,0.123759,0.000000,1
3.100000,b,0.000000,0.000000,0.011008,0.111383,0.000000,1
3.200000,b,0.000000,0.000000,0.018636,0.100245,0.000000,1
3.300000,b,0.000000,0.000000,0.027453,0.090221,0.000000,1
3.400000,b,0.000000,0.000000,0.037107,0.081198,0.000000,1
3.500000,b,0.000000,0.000000,0.047308,0.073079,0.000000,1
3.600000,b,0.000000,0.000000,0.057819,0.065771,0.000000,1
3.700000,b,0.000000,0.000000,0.068450,0.059194,0.000000,1
3.800000,b,0.000000,0.000000,0.079048,0.053274,0.000000,1
3.900000,b,0.000000,0.000000,0.089494,0.047947,0.000000,1
4.000000,b,0.000000,0.000000,0.099693,0.043152,0.000000,1
4.100000,b,0.000000,0.000000,0.109574,0.038837,0.000000,1
4.200000,b,0.000000,0.000000,0.119085,0.034953,0.000000,1
4.300000,b,0.000000,0.000000,0.128188,0.031458,0.000000,1
4.400000,b,0.000000,0.000000,0.136860,0.028312,0.000000,1
4.500000,b,0.000000,0.000000,0.145086,0.025481,0.000000,1
4.600000,b,0.000000,0.000000,0.152860,0.022933,0.000000,1
4.700000,b,0.000000,0.000000,0.160182,0.020640,0.000000,1
4.800000,b,0.000000,0.000000,0.167060,0.018576,0.000000,1
4.900000,b,0.000000,0.000000,0.173502,0.016718,0.000000,1
5.000000,b,0.000000,0.000000,0.179522,0.015046,0.000000,0
5.100000,b,0.000000,0.000000,0.185135,0.013542,0.000000,0
5.200000,b,0.000000,0.000000,0.190360,0.012187,0.000000,0
5.300000,b,0.000000,0.000000,0.195213,0.010969,0.000000,0
5.400000,b,0.000000,0.000000,0.199714,0.009872,0.000000,0
5.500000,b,0.000000,0.000000,0.203883,0.008885,0.000000,0
5.600000,b,0.000000,0.000000,0.207738,0.007996,0.000000,0
5.700000,b,0.000000,0.000000,0.211298,0.007197,0.000000,0
5.800000,b,0.000000,0.000000,0.214582,0.006477,0.000000,0
5.900000,b,0.000000,0.000000,0.217608,0.005829,0.000000,0
6.000000,b,0.000000,0.000000,0.220393,0.005246,0.000000,0
6.100000,b,0.000000,0.000000,0.222955,0.004722,0.000000,0
6.200000,b,0.000000,0.000000,0.225308,0.004250,0.000000,0
6.300000,b,0.000000,0.000000,0.227468,0.003825,0.000000,0
6.400000,b,0.000000,0.000000,0.229449,0.003442,0.000000,0
6.500000,b,0.000000,0.000000,0.231264,0.003098,0.000000,0
6.600000,b,0.000000,0.000000,0.232927,0.002788,0.000000,0
6.700000,b,0.000000,0.000000,0.234449,0.002509,0.000000,0
6.800000,b,0.000000,0.000000,0.235841,0.002258,0.000000,0
6.900000,b,0.000000,0.000000,0.237113,0.002033,0.000000,0
7.000000,b,0.000000,0.000000,0.238275,0.001829,0.000000,1
7.100000,b,0.000000,0.000000,0.239337,0.001646,0.000000,1
7.200000,b,0.000000,0.000000,0.240305,0.001482,0.000000,1
7.300000,b,0.000000,0.000000,0.241188,0.001334,0.000000,1
7.400000,b,0.000000,0.000000,0.241994,0.001200,0.000000,1
7.500000,b,0.000000,0.000000,0.242728,0.001080,0.000000,1
7.600000,b,0.000000,0.000000,0.243396,0.000972,0.000000,1
7.700000,b,0.000000,0.000000,0.244005,0.000875,0.000000,1
7.800000,b,0.000000,0.000000,0.244559,0.000787,0.000000,1
7.900000,b,0.000000,0.000000,0.245063,0.000709,0.000000,1
8.000000,b,0.000000,0.000000,0.245522,0.000638,0.000000,1
8.100000,b,0.000000,0.000000,0.245938,0.000574,0.000000,1
8.200000,b,0.000000,0.000000,0.246317,0.000517,0.000000,1
8.300000,b,0.000000,0.000000,0.246662,0.000465,0.000000,1
8.400000,b,0.000000,0.000000,0.246974,0.000418,0.000000,1
8.500000,b,0.000000,0.000000,0.247258,0.000377,0.000000,1
8.600000,b,0.000000,0.000000,0.247516,0.000339,0.000000,1
8.700000,b,0.000000,0.000000,0.247750,0.000305,0.000000,1
8.800000,b,0.000000,0.000000,0.247962,0.000275,0.000000,1
8.900000,b,0.000000,0.000000,0.248155,0.000247,0.000000,1
9.000000,b,0.000000,0.000000,0.248330,0.000222,0.000000,1
9.100000,b,0.000000,0.000000,0.248488,0.000200,0.000000,1
9.200000,b,0.000000,0.000000,0.248632,0.000180,0.000000,1
9.300000,b,0.000000,0.000000,0.248762,0.000162,0.000000,1
9.400000,b,0.000000,0.000000,0.248880,0.000146,0.000000,1
9.500000,b,0.000000,0.000000,0.248987,0.000131,0.000000,1
9.600000,b,0.000000,0.000000,0.249083,0.000118,0.000000,1
9.700000,b,0.000000,0.000000,0.249171,0.000106,0.000000,1
9.800000,b,0.000000,0.000000,0.249250,0.000096,0.000000,1
9.900000,b,0.000000,0.000000,0.249322,0.000086,0.000000,1
10.000000,b,0.000000,0.000000,0.249387,0.000078,0.000000,0
10.100000,b,0.000000,0.000000,0.249446,0.000070,0.000000,0
10.200000,b,0.000000,0.000000,0.249499,0.000063,0.000000,0
10.300000,b,0.000000,0.000000,0.249548,0.000057,0.000000,0
10.400000,b,0.000000,0.000000,0.249591,0.000051,0.000000,0
10.500000,b,0.000000,0.000000,0.249631,0.000046,0.000000,0
10.600000,b,0.000000,0.000000,0.249666,0.000041,0.000000,0
10.700000,b,0.000000,0.000000,0.249699,0.000037,0.000000,0
10.800000,b,0.000000,0.000000,0.249728,0.000033,0.000000,0
