time_s,selected_path,queue_a_norm,queue_b_norm,accum,memory_a,memory_b,burst_active
0.200000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.300000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.400000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.500000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.600000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.700000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.800000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
0.900000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.000000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.100000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.200000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.300000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.400000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.500000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.600000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.700000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.800000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
1.900000,a,0.000000,0.000000,0.000000,0.000000,0.000000,0
2.000000,a,0.000000,0.000000,0.000000,0.000000,0.000000,1
2.100000,b,1.000000,0.000000,0.000000,0.250000,0.000000,1
2.200000,b,0.250000,0.000000,0.000000,0.287500,0.000000,1
2.300000,b,0.000000,0.000000,0.000000,0.258750,0.000000,1
2.400000,b,0.000000,0.000000,0.000000,0.232875,0.000000,1
2.500000,b,0.000000,0.000000,0.000000,0.209588,0.000000,1
2.600000,a,0.000000,0.000000,0.000000,0.188629,0.000000,1
2.700000,a,1.000000,0.000000,0.000000,0.419766,0.000000,1
2.800000,a,1.000000,0.000000,0.000000,0.627789,0.000000,1
2.900000,a,1.000000,0.000000,0.000000,0.815010,0.000000,1
3.000000,a,1.000000,0.000000,0.000000,0.983509,0.000000,1
3.100000,b,1.000000,0.000000,0.000000,1.135158,0.000000,1
3.200000,b,1.000000,0.000000,0.000000,1.271643,0.000000,1
3.300000,b,1.000000,0.000000,0.000000,1.394478,0.000000,1
3.400000,b,1.000000,0.000000,0.000000,1.505030,0.000000,1
3.500000,b,1.000000,0.000000,0.000000,1.604527,0.000000,1
3.600000,b,0.350000,0.000000,0.000000,1.531575,0.000000,1
3.700000,a,0.000000,0.000000,0.000000,1.378417,0.000000,1
3.800000,a,1.000000,0.000000,0.000000,1.490575,0.000000,1
3.900000,a,1.000000,0.000000,0.000000,1.591518,0.000000,1
4.000000,a,1.000000,0.000000,0.000000,1.682366,0.000000,1
4.100000,a,1.000000,0.000000,0.000000,1.764130,0.000000,1
4.200000,b,1.000000,0.000000,0.000000,1.837717,0.000000,1
4.300000,b,1.000000,0.000000,0.000000,1.903945,0.000000,1
4.400000,b,1.000000,0.000000,0.000000,1.963550,0.000000,1
4.500000,b,1.000000,0.000000,0.000000,2.017195,0.000000,1
4.600000,b,0.400000,0.000000,0.000000,1.915476,0.000000,1
4.700000,a,0.000000,0.000000,0.000000,1.723928,0.000000,1
4.800000,a,1.000000,0.000000,0.000000,1.801535,0.000000,1
4.900000,a,1.000000,0.000000,0.000000,1.871382,0.000000,1
5.000000,a,1.000000,0.000000,0.000000,1.934244,0.000000,0
5.100000,a,0.000000,0.000000,0.000000,1.740819,0.000000,0
5.200000,a,0.000000,0.000000,0.000000,1.566737,0.000000,0
5.300000,a,0.000000,0.000000,0.000000,1.410064,0.000000,0
5.400000,a,0.000000,0.000000,0.000000,1.269057,0.000000,0
5.500000,a,0.000000,0.000000,0.000000,1.142152,0.000000,0
5.600000,a,0.000000,0.000000,0.000000,1.027936,0.000000,0
5.700000,a,0.000000,0.000000,0.000000,0.925143,0.000000,0
5.800000,a,0.000000,0.000000,0.000000,0.832628,0.000000,0
5.900000,a,0.000000,0.000000,0.000000,0.749366,0.000000,0
6.000000,a,0.000000,0.000000,0.000000,0.674429,0.000000,0
6.100000,a,0.000000,0.000000,0.000000,0.606986,0.000000,0
6.200000,a,0.000000,0.000000,0.000000,0.546288,0.000000,0
6.300000,a,0.000000,0.000000,0.000000,0.491659,0.000000,0
6.400000,a,0.000000,0.000000,0.000000,0.442493,0.000000,0
6.500000,a,0.000000,0.000000,0.000000,0.398244,0.000000,0
6.600000,a,0.000000,0.000000,0.000000,0.358419,0.000000,0
6.700000,a,0.000000,0.000000,0.000000,0.322577,0.000000,0
6.800000,a,0.000000,0.000000,0.000000,0.290320,0.000000,0
6.900000,a,0.000000,0.000000,0.000000,0.261288,0.000000,0
7.000000,a,0.000000,0.000000,0.000000,0.235159,0.000000,1
7.100000,b,1.000000,0.000000,0.000000,0.461643,0.000000,1
7.200000,b,0.200000,0.000000,0.000000,0.465479,0.000000,1
7.300000,b,0.000000,0.000000,0.000000,0.418931,0.000000,1
7.400000,b,0.000000,0.000000,0.000000,0.377038,0.000000,1
7.500000,b,0.000000,0.000000,0.000000,0.339334,0.000000,1
7.600000,a,0.000000,0.000000,0.000000,0.305401,0.000000,1
7.700000,a,1.000000,0.000000,0.000000,0.524861,0.000000,1
7.800000,a,1.000000,0.000000,0.000000,0.722374,0.000000,1
7.900000,a,1.000000,0.000000,0.000000,0.900137,0.000000,1
8.000000,a,1.000000,0.000000,0.000000,1.060123,0.000000,1
8.100000,b,1.000000,0.000000,0.000000,1.204111,0.000000,1
8.200000,b,1.000000,0.000000,0.000000,1.333700,0.000000,1
8.300000,b,1.000000,0.000000,0.000000,1.450330,0.000000,1
8.400000,b,1.000000,0.000000,0.000000,1.555297,0.000000,1
8.500000,b,1.000000,0.000000,0.000000,1.649767,0.000000,1
8.600000,b,0.300000,0.000000,0.000000,1.559790,0.000000,1
8.700000,a,0.000000,0.000000,0.000000,1.403811,0.000000,1
8.800000,a,1.000000,0.000000,0.000000,1.513430,0.000000,1
8.900000,a,1.000000,0.000000,0.000000,1.612087,0.000000,1
9.000000,a,1.000000,0.000000,0.000000,1.700879,0.000000,1
9.100000,a,1.000000,0.000000,0.000000,1.780791,0.000000,1
9.200000,b,1.000000,0.000000,0.000000,1.852712,0.000000,1
9.300000,b,1.000000,0.000000,0.000000,1.917440,0.000000,1
9.400000,b,1.000000,0.000000,0.000000,1.975696,0.000000,1
9.500000,b,1.000000,0.000000,0.000000,2.028127,0.000000,1
9.600000,b,0.400000,0.000000,0.000000,1.925314,0.000000,1
9.700000,a,0.000000,0.000000,0.000000,1.732783,0.000000,1
9.800000,a,1.000000,0.000000,0.000000,1.809504,0.000000,1
9.900000,a,1.000000,0.000000,0.000000,1.878554,0.000000,1
10.000000,a,1.000000,0.000000,0.000000,1.940699,0.000000,0
10.100000,a,0.000000,0.000000,0.000000,1.746629,0.000000,0
10.200000,a,0.000000,0.000000,0.000000,1.571966,0.000000,0
10.300000,a,0.000000,0.000000,0.000000,1.414769,0.000000,0
10.400000,a,0.000000,0.000000,0.000000,1.273292,0.000000,0
10.500000,a,0.000000,0.000000,0.000000,1.145963,0.000000,0
10.600000,a,0.000000,0.000000,0.000000,1.031367,0.000000,0
10.700000,a,0.000000,0.000000,0.000000,0.928230,0.000000,0
10.800000,a,0.000000,0.000000,0.000000,0.835407,0.000000,0
