tick,kind,src,dst,bytes
0,data,9,5,12500
0,data,9,8,12500
0,data,13,17,12500
0,data,14,20,12500
0,data,15,18,12500
0,data,22,20,6250
1,data,1,4,12500
1,data,1,20,12500
1,data,1,24,12500
1,data,2,22,12500
1,data,4,1,12500
1,data,4,9,12500
1,data,7,4,12500
1,data,7,12,12500
1,data,7,16,12500
1,data,7,23,12500
1,data,8,13,25000
1,data,8,19,6250
1,data,9,5,25000
1,data,9,8,12500
1,data,9,20,12500
1,data,11,24,12500
1,data,12,20,12500
1,data,13,10,12500
1,data,13,17,12500
1,data,14,20,12500
1,data,15,18,12500
1,data,16,7,25000
1,data,16,14,12500
1,data,17,14,12500
1,data,19,2,25000
1,data,19,7,6250
1,data,20,1,12500
1,data,20,21,12500
1,data,21,19,12500
1,data,22,20,6250
1,data,24,1,12500
1,data,24,8,25000
1,data,24,17,12500
2,data,1,4,31250
2,data,1,20,12500
2,data,1,24,18750
2,data,2,22,25000
2,data,3,6,6250
2,data,3,12,25000
2,data,4,1,12500
2,data,4,7,25000
2,data,4,9,12500
2,data,4,19,12500
2,data,5,13,6250
2,data,6,3,12500
2,data,6,10,6250
2,data,7,4,12500
2,data,7,11,12500
2,data,7,16,25000
2,data,7,19,25000
2,data,7,23,25000
2,data,8,9,6250
2,data,8,13,25000
2,data,8,19,6250
2,data,9,3,6250
2,data,9,4,12500
2,data,9,5,25000
2,data,9,8,12500
2,data,9,16,6250
2,data,9,20,12500
2,data,11,15,12500
2,data,11,24,12500
2,data,12,16,12500
2,data,12,24,12500
2,data,13,10,12500
2,data,13,17,25000
2,data,13,22,6250
2,data,14,16,12500
2,data,14,18,50000
2,data,14,20,18750
2,data,15,18,12500
2,data,16,5,12500
2,data,16,7,50000
2,data,16,11,12500
2,data,16,14,18750
2,data,16,20,12500
2,data,17,14,37500
2,data,17,24,6250
2,data,19,2,50000
2,data,19,7,6250
2,data,20,1,31250
2,data,20,14,25000
2,data,20,16,12500
2,data,20,21,12500
2,data,21,19,12500
2,data,21,20,31250
2,data,22,2,6250
2,data,22,20,25000
2,data,23,17,12500
2,data,24,1,18750
2,data,24,8,25000
2,data,24,17,12500
3,data,1,4,37500
3,data,1,20,12500
3,data,1,24,18750
3,data,2,22,25000
3,data,3,6,18750
3,data,3,12,25000
3,data,4,1,12500
3,data,4,7,25000
3,data,4,9,12500
3,data,4,19,12500
3,data,5,13,6250
3,data,6,3,12500
3,data,6,10,6250
3,data,7,4,12500
3,data,7,11,12500
3,data,7,16,25000
3,data,7,19,12500
3,data,7,23,12500
3,data,8,9,6250
3,data,8,13,12500
3,data,8,19,18750
3,data,9,3,18750
3,data,9,4,12500
3,data,9,5,25000
3,data,9,8,25000
3,data,9,16,6250
3,data,9,20,12500
3,data,10,13,12500
3,data,11,15,12500
3,data,11,22,12500
3,data,11,24,12500
3,data,12,16,12500
3,data,12,24,12500
3,data,13,8,12500
3,data,13,10,12500
3,data,13,17,25000
3,data,13,22,6250
3,data,14,16,25000
3,data,14,18,50000
3,data,14,20,25000
3,data,15,18,12500
3,data,16,5,12500
3,data,16,7,25000
3,data,16,9,12500
3,data,16,11,25000
3,data,16,14,18750
3,data,16,17,12500
3,data,16,20,12500
3,data,17,13,12500
3,data,17,14,37500
3,data,17,23,12500
3,data,17,24,6250
3,data,18,14,18750
3,data,19,2,37500
3,data,19,7,6250
3,data,19,21,12500
3,data,20,1,37500
3,data,20,9,12500
3,data,20,14,25000
3,data,20,16,12500
3,data,20,21,12500
3,data,21,19,12500
3,data,21,20,43750
3,data,22,2,18750
3,data,22,20,25000
3,data,23,17,12500
3,data,24,1,18750
3,data,24,8,12500
3,data,24,17,25000
4,data,1,4,37500
4,data,1,20,12500
4,data,1,24,18750
4,data,2,22,25000
4,data,3,6,18750
4,data,3,12,25000
4,data,4,1,12500
4,data,4,7,25000
4,data,4,9,12500
4,data,4,19,12500
4,data,5,13,6250
4,data,6,3,12500
4,data,6,10,6250
4,data,7,4,12500
4,data,7,11,12500
4,data,7,16,25000
4,data,7,19,12500
4,data,7,23,12500
4,data,8,13,12500
4,data,8,19,18750
4,data,8,24,6250
4,data,9,3,18750
4,data,9,4,12500
4,data,9,5,25000
4,data,9,8,25000
4,data,9,20,12500
4,data,10,13,12500
4,data,11,15,12500
4,data,11,22,12500
4,data,11,24,12500
4,data,12,16,12500
4,data,12,24,12500
4,data,13,8,12500
4,data,13,10,12500
4,data,13,17,25000
4,data,13,22,6250
4,data,14,16,25000
4,data,14,18,50000
4,data,14,20,25000
4,data,15,18,12500
4,data,16,5,12500
4,data,16,7,25000
4,data,16,9,12500
4,data,16,11,25000
4,data,16,14,12500
4,data,16,17,12500
4,data,16,20,12500
4,data,17,13,12500
4,data,17,14,43750
4,data,17,23,12500
4,data,17,24,6250
4,data,18,14,18750
4,data,19,2,37500
4,data,19,7,6250
4,data,19,21,12500
4,data,20,1,37500
4,data,20,9,12500
4,data,20,14,25000
4,data,20,16,12500
4,data,20,21,12500
4,data,21,19,12500
4,data,21,20,43750
4,data,22,2,18750
4,data,22,20,25000
4,data,23,17,12500
4,data,24,1,18750
4,data,24,8,12500
4,data,24,17,31250
5,data,1,4,31250
5,data,1,20,12500
5,data,1,24,18750
5,data,2,22,25000
5,data,3,6,18750
5,data,3,12,25000
5,data,4,1,12500
5,data,4,7,25000
5,data,4,9,12500
5,data,4,19,12500
5,data,5,13,6250
5,data,6,3,12500
5,data,6,10,6250
5,data,7,4,18750
5,data,7,11,12500
5,data,7,16,25000
5,data,7,19,12500
5,data,7,23,12500
5,data,8,13,12500
5,data,8,19,18750
5,data,8,24,6250
5,data,9,3,18750
5,data,9,4,12500
5,data,9,5,25000
5,data,9,8,25000
5,data,9,20,12500
5,data,10,13,12500
5,data,10,15,12500
5,data,11,15,12500
5,data,11,22,12500
5,data,11,24,12500
5,data,12,16,12500
5,data,12,24,12500
5,data,13,8,12500
5,data,13,10,25000
5,data,13,17,12500
5,data,13,22,6250
5,data,14,16,25000
5,data,14,18,37500
5,data,14,20,25000
5,data,15,18,25000
5,data,16,5,12500
5,data,16,7,31250
5,data,16,9,12500
5,data,16,11,25000
5,data,16,14,12500
5,data,16,17,12500
5,data,16,20,12500
5,data,17,13,12500
5,data,17,14,31250
5,data,17,16,6250
5,data,17,23,12500
5,data,18,14,18750
5,data,19,2,37500
5,data,19,7,6250
5,data,19,21,12500
5,data,20,1,37500
5,data,20,9,12500
5,data,20,14,25000
5,data,20,16,12500
5,data,20,21,12500
5,data,21,19,12500
5,data,21,20,43750
5,data,22,2,18750
5,data,22,20,25000
5,data,23,17,12500
5,data,24,1,12500
5,data,24,8,12500
5,data,24,17,31250
6,data,1,4,31250
6,data,1,20,12500
6,data,1,24,18750
6,data,2,22,25000
6,data,3,6,18750
6,data,3,12,25000
6,data,4,1,12500
6,data,4,7,25000
6,data,4,9,12500
6,data,4,19,12500
6,data,5,13,6250
6,data,6,3,12500
6,data,6,10,6250
6,data,7,4,18750
6,data,7,11,12500
6,data,7,16,25000
6,data,7,19,12500
6,data,7,23,12500
6,data,8,13,12500
6,data,8,19,18750
6,data,8,24,6250
6,data,9,3,18750
6,data,9,4,12500
6,data,9,5,25000
6,data,9,8,25000
6,data,9,20,12500
6,data,10,13,12500
6,data,10,15,12500
6,data,11,15,12500
6,data,11,22,12500
6,data,11,24,12500
6,data,12,16,12500
6,data,12,24,12500
6,data,13,8,12500
6,data,13,10,25000
6,data,13,17,12500
6,data,13,22,6250
6,data,14,16,25000
6,data,14,18,37500
6,data,14,20,25000
6,data,15,18,25000
6,data,16,5,12500
6,data,16,7,31250
6,data,16,9,12500
6,data,16,11,25000
6,data,16,14,12500
6,data,16,17,12500
6,data,16,20,12500
6,data,17,13,12500
6,data,17,14,31250
6,data,17,16,6250
6,data,17,23,12500
6,data,18,14,18750
6,data,19,2,37500
6,data,19,7,6250
6,data,19,21,12500
6,data,20,1,37500
6,data,20,9,12500
6,data,20,14,25000
6,data,20,16,12500
6,data,20,21,12500
6,data,21,19,12500
6,data,21,20,43750
6,data,22,2,18750
6,data,22,20,25000
6,data,23,17,12500
6,data,24,1,12500
6,data,24,8,12500
6,data,24,17,31250
7,data,1,4,31250
7,data,1,20,12500
7,data,1,24,18750
7,data,2,22,25000
7,data,3,6,18750
7,data,3,12,25000
7,data,4,1,12500
7,data,4,7,25000
7,data,4,9,12500
7,data,4,19,12500
7,data,5,13,6250
7,data,6,3,12500
7,data,6,10,6250
7,data,7,4,18750
7,data,7,11,12500
7,data,7,16,25000
7,data,7,19,12500
7,data,7,23,12500
7,data,8,13,12500
7,data,8,19,18750
7,data,8,24,6250
7,data,9,3,18750
7,data,9,4,12500
7,data,9,5,25000
7,data,9,8,25000
7,data,9,20,12500
7,data,10,13,12500
7,data,10,15,12500
7,data,11,15,12500
7,data,11,22,12500
7,data,11,24,12500
7,data,12,16,12500
7,data,12,24,12500
7,data,13,8,12500
7,data,13,10,25000
7,data,13,17,12500
7,data,13,22,6250
7,data,14,16,25000
7,data,14,18,37500
7,data,14,20,25000
7,data,15,18,25000
7,data,16,5,12500
7,data,16,7,31250
7,data,16,9,12500
7,data,16,11,25000
7,data,16,14,12500
7,data,16,17,12500
7,data,16,20,12500
7,data,17,13,12500
7,data,17,14,31250
7,data,17,16,6250
7,data,17,23,12500
7,data,18,14,18750
7,data,19,2,37500
7,data,19,7,6250
7,data,19,21,12500
7,data,20,1,37500
7,data,20,9,12500
7,data,20,14,25000
7,data,20,16,12500
7,data,20,21,12500
7,data,21,19,12500
7,data,21,20,43750
7,data,22,2,18750
7,data,22,20,25000
7,data,23,17,12500
7,data,24,1,12500
7,data,24,8,12500
7,data,24,17,31250
8,data,1,4,31250
8,data,1,20,12500
8,data,1,24,18750
8,data,2,22,25000
8,data,3,6,18750
8,data,3,12,25000
8,data,4,1,12500
8,data,4,7,25000
8,data,4,9,12500
8,data,4,19,12500
8,data,5,13,6250
8,data,6,3,12500
8,data,6,10,6250
8,data,7,4,18750
8,data,7,11,12500
8,data,7,16,25000
8,data,7,19,12500
8,data,7,23,12500
8,data,8,13,12500
8,data,8,19,18750
8,data,8,24,6250
8,data,9,3,18750
8,data,9,4,12500
8,data,9,5,25000
8,data,9,8,25000
8,data,9,20,12500
8,data,10,13,12500
8,data,10,15,12500
8,data,11,15,12500
8,data,11,22,12500
8,data,11,24,12500
8,data,12,16,12500
8,data,12,24,12500
8,data,13,8,12500
8,data,13,10,25000
8,data,13,17,12500
8,data,13,22,6250
8,data,14,16,25000
8,data,14,18,37500
8,data,14,20,25000
8,data,15,18,25000
8,data,16,5,12500
8,data,16,7,31250
8,data,16,9,12500
8,data,16,11,25000
8,data,16,14,12500
8,data,16,17,12500
8,data,16,20,12500
8,data,17,13,12500
8,data,17,14,31250
8,data,17,16,6250
8,data,17,23,12500
8,data,18,14,18750
8,data,19,2,37500
8,data,19,7,6250
8,data,19,21,12500
8,data,20,1,37500
8,data,20,9,12500
8,data,20,14,25000
8,data,20,16,12500
8,data,20,21,12500
8,data,21,19,12500
8,data,21,20,43750
8,data,22,2,18750
8,data,22,20,25000
8,data,23,17,12500
8,data,24,1,12500
8,data,24,8,12500
8,data,24,17,31250
9,data,1,4,31250
9,data,1,20,12500
9,data,1,24,18750
9,data,2,22,25000
9,data,3,6,18750
9,data,3,12,25000
9,data,4,1,12500
9,data,4,7,25000
9,data,4,9,12500
9,data,4,19,12500
9,data,5,13,6250
9,data,6,3,12500
9,data,6,10,6250
9,data,7,4,18750
9,data,7,11,12500
9,data,7,16,25000
9,data,7,19,12500
9,data,7,23,12500
9,data,8,13,12500
9,data,8,19,18750
9,data,8,24,6250
9,data,9,3,18750
9,data,9,4,12500
9,data,9,5,25000
9,data,9,8,25000
9,data,9,20,12500
9,data,10,13,12500
9,data,10,15,12500
9,data,11,15,12500
9,data,11,22,12500
9,data,11,24,12500
9,data,12,16,12500
9,data,12,24,12500
9,data,13,8,12500
9,data,13,10,25000
9,data,13,17,12500
9,data,13,22,6250
9,data,14,16,25000
9,data,14,18,37500
9,data,14,20,25000
9,data,15,18,25000
9,data,16,5,12500
9,data,16,7,31250
9,data,16,9,12500
9,data,16,11,25000
9,data,16,14,12500
9,data,16,17,12500
9,data,16,20,12500
9,data,17,13,12500
9,data,17,14,31250
9,data,17,16,6250
9,data,17,23,12500
9,data,18,14,18750
9,data,19,2,37500
9,data,19,7,6250
9,data,19,21,12500
9,data,20,1,37500
9,data,20,9,12500
9,data,20,14,25000
9,data,20,16,12500
9,data,20,21,12500
9,data,21,19,12500
9,data,21,20,43750
9,data,22,2,18750
9,data,22,20,25000
9,data,23,17,12500
9,data,24,1,12500
9,data,24,8,12500
9,data,24,17,31250
10,data,1,4,31250
10,data,1,20,12500
10,data,1,24,18750
10,data,2,22,25000
10,data,3,6,18750
10,data,3,12,25000
10,data,4,1,12500
10,data,4,7,25000
10,data,4,9,12500
10,data,4,19,12500
10,data,5,13,6250
10,data,6,3,12500
10,data,6,10,6250
10,data,7,4,18750
10,data,7,11,12500
10,data,7,16,25000
10,data,7,19,12500
10,data,7,23,12500
10,data,8,13,12500
10,data,8,19,18750
10,data,8,24,6250
10,data,9,3,18750
10,data,9,4,12500
10,data,9,5,25000
10,data,9,8,25000
10,data,9,20,12500
10,data,10,13,12500
10,data,10,15,12500
10,data,11,15,12500
10,data,11,22,12500
10,data,11,24,12500
10,data,12,16,12500
10,data,12,24,12500
10,data,13,8,12500
10,data,13,10,25000
10,data,13,17,12500
10,data,13,22,6250
10,data,14,16,25000
10,data,14,18,37500
10,data,14,20,25000
10,data,15,18,25000
10,data,16,5,12500
10,data,16,7,31250
10,data,16,9,12500
10,data,16,11,25000
10,data,16,14,12500
10,data,16,17,12500
10,data,16,20,12500
10,data,17,13,12500
10,data,17,14,31250
10,data,17,16,6250
10,data,17,23,12500
10,data,18,14,18750
10,data,19,2,37500
10,data,19,7,6250
10,data,19,21,12500
10,data,20,1,37500
10,data,20,9,12500
10,data,20,14,25000
10,data,20,16,12500
10,data,20,21,12500
10,data,21,19,12500
10,data,21,20,43750
10,data,22,2,18750
10,data,22,20,25000
10,data,23,17,12500
10,data,24,1,12500
10,data,24,8,12500
10,data,24,17,31250
11,data,1,4,31250
11,data,1,20,12500
11,data,1,24,18750
11,data,2,22,25000
11,data,3,6,18750
11,data,3,12,25000
11,data,4,1,12500
11,data,4,7,25000
11,data,4,9,12500
11,data,4,19,12500
11,data,5,13,6250
11,data,6,3,12500
11,data,6,10,6250
11,data,7,4,18750
11,data,7,11,12500
11,data,7,16,25000
11,data,7,19,12500
11,data,7,23,12500
11,data,8,13,12500
11,data,8,19,18750
11,data,8,24,6250
11,data,9,3,18750
11,data,9,4,12500
11,data,9,5,25000
11,data,9,8,25000
11,data,9,20,12500
11,data,10,13,12500
11,data,10,15,12500
11,data,11,15,12500
11,data,11,22,12500
11,data,11,24,12500
11,data,12,16,12500
11,data,12,24,12500
11,data,13,8,12500
11,data,13,10,25000
11,data,13,17,12500
11,data,13,22,6250
11,data,14,16,25000
11,data,14,18,37500
11,data,14,20,25000
11,data,15,18,25000
11,data,16,5,12500
11,data,16,7,31250
11,data,16,9,12500
11,data,16,11,25000
11,data,16,14,12500
11,data,16,17,12500
11,data,16,20,12500
11,data,17,13,12500
11,data,17,14,31250
11,data,17,16,6250
11,data,17,23,12500
11,data,18,14,18750
11,data,19,2,37500
11,data,19,7,6250
11,data,19,21,12500
11,data,20,1,37500
11,data,20,9,12500
11,data,20,14,25000
11,data,20,16,12500
11,data,20,21,12500
11,data,21,19,12500
11,data,21,20,43750
11,data,22,2,18750
11,data,22,20,25000
11,data,23,17,12500
11,data,24,1,12500
11,data,24,8,12500
11,data,24,17,31250
12,data,1,4,31250
12,data,1,20,12500
12,data,1,24,18750
12,data,2,22,25000
12,data,3,6,18750
12,data,3,12,25000
12,data,4,1,12500
12,data,4,7,25000
12,data,4,9,12500
12,data,4,19,12500
12,data,5,13,6250
12,data,6,3,12500
12,data,6,10,6250
12,data,7,4,18750
12,data,7,11,12500
12,data,7,16,25000
12,data,7,19,12500
12,data,7,23,12500
12,data,8,13,12500
12,data,8,19,18750
12,data,8,24,6250
12,data,9,3,18750
12,data,9,4,12500
12,data,9,5,25000
12,data,9,8,25000
12,data,9,20,12500
12,data,10,13,12500
12,data,10,15,12500
12,data,11,15,12500
12,data,11,22,12500
12,data,11,24,12500
12,data,12,16,12500
12,data,12,24,12500
12,data,13,8,12500
12,data,13,10,25000
12,data,13,17,12500
12,data,13,22,6250
12,data,14,16,25000
12,data,14,18,37500
12,data,14,20,25000
12,data,15,18,25000
12,data,16,5,12500
12,data,16,7,31250
12,data,16,9,12500
12,data,16,11,25000
12,data,16,14,12500
12,data,16,17,12500
12,data,16,20,12500
12,data,17,13,12500
12,data,17,14,31250
12,data,17,16,6250
12,data,17,23,12500
12,data,18,14,18750
12,data,19,2,37500
12,data,19,7,6250
12,data,19,21,12500
12,data,20,1,37500
12,data,20,9,12500
12,data,20,14,25000
12,data,20,16,12500
12,data,20,21,12500
12,data,21,19,12500
12,data,21,20,43750
12,data,22,2,18750
12,data,22,20,25000
12,data,23,17,12500
12,data,24,1,12500
12,data,24,8,12500
12,data,24,17,31250
13,data,1,4,31250
13,data,1,20,12500
13,data,1,24,18750
13,data,2,22,25000
13,data,3,6,18750
13,data,3,12,25000
13,data,4,1,12500
13,data,4,7,25000
13,data,4,9,12500
13,data,4,19,12500
13,data,5,13,6250
13,data,6,3,12500
13,data,6,10,6250
13,data,7,4,18750
13,data,7,11,12500
13,data,7,16,25000
13,data,7,19,12500
13,data,7,23,12500
13,data,8,13,12500
13,data,8,19,18750
13,data,8,24,6250
13,data,9,3,18750
13,data,9,4,12500
13,data,9,5,25000
13,data,9,8,25000
13,data,9,20,12500
13,data,10,13,12500
13,data,10,15,12500
13,data,11,15,12500
13,data,11,22,12500
13,data,11,24,12500
13,data,12,16,12500
13,data,12,24,12500
13,data,13,8,12500
13,data,13,10,25000
13,data,13,17,12500
13,data,13,22,6250
13,data,14,16,25000
13,data,14,18,37500
13,data,14,20,25000
13,data,15,18,25000
13,data,16,5,12500
13,data,16,7,31250
13,data,16,9,12500
13,data,16,11,25000
13,data,16,14,12500
13,data,16,17,12500
13,data,16,20,12500
13,data,17,13,12500
13,data,17,14,31250
13,data,17,16,6250
13,data,17,23,12500
13,data,18,14,18750
13,data,19,2,37500
13,data,19,7,6250
13,data,19,21,12500
13,data,20,1,37500
13,data,20,9,12500
13,data,20,14,25000
13,data,20,16,12500
13,data,20,21,12500
13,data,21,19,12500
13,data,21,20,43750
13,data,22,2,18750
13,data,22,20,25000
13,data,23,17,12500
13,data,24,1,12500
13,data,24,8,12500
13,data,24,17,31250
14,data,1,4,31250
14,data,1,20,12500
14,data,1,24,18750
14,data,2,22,25000
14,data,3,6,18750
14,data,3,12,25000
14,data,4,1,12500
14,data,4,7,25000
14,data,4,9,12500
14,data,4,19,12500
14,data,5,13,6250
14,data,6,3,12500
14,data,6,10,6250
14,data,7,4,18750
14,data,7,11,12500
14,data,7,16,25000
14,data,7,19,12500
14,data,7,23,12500
14,data,8,13,12500
14,data,8,19,18750
14,data,8,24,6250
14,data,9,3,18750
14,data,9,4,12500
14,data,9,5,25000
14,data,9,8,25000
14,data,9,20,12500
14,data,10,13,12500
14,data,10,15,12500
14,data,11,15,12500
14,data,11,22,12500
14,data,11,24,12500
14,data,12,16,12500
14,data,12,24,12500
14,data,13,8,12500
14,data,13,10,25000
14,data,13,17,12500
14,data,13,22,6250
14,data,14,16,25000
14,data,14,18,37500
14,data,14,20,25000
14,data,15,18,25000
14,data,16,5,12500
14,data,16,7,31250
14,data,16,9,12500
14,data,16,11,25000
14,data,16,14,12500
14,data,16,17,12500
14,data,16,20,12500
14,data,17,13,12500
14,data,17,14,31250
14,data,17,16,6250
14,data,17,23,12500
14,data,18,14,18750
14,data,19,2,37500
14,data,19,7,6250
14,data,19,21,12500
14,data,20,1,37500
14,data,20,9,12500
14,data,20,14,25000
14,data,20,16,12500
14,data,20,21,12500
14,data,21,19,12500
14,data,21,20,43750
14,data,22,2,18750
14,data,22,20,25000
14,data,23,17,12500
14,data,24,1,12500
14,data,24,8,12500
14,data,24,17,31250
15,data,1,4,93750
15,data,1,20,37500
15,data,1,24,56250
15,data,2,22,75000
15,data,3,6,56250
15,data,3,12,75000
15,data,4,1,37500
15,data,4,7,75000
15,data,4,9,37500
15,data,4,19,37500
15,data,5,13,18750
15,data,6,3,37500
15,data,6,10,18750
15,data,7,4,56250
15,data,7,11,37500
15,data,7,16,75000
15,data,7,19,37500
15,data,7,23,37500
15,data,8,13,37500
15,data,8,19,56250
15,data,8,24,18750
15,data,9,3,56250
15,data,9,4,37500
15,data,9,5,75000
15,data,9,8,75000
15,data,9,20,37500
15,data,10,13,37500
15,data,10,15,37500
15,data,11,15,37500
15,data,11,22,37500
15,data,11,24,37500
15,data,12,16,37500
15,data,12,24,37500
15,data,13,8,37500
15,data,13,10,75000
15,data,13,17,37500
15,data,13,22,18750
15,data,14,16,75000
15,data,14,18,112500
15,data,14,20,75000
15,data,15,18,75000
15,data,16,5,37500
15,data,16,7,93750
15,data,16,9,37500
15,data,16,11,75000
15,data,16,14,37500
15,data,16,17,37500
15,data,16,20,37500
15,data,17,13,37500
15,data,17,14,93750
15,data,17,16,18750
15,data,17,23,37500
15,data,18,14,56250
15,data,19,2,112500
15,data,19,7,18750
15,data,19,21,37500
15,data,20,1,112500
15,data,20,9,37500
15,data,20,14,75000
15,data,20,16,37500
15,data,20,21,37500
15,data,21,19,37500
15,data,21,20,131250
15,data,22,2,56250
15,data,22,20,75000
15,data,23,17,37500
15,data,24,1,37500
15,data,24,8,37500
15,data,24,17,93750
16,data,1,4,93750
16,data,1,20,37500
16,data,1,24,56250
16,data,2,22,75000
16,data,3,6,56250
16,data,3,12,75000
16,data,4,1,37500
16,data,4,7,75000
16,data,4,9,37500
16,data,4,19,37500
16,data,5,13,18750
16,data,6,3,37500
16,data,6,10,18750
16,data,7,4,56250
16,data,7,11,37500
16,data,7,16,75000
16,data,7,19,37500
16,data,7,23,37500
16,data,8,13,37500
16,data,8,19,56250
16,data,8,24,18750
16,data,9,3,56250
16,data,9,4,37500
16,data,9,5,75000
16,data,9,8,75000
16,data,9,20,37500
16,data,10,13,37500
16,data,10,15,37500
16,data,11,15,37500
16,data,11,22,37500
16,data,11,24,37500
16,data,12,16,37500
16,data,12,24,37500
16,data,13,8,37500
16,data,13,10,75000
16,data,13,17,37500
16,data,13,22,18750
16,data,14,16,75000
16,data,14,18,112500
16,data,14,20,75000
16,data,15,18,75000
16,data,16,5,37500
16,data,16,7,93750
16,data,16,9,37500
16,data,16,11,75000
16,data,16,14,37500
16,data,16,17,37500
16,data,16,20,37500
16,data,17,13,37500
16,data,17,14,93750
16,data,17,16,18750
16,data,17,23,37500
16,data,18,14,56250
16,data,19,2,112500
16,data,19,7,18750
16,data,19,21,37500
16,data,20,1,112500
16,data,20,9,37500
16,data,20,14,75000
16,data,20,16,37500
16,data,20,21,37500
16,data,21,19,37500
16,data,21,20,131250
16,data,22,2,56250
16,data,22,20,75000
16,data,23,17,37500
16,data,24,1,37500
16,data,24,8,37500
16,data,24,17,93750
17,data,1,4,93750
17,data,1,20,37500
17,data,1,24,56250
17,data,2,22,75000
17,data,3,6,56250
17,data,3,12,75000
17,data,4,1,37500
17,data,4,7,75000
17,data,4,9,37500
17,data,4,19,37500
17,data,5,13,18750
17,data,6,3,37500
17,data,6,10,18750
17,data,7,4,56250
17,data,7,11,37500
17,data,7,16,75000
17,data,7,19,37500
17,data,7,23,37500
17,data,8,13,37500
17,data,8,19,56250
17,data,8,24,18750
17,data,9,3,56250
17,data,9,4,37500
17,data,9,5,75000
17,data,9,8,75000
17,data,9,20,37500
17,data,10,13,37500
17,data,10,15,37500
17,data,11,15,37500
17,data,11,22,37500
17,data,11,24,37500
17,data,12,16,37500
17,data,12,24,37500
17,data,13,8,37500
17,data,13,10,75000
17,data,13,17,37500
17,data,13,22,18750
17,data,14,16,75000
17,data,14,18,112500
17,data,14,20,75000
17,data,15,18,75000
17,data,16,5,37500
17,data,16,7,93750
17,data,16,9,37500
17,data,16,11,75000
17,data,16,14,37500
17,data,16,17,37500
17,data,16,20,37500
17,data,17,13,37500
17,data,17,14,93750
17,data,17,16,18750
17,data,17,23,37500
17,data,18,14,56250
17,data,19,2,112500
17,data,19,7,18750
17,data,19,21,37500
17,data,20,1,112500
17,data,20,9,37500
17,data,20,14,75000
17,data,20,16,37500
17,data,20,21,37500
17,data,21,19,37500
17,data,21,20,131250
17,data,22,2,56250
17,data,22,20,75000
17,data,23,17,37500
17,data,24,1,37500
17,data,24,8,37500
17,data,24,17,93750
18,data,1,4,93750
18,data,1,20,37500
18,data,1,24,56250
18,data,2,22,75000
18,data,3,6,56250
18,data,3,12,75000
18,data,4,1,37500
18,data,4,7,75000
18,data,4,9,37500
18,data,4,19,37500
18,data,5,13,18750
18,data,6,3,37500
18,data,6,10,18750
18,data,7,4,56250
18,data,7,11,37500
18,data,7,16,75000
