time_s,selected_path,queue_a_norm,queue_b_norm,accum,memory_a,memory_b,burst_active
1.500000,b,1.000000,0.000000,0.000000,0.250000,0.000000,0
1.600000,b,0.000000,0.650000,0.000000,0.225000,0.162500,0
1.700000,b,0.000000,0.800000,0.000000,0.202500,0.346250,0
1.800000,b,0.000000,0.950000,0.000000,0.182250,0.549125,0
1.900000,b,0.000000,1.000000,0.000000,0.164025,0.744213,0
2.000000,b,0.000000,1.000000,0.000000,0.147623,0.919791,1
2.100000,b,0.000000,1.000000,0.000000,0.132860,1.077812,1
2.200000,a,0.000000,1.000000,0.000000,0.119574,1.220031,1
2.300000,a,1.000000,0.000000,0.000000,0.357617,1.098028,1
2.400000,a,1.000000,0.000000,0.000000,0.571855,0.988225,1
2.500000,a,1.000000,0.000000,0.000000,0.764670,0.889403,1
2.600000,a,1.000000,0.000000,0.000000,0.938203,0.800462,1
2.700000,a,1.000000,0.000000,0.000000,1.094382,0.720416,1
2.800000,a,1.000000,0.000000,0.000000,1.234944,0.648374,1
2.900000,a,1.000000,0.000000,0.000000,1.361450,0.583537,1
3.000000,b,1.000000,0.000000,0.000000,1.475305,0.525183,1
3.100000,b,1.000000,0.150000,0.000000,1.577774,0.510165,1
3.200000,b,1.000000,0.350000,0.000000,1.669997,0.546648,1
3.300000,b,1.000000,0.550000,0.000000,1.752997,0.629484,1
3.400000,b,1.000000,0.800000,0.000000,1.827697,0.766535,1
3.500000,b,1.000000,0.950000,0.000000,1.894928,0.927382,1
3.600000,b,1.000000,1.000000,0.000000,1.955435,1.084644,1
3.700000,b,1.000000,1.000000,0.000000,2.009891,1.226179,1
3.800000,b,1.000000,1.000000,0.000000,2.058902,1.353561,1
3.900000,b,1.000000,1.000000,0.000000,2.103012,1.468205,1
4.000000,a,0.450000,1.000000,0.000000,2.005211,1.571385,1
4.100000,a,1.000000,0.000000,0.000000,2.054690,1.414246,1
4.200000,a,1.000000,0.000000,0.000000,2.099221,1.272822,1
4.300000,a,1.000000,0.000000,0.000000,2.139299,1.145539,1
4.400000,a,1.000000,0.000000,0.000000,2.175369,1.030985,1
4.500000,a,1.000000,0.000000,0.000000,2.207832,0.927887,1
4.600000,a,1.000000,0.000000,0.000000,2.237049,0.835098,1
4.700000,b,1.000000,0.000000,0.000000,2.263344,0.751588,1
4.800000,b,1.000000,0.150000,0.000000,2.287009,0.713930,1
4.900000,b,1.000000,0.400000,0.000000,2.308309,0.742537,1
5.000000,b,1.000000,0.600000,0.000000,2.327478,0.818283,0
5.100000,b,0.000000,0.750000,0.000000,2.094730,0.923955,0
5.200000,b,0.000000,0.800000,0.000000,1.885257,1.031559,0
5.300000,b,0.000000,1.000000,0.000000,1.696731,1.178403,0
5.400000,a,0.000000,1.000000,0.000000,1.527058,1.310563,0
5.500000,a,0.650000,0.000000,0.000000,1.536852,1.179507,0
5.600000,a,0.800000,0.000000,0.000000,1.583167,1.061556,0
5.700000,a,1.000000,0.000000,0.000000,1.674850,0.955400,0
5.800000,a,1.000000,0.000000,0.000000,1.757365,0.859860,0
5.900000,a,1.000000,0.000000,0.000000,1.831629,0.773874,0
6.000000,a,1.000000,0.000000,0.000000,1.898466,0.696487,0
6.100000,a,1.000000,0.000000,0.000000,1.958619,0.626838,0
6.200000,b,1.000000,0.000000,0.000000,2.012757,0.564154,0
6.300000,b,0.000000,0.900000,0.000000,1.811482,0.732739,0
6.400000,b,0.000000,1.000000,0.000000,1.630333,0.909465,0
6.500000,b,0.000000,1.000000,0.000000,1.467300,1.068519,0
6.600000,b,0.000000,1.000000,0.000000,1.320570,1.211667,0
6.700000,b,0.000000,1.000000,0.000000,1.188513,1.340500,0
6.800000,b,0.000000,1.000000,0.000000,1.069662,1.456450,0
6.900000,a,0.000000,1.000000,0.000000,0.962696,1.560805,0
7.000000,a,0.900000,0.000000,0.000000,1.091426,1.404725,1
7.100000,a,1.000000,0.000000,0.000000,1.232283,1.264252,1
7.200000,a,1.000000,0.000000,0.000000,1.359055,1.137827,1
7.300000,a,1.000000,0.000000,0.000000,1.473150,1.024044,1
7.400000,a,1.000000,0.000000,0.000000,1.575835,0.921640,1
7.500000,a,1.000000,0.000000,0.000000,1.668251,0.829476,1
7.600000,a,1.000000,0.000000,0.000000,1.751426,0.746528,1
7.700000,b,1.000000,0.000000,0.000000,1.826283,0.671875,1
7.800000,b,1.000000,0.250000,0.000000,1.893655,0.667188,1
7.900000,b,1.000000,0.450000,0.000000,1.954290,0.712969,1
8.000000,b,1.000000,0.650000,0.000000,2.008861,0.804172,1
8.100000,b,1.000000,0.700000,0.000000,2.057975,0.898755,1
8.200000,b,1.000000,0.900000,0.000000,2.102177,1.033879,1
8.300000,b,1.000000,1.000000,0.000000,2.141959,1.180491,1
8.400000,b,1.000000,1.000000,0.000000,2.177763,1.312442,1
8.500000,b,1.000000,1.000000,0.000000,2.209987,1.431198,1
8.600000,b,0.650000,1.000000,0.111184,2.151488,1.538078,1
8.700000,a,0.000000,1.000000,0.000000,1.936340,1.634270,1
8.800000,a,1.000000,0.000000,0.000000,1.992706,1.470843,1
8.900000,a,1.000000,0.000000,0.000000,2.043435,1.323759,1
9.000000,a,1.000000,0.000000,0.000000,2.089092,1.191383,1
9.100000,a,1.000000,0.000000,0.000000,2.130182,1.072245,1
9.200000,a,1.000000,0.000000,0.000000,2.167164,0.965020,1
9.300000,a,1.000000,0.000000,0.000000,2.200448,0.868518,1
9.400000,b,1.000000,0.000000,0.000000,2.230403,0.781667,1
9.500000,b,1.000000,0.050000,0.000000,2.257363,0.716000,1
9.600000,b,1.000000,0.350000,0.000000,2.281626,0.731900,1
9.700000,b,1.000000,0.550000,0.000000,2.303464,0.796210,1
9.800000,b,1.000000,0.700000,0.000000,2.323117,0.891589,1
9.900000,b,1.000000,0.850000,0.000000,2.340806,1.014930,1
10.000000,b,0.500000,1.000000,0.105660,2.231725,1.163437,0
10.100000,a,0.000000,1.000000,0.000000,2.008553,1.297093,0
10.200000,a,0.600000,0.000000,0.000000,1.957697,1.167384,0
10.300000,a,0.750000,0.000000,0.000000,1.949428,1.050646,0
10.400000,a,0.900000,0.000000,0.000000,1.979485,0.945581,0
10.500000,a,1.000000,0.000000,0.000000,2.031536,0.851023,0
10.600000,a,1.000000,0.000000,0.000000,2.078383,0.765921,0
10.700000,a,1.000000,0.000000,0.000000,2.120544,0.689329,0
10.800000,b,1.000000,0.000000,0.000000,2.158490,0.620396,0
10.900000,b,0.000000,0.800000,0.000000,1.942641,0.758356,0
11.000000,b,0.000000,0.950000,0.000000,1.748377,0.920021,0
11.100000,b,0.000000,1.000000,0.000000,1.573539,1.078018,0
11.200000,b,0.000000,1.000000,0.000000,1.416185,1.220217,0
11.300000,b,0.000000,1.000000,0.000000,1.274567,1.348195,0
11.400000,b,0.000000,1.000000,0.000000,1.147110,1.463375,0
