time_s,old_cwnd_bytes,new_cwnd_bytes
0.704296,28944,29480
0.713736,29480,30016
0.723176,30016,30552
0.732616,30552,31088
0.742056,31088,31624
0.751496,31624,32160
0.760936,32160,32696
0.770376,32696,33232
0.779816,33232,33768
0.789256,33768,34304
0.791157,34304,33993
0.791629,33993,34218
0.792101,34218,34443
0.792573,34443,34668
0.793045,34668,34892
0.793517,34892,35117
0.793989,35117,35342
0.794461,35342,35567
0.794933,35567,35791
0.795405,35791,36016
0.795877,36016,36241
0.796349,36241,36466
0.796821,36466,36691
0.797293,36691,36915
0.797765,36915,37140
0.798237,37140,37365
0.798709,37365,37590
0.799181,37590,37814
0.799653,37814,38039
0.800125,38039,38264
0.800597,38264,38489
0.801069,38489,38714
0.801541,38714,38938
0.802013,38938,39163
0.802485,39163,39388
0.802957,39388,39613
0.803429,39613,39837
0.803901,39837,40062
0.804373,40062,40287
0.804845,40287,40512
0.805317,40512,40736
0.805789,40736,40581
0.806261,40581,40425
0.806733,40425,40270
0.807205,40270,40114
0.807677,40114,39958
0.808149,39958,39803
0.808621,39803,39647
0.809093,39647,39492
0.809565,39492,39336
0.810037,39336,39180
0.810509,39180,39025
0.810981,39025,38869
0.811453,38869,38714
0.811925,38714,38558
0.812397,38558,38402
0.812869,38402,38247
0.813341,38247,38091
0.813813,38091,37935
0.814285,37935,37780
0.814757,37780,37624
0.815229,37624,37469
0.815701,37469,37313
0.816173,37313,37157
0.816645,37157,37002
0.817117,37002,36846
0.817589,36846,36691
0.818061,36691,36535
0.818533,36535,36379
0.819005,36379,36224
0.819477,36224,36068
0.819949,36068,35912
0.820421,35912,35757
0.820880,35757,23584
0.820880,23584,24120
0.869968,24120,24656
0.910560,24656,25192
0.952096,25192,25728
0.994576,25728,26264
1.037056,26264,26800
1.081424,26800,27336
1.125792,27336,27872
1.172048,27872,28408
1.206045,28408,28114
1.206517,28114,28356
1.206989,28356,28598
1.207461,28598,28839
1.207933,28839,29081
1.208405,29081,29323
1.208877,29323,29565
1.209349,29565,29806
1.209821,29806,30048
1.210293,30048,30290
1.210765,30290,30531
1.211237,30531,30773
1.211709,30773,31015
1.212181,31015,31257
1.212653,31257,31498
1.213125,31498,31740
1.213597,31740,31982
1.214069,31982,32224
1.214541,32224,32465
1.215013,32465,32707
1.215485,32707,32949
1.215957,32949,33190
1.216429,33190,33432
1.216901,33432,33674
1.217373,33674,33916
1.217845,33916,34157
1.218317,34157,34010
1.218789,34010,33863
1.219261,33863,33716
1.219733,33716,33569
1.220205,33569,33422
1.220677,33422,33275
1.221149,33275,33127
1.221621,33127,32980
1.222093,32980,32833
1.222565,32833,32686
1.223037,32686,32539
1.223509,32539,32392
1.223981,32392,32245
1.224453,32245,32097
1.224925,32097,31950
1.225397,31950,31803
1.225869,31803,31656
1.226341,31656,31509
1.226813,31509,31362
1.227285,31362,31215
1.227757,31215,31067
1.228229,31067,30920
1.228701,30920,30773
1.229173,30773,30626
1.229645,30626,30479
1.230117,30479,30332
1.230576,30332,19832
1.230576,19832,20368
1.272112,20368,20904
1.307040,20904,21440
1.341968,21440,21976
1.377840,21976,22512
1.414656,22512,23048
1.452416,23048,23584
1.491120,23584,24120
1.510547,24120,12864
1.510957,12864,13400
1.511019,13400,13936
1.511429,13936,14472
1.511491,14472,15008
1.511901,15008,14472
1.511963,14472,15008
1.512373,15008,15544
1.512435,15544,16080
1.512845,16080,15544
1.512907,15544,16080
1.513317,16080,16616
1.521390,16616,17152
1.587942,17152,17688
1.617206,17688,18224
1.646470,18224,18760
1.677622,18760,19296
1.708774,19296,19832
1.741814,19832,20368
1.774854,20368,20904
1.809782,20904,21440
1.844710,21440,21976
1.880582,21976,22512
1.917398,22512,23048
1.955158,23048,23584
1.993862,23584,24120
2.011442,24120,13936
2.011811,13936,14472
2.011914,14472,15008
2.012283,15008,15544
2.012386,15544,16080
2.012755,16080,15544
2.012858,15544,16080
2.013227,16080,16616
2.013699,16616,16080
2.014171,16080,16616
2.031101,16616,17152
2.102869,17152,17688
2.143842,17688,17412
2.144314,17412,17671
2.145770,17671,17931
2.146242,17931,18190
2.146714,18190,18449
2.148170,18449,18709
2.148642,18709,18968
2.150098,18968,19227
2.150570,19227,19487
2.151042,19487,19746
2.153482,19746,20005
2.153954,20005,20265
2.154426,20265,20524
2.155882,20524,20783
2.156354,20783,21043
2.157810,21043,21302
2.158282,21302,21164
2.158754,21164,21026
2.160210,21026,20887
2.160682,20887,20749
2.162138,20749,20611
2.162610,20611,20472
2.163082,20472,20334
2.165522,20334,20196
2.165994,20196,20057
2.167450,20057,19919
2.167922,19919,19781
2.168394,19781,19642
2.169850,19642,19504
2.170322,19504,19366
2.171778,19366,19227
2.172250,19227,19089
2.172709,19089,12328
2.172709,12328,12864
2.225709,12864,13400
2.269069,13400,13936
2.313373,13936,14472
2.361573,14472,15008
2.409733,15008,15544
2.460805,15544,16080
2.510296,16080,6968
2.510434,6968,7504
2.510768,7504,8040
2.510906,8040,8576
2.513208,8576,9112
2.513346,9112,8576
2.513680,8576,9112
2.513818,9112,9648
2.514290,9648,9112
2.515746,9112,9648
2.516218,9648,9112
2.517674,9112,9648
2.518008,9648,9112
2.518146,9112,9648
2.518480,9648,9112
2.518618,9112,9648
2.518952,9648,9112
2.520074,9112,9648
2.520546,9648,9112
2.522002,9112,9648
2.522474,9648,9112
2.522946,9112,9648
2.525386,9648,9112
2.525858,9112,9648
2.527301,9648,11256
2.527301,11256,11792
2.560003,11792,12328
2.580771,12328,12864
2.601539,12864,13400
2.623251,13400,13936
2.645907,13936,14472
2.669507,14472,15008
2.694051,15008,15544
2.719539,15544,16080
2.745971,16080,16616
2.773347,16616,17152
2.801667,17152,17688
2.830931,17688,18224
2.860195,18224,18760
2.891347,18760,19296
2.922499,19296,19832
2.955539,19832,20368
2.988579,20368,20904
3.037285,20904,21440
3.106653,21440,21976
3.133186,21976,21674
3.133658,21674,21908
3.135114,21908,22141
3.135586,22141,22375
3.137042,22375,22609
3.137514,22609,22842
3.137986,22842,23076
3.139442,23076,23310
3.139914,23310,23543
3.142354,23543,23777
3.142826,23777,24011
3.143298,24011,24244
3.144754,24244,24478
3.145226,24478,24711
3.146682,24711,24945
3.147154,24945,25179
3.147626,25179,25412
3.149082,25412,25646
3.149554,25646,25880
3.150026,25880,26113
3.152466,26113,25962
3.152938,25962,25811
3.154394,25811,25660
3.154866,25660,25509
3.155338,25509,25357
3.156794,25357,25206
3.157266,25206,25055
3.158722,25055,24904
3.159194,24904,24753
3.159666,24753,24602
3.161122,24602,24450
3.161594,24450,24299
3.164034,24299,24148
3.164506,24148,23997
3.164978,23997,23846
3.166434,23846,23694
3.166906,23694,23543
3.168362,23543,23392
3.168834,23392,23241
3.169306,23241,23090
3.170749,23090,15008
3.170749,15008,15544
3.233389,15544,16080
3.286389,16080,16616
3.340333,16616,17152
3.397189,17152,17688
3.416482,17688,17412
3.416954,17412,17671
3.417426,17671,17931
3.418882,17931,18190
3.419354,18190,18449
3.420810,18449,18709
3.421282,18709,18968
3.421754,18968,19227
3.424194,19227,19487
3.424666,19487,19746
3.426122,19746,20005
3.426594,20005,20265
3.427066,20265,20524
3.428522,20524,20783
3.428994,20783,21043
