time_s,selected_path,queue_a_norm,queue_b_norm,accum,memory_a,memory_b,burst_active
1.500000,b,1.000000,0.000000,0.000000,0.250000,0.000000,0
1.600000,b,0.000000,0.650000,0.000000,0.225000,0.162500,0
1.700000,b,0.000000,0.800000,0.000000,0.202500,0.346250,0
1.800000,b,0.000000,0.950000,0.000000,0.182250,0.549125,0
1.900000,b,0.000000,1.000000,0.000000,0.164025,0.744213,0
2.000000,a,0.000000,1.000000,0.000000,0.147623,0.919791,1
2.100000,a,1.000000,0.000000,0.000000,0.382860,0.827812,1
2.200000,a,1.000000,0.000000,0.000000,0.594574,0.745031,1
2.300000,a,1.000000,0.000000,0.000000,0.785117,0.670528,1
2.400000,a,1.000000,0.000000,0.000000,0.956605,0.603475,1
2.500000,b,1.000000,0.000000,0.000000,1.110945,0.543128,1
2.600000,b,1.000000,0.250000,0.000000,1.249850,0.551315,1
2.700000,b,1.000000,0.500000,0.000000,1.374865,0.621183,1
2.800000,b,1.000000,0.650000,0.000000,1.487379,0.721565,1
2.900000,b,1.000000,0.850000,0.000000,1.588641,0.861908,1
3.000000,a,1.000000,1.000000,0.000000,1.679777,1.025718,1
3.100000,a,1.000000,0.000000,0.000000,1.761799,0.923146,1
3.200000,a,1.000000,0.000000,0.000000,1.835619,0.830831,1
3.300000,a,1.000000,0.000000,0.000000,1.902057,0.747748,1
3.400000,a,1.000000,0.000000,0.000000,1.961851,0.672973,1
3.500000,b,1.000000,0.000000,0.000000,2.015666,0.605676,1
3.600000,b,1.000000,0.050000,0.000000,2.064100,0.557608,1
3.700000,b,1.000000,0.350000,0.000000,2.107690,0.589348,1
3.800000,b,1.000000,0.550000,0.000000,2.146921,0.667913,1
3.900000,b,1.000000,0.750000,0.000000,2.182229,0.788622,1
4.000000,b,1.000000,0.900000,0.000000,2.214006,0.934759,1
4.100000,a,1.000000,1.000000,0.000000,2.242605,1.091283,1
4.200000,a,1.000000,0.000000,0.000000,2.268345,0.982155,1
4.300000,a,1.000000,0.000000,0.000000,2.291510,0.883940,1
4.400000,a,1.000000,0.000000,0.000000,2.312359,0.795546,1
4.500000,a,1.000000,0.000000,0.000000,2.331123,0.715991,1
4.600000,b,1.000000,0.000000,0.000000,2.348011,0.644392,1
4.700000,b,1.000000,0.100000,0.000000,2.363210,0.604953,1
4.800000,b,1.000000,0.300000,0.000000,2.376889,0.619457,1
4.900000,b,1.000000,0.500000,0.000000,2.389200,0.682512,1
5.000000,b,0.750000,0.750000,0.000000,2.337780,0.801761,0
5.100000,a,0.000000,0.900000,0.000000,2.104002,0.946585,0
5.200000,a,0.400000,0.000000,0.000000,1.993602,0.851926,0
5.300000,a,0.550000,0.000000,0.000000,1.931742,0.766733,0
5.400000,a,0.750000,0.000000,0.000000,1.926067,0.690060,0
5.500000,a,0.900000,0.000000,0.000000,1.958461,0.621054,0
5.600000,b,1.000000,0.000000,0.000000,2.012615,0.558949,0
5.700000,b,0.000000,0.500000,0.000000,1.811353,0.628054,0
5.800000,b,0.000000,0.700000,0.000000,1.630218,0.740248,0
5.900000,b,0.000000,0.850000,0.000000,1.467196,0.878724,0
6.000000,b,0.000000,1.000000,0.000000,1.320476,1.040851,0
6.100000,a,0.000000,1.000000,0.000000,1.188429,1.186766,0
6.200000,a,0.600000,0.000000,0.000000,1.219586,1.068089,0
6.300000,a,0.750000,0.000000,0.000000,1.285127,0.961281,0
6.400000,a,0.900000,0.000000,0.000000,1.381615,0.865152,0
6.500000,a,1.000000,0.000000,0.000000,1.493453,0.778637,0
6.600000,b,1.000000,0.000000,0.000000,1.594108,0.700774,0
6.700000,b,0.000000,0.600000,0.000000,1.434697,0.780696,0
6.800000,b,0.000000,0.800000,0.000000,1.291227,0.902627,0
6.900000,b,0.000000,0.950000,0.000000,1.162105,1.049864,0
7.000000,b,0.000000,1.000000,0.000000,1.045894,1.194878,1
7.100000,a,0.000000,1.000000,0.000000,0.941305,1.325390,1
7.200000,a,1.000000,0.000000,0.000000,1.097174,1.192851,1
7.300000,a,1.000000,0.000000,0.000000,1.237457,1.073566,1
7.400000,a,1.000000,0.000000,0.000000,1.363711,0.966209,1
7.500000,a,1.000000,0.000000,0.000000,1.477340,0.869588,1
7.600000,b,1.000000,0.000000,0.000000,1.579606,0.782629,1
7.700000,b,1.000000,0.250000,0.000000,1.671645,0.766866,1
7.800000,b,1.000000,0.500000,0.000000,1.754481,0.815180,1
7.900000,b,1.000000,0.650000,0.000000,1.829033,0.896162,1
8.000000,b,1.000000,0.850000,0.000000,1.896130,1.019046,1
8.100000,a,1.000000,1.000000,0.000000,1.956517,1.167141,1
8.200000,a,1.000000,0.000000,0.000000,2.010865,1.050427,1
8.300000,a,1.000000,0.000000,0.000000,2.059778,0.945384,1
8.400000,a,1.000000,0.000000,0.000000,2.103801,0.850846,1
8.500000,a,1.000000,0.000000,0.000000,2.143421,0.765761,1
8.600000,b,1.000000,0.000000,0.000000,2.179078,0.689185,1
8.700000,b,1.000000,0.050000,0.000000,2.211171,0.632767,1
8.800000,b,1.000000,0.300000,0.000000,2.240054,0.644490,1
8.900000,b,1.000000,0.500000,0.000000,2.266048,0.705041,1
9.000000,b,1.000000,0.700000,0.000000,2.289443,0.809537,1
9.100000,b,1.000000,0.850000,0.000000,2.310499,0.941083,1
9.200000,a,0.850000,1.000000,0.000000,2.291949,1.096975,1
9.300000,a,1.000000,0.000000,0.000000,2.312754,0.987277,1
9.400000,a,1.000000,0.000000,0.000000,2.331479,0.888550,1
9.500000,a,1.000000,0.000000,0.000000,2.348331,0.799695,1
9.600000,a,1.000000,0.000000,0.000000,2.363498,0.719725,1
9.700000,b,1.000000,0.000000,0.000000,2.377148,0.647753,1
9.800000,b,1.000000,0.150000,0.000000,2.389433,0.620477,1
9.900000,b,1.000000,0.400000,0.000000,2.400490,0.658430,1
10.000000,b,1.000000,0.600000,0.000000,2.410441,0.742587,0
10.100000,b,0.000000,0.750000,0.000000,2.169397,0.855828,0
10.200000,a,0.000000,0.900000,0.000000,1.952457,0.995245,0
10.300000,a,0.350000,0.000000,0.000000,1.844711,0.895721,0
10.400000,a,0.600000,0.000000,0.000000,1.810240,0.806149,0
10.500000,a,0.800000,0.000000,0.000000,1.829216,0.725534,0
10.600000,a,0.950000,0.000000,0.000000,1.883795,0.652980,0
10.700000,b,1.000000,0.000000,0.000000,1.945415,0.587682,0
10.800000,b,0.000000,0.550000,0.000000,1.750874,0.666414,0
10.900000,b,0.000000,0.750000,0.000000,1.575786,0.787273,0
11.000000,b,0.000000,0.900000,0.000000,1.418208,0.933545,0
11.100000,b,0.000000,1.000000,0.000000,1.276387,1.090191,0
11.200000,a,0.000000,1.000000,0.000000,1.148748,1.231172,0
11.300000,a,0.650000,0.000000,0.000000,1.196373,1.108055,0
11.400000,a,0.800000,0.000000,0.000000,1.276736,0.997249,0
