time_s,old_cwnd_bytes,new_cwnd_bytes
0.704296,28944,29480
0.713736,29480,30016
0.723176,30016,30552
0.732616,30552,31088
0.742056,31088,31624
0.751496,31624,32160
0.760936,32160,32696
0.770376,32696,33232
0.779816,33232,33768
0.789256,33768,34304
0.791157,34304,33993
0.791629,33993,34218
0.792101,34218,34443
0.792573,34443,34668
0.793045,34668,34892
0.793517,34892,35117
0.793989,35117,35342
0.794461,35342,35567
0.794933,35567,35791
0.795405,35791,36016
0.795877,36016,36241
0.796349,36241,36466
0.796821,36466,36691
0.797293,36691,36915
0.797765,36915,37140
0.798237,37140,37365
0.798709,37365,37590
0.799181,37590,37814
0.799653,37814,38039
0.800125,38039,38264
0.800597,38264,38489
0.801069,38489,38714
0.801541,38714,38938
0.802013,38938,39163
0.802485,39163,39388
0.802957,39388,39613
0.803429,39613,39837
0.803901,39837,40062
0.804373,40062,40287
0.804845,40287,40512
0.805317,40512,40736
0.805789,40736,40581
0.806261,40581,40425
0.806733,40425,40270
0.807205,40270,40114
0.807677,40114,39958
0.808149,39958,39803
0.808621,39803,39647
0.809093,39647,39492
0.809565,39492,39336
0.810037,39336,39180
0.810509,39180,39025
0.810981,39025,38869
0.811453,38869,38714
0.811925,38714,38558
0.812397,38558,38402
0.812869,38402,38247
0.813341,38247,38091
0.813813,38091,37935
0.814285,37935,37780
0.814757,37780,37624
0.815229,37624,37469
0.815701,37469,37313
0.816173,37313,37157
0.816645,37157,37002
0.817117,37002,36846
0.817589,36846,36691
0.818061,36691,36535
0.818533,36535,36379
0.819005,36379,36224
0.819477,36224,36068
0.819949,36068,35912
0.820421,35912,35757
0.820880,35757,23584
0.820880,23584,24120
0.869968,24120,24656
0.910560,24656,25192
0.952096,25192,25728
0.994576,25728,26264
1.037056,26264,26800
1.081424,26800,27336
1.125792,27336,27872
1.172048,27872,28408
1.206045,28408,28114
1.206517,28114,28356
1.206989,28356,28598
1.207461,28598,28839
1.207933,28839,29081
1.208405,29081,29323
1.208877,29323,29565
1.209349,29565,29806
1.209821,29806,30048
1.210293,30048,30290
1.210765,30290,30531
1.211237,30531,30773
1.211709,30773,31015
1.212181,31015,31257
1.212653,31257,31498
1.213125,31498,31740
1.213597,31740,31982
1.214069,31982,32224
1.214541,32224,32465
1.215013,32465,32707
1.215485,32707,32949
1.215957,32949,33190
1.216429,33190,33432
1.216901,33432,33674
1.217373,33674,33916
1.217845,33916,34157
1.218317,34157,34010
1.218789,34010,33863
1.219261,33863,33716
1.219733,33716,33569
1.220205,33569,33422
1.220677,33422,33275
1.221149,33275,33127
1.221621,33127,32980
1.222093,32980,32833
1.222565,32833,32686
1.223037,32686,32539
1.223509,32539,32392
1.223981,32392,32245
1.224453,32245,32097
1.224925,32097,31950
1.225397,31950,31803
1.225869,31803,31656
1.226341,31656,31509
1.226813,31509,31362
1.227285,31362,31215
1.227757,31215,31067
1.228229,31067,30920
1.228701,30920,30773
1.229173,30773,30626
1.229645,30626,30479
1.230117,30479,30332
1.230576,30332,19832
1.230576,19832,20368
1.272112,20368,20904
1.307040,20904,21440
1.341968,21440,21976
1.377840,21976,22512
1.414656,22512,23048
1.452416,23048,23584
1.491120,23584,24120
1.510547,24120,12864
1.510957,12864,13400
1.511019,13400,13936
1.511429,13936,14472
1.511491,14472,15008
1.511901,15008,14472
1.511963,14472,15008
1.512373,15008,15544
1.512435,15544,16080
1.512845,16080,15544
1.512907,15544,16080
1.513317,16080,16616
1.521390,16616,17152
1.587942,17152,17688
1.617206,17688,18224
1.646470,18224,18760
1.677622,18760,19296
1.708774,19296,19832
1.710266,19832,13400
1.721581,13400,13936
1.772557,13936,14472
1.796157,14472,15008
1.820701,15008,15544
1.846189,15544,16080
1.872621,16080,16616
1.899997,16616,17152
1.910928,17152,12328
1.911338,12328,11792
1.921299,11792,12328
1.966139,12328,12864
1.986907,12864,13400
2.008619,13400,13936
2.031275,13936,14472
2.054875,14472,15008
2.079419,15008,15544
2.104907,15544,16080
2.111578,16080,14802
2.112000,14802,14699
2.112050,14699,15029
2.112472,15029,14926
2.112931,14926,14823
2.113942,14823,14617
2.114886,14617,14411
2.116814,14411,14204
2.118742,14204,13998
2.120670,13998,13792
2.121614,13792,13586
2.123542,13586,13380
2.125470,13380,13174
2.127398,13174,12968
2.128342,12968,12761
2.129286,12761,11256
2.133142,11256,11792
2.221990,11792,12328
2.269326,12328,12864
2.314694,12864,13400
2.360022,13400,13936
2.405310,13936,14472
2.412426,14472,8040
2.412898,8040,8576
2.413035,8576,9112
2.413507,9112,9648
2.424590,9648,10184
2.454109,10184,10720
2.472642,10720,11256
2.490640,11256,11792
2.510464,11792,12328
2.530288,12328,12864
2.552000,12864,13400
2.573712,13400,13936
2.596368,13936,14472
2.619968,14472,15008
2.644512,15008,15544
2.670000,15544,16080
2.696432,16080,16616
2.723808,16616,17152
2.752128,17152,17688
2.780448,17688,18224
2.810656,18224,18760
2.870246,18760,19296
2.936755,19296,19013
2.937227,19013,19265
2.938683,19265,19517
2.939155,19517,19769
2.939627,19769,20022
2.941083,20022,20274
2.941555,20274,20526
2.942027,20526,20778
2.944467,20778,21031
2.944939,21031,21283
2.946395,21283,21535
2.946867,21535,21787
2.947339,21787,22040
2.948795,22040,22292
2.949267,22292,22544
2.950723,22544,22796
2.951195,22796,23048
2.951667,23048,22907
2.953123,22907,22765
2.953595,22765,22623
2.956035,22623,22481
2.956507,22481,22339
2.956979,22339,22197
2.958435,22197,22055
2.958907,22055,21913
2.960363,21913,21772
2.960835,21772,21630
2.961307,21630,21488
2.962763,21488,21346
2.963235,21346,21204
2.963707,21204,21062
2.966147,21062,20920
2.966619,20920,20778
2.968075,20778,20636
2.968547,20636,20495
2.969006,20495,13400
2.969006,13400,13936
3.012754,13936,8040
3.013226,8040,8576
3.013698,8576,9112
3.013835,9112,9648
3.023934,9648,10184
3.028824,10184,10720
3.073914,10720,11256
3.091912,11256,11792
3.111736,11792,12328
3.131560,12328,12864
3.153272,12864,13400
3.174984,13400,13936
3.197640,13936,14472
3.221240,14472,15008
3.245784,15008,15544
3.271272,15544,16080
3.297704,16080,16616
3.325080,16616,17152
3.353400,17152,17688
3.381720,17688,18224
3.411371,18224,12864
3.411469,12864,12328
3.430086,12328,12864
3.518814,12864,13400
3.569846,13400,13936
3.611666,13936,6968
3.611803,6968,7504
3.612138,7504,8040
3.612275,8040,8576
3.613594,8576,9112
3.613731,9112,8576
3.614066,8576,9112
3.614203,9112,9648
3.614675,9648,9112
3.616131,9112,9648
3.616603,9648,9112
3.618059,9112,9648
3.618394,9648,9112
3.618531,9112,9648
3.618866,9648,9112
3.619003,9112,9648
3.619765,9648,9112
3.621443,9112,9648
3.621915,9648,9112
3.623371,9112,9648
3.623830,9648,10184
3.654867,10184,10720
3.673400,10720,11256
3.691398,11256,11792
3.711222,11792,12328
3.731046,12328,12864
3.752758,12864,13400
3.774470,13400,13936
3.797126,13936,14472
3.820726,14472,15008
3.845270,15008,15544
3.870758,15544,16080
3.897190,16080,16616
3.934806,16616,17152
3.990678,17152,17688
4.047534,17688,18224
4.054787,18224,17923
4.055259,17923,18157
4.055731,18157,18392
4.057187,18392,18626
4.057659,18626,18861
4.059115,18861,19095
