time_s,selected_path,queue_a_norm,queue_b_norm,accum,memory_a,memory_b,burst_active
1.500000,b,1.000000,0.000000,0.000000,0.250000,0.000000,0
1.600000,b,0.000000,0.650000,0.000000,0.225000,0.162500,0
1.700000,a,0.000000,0.800000,0.000000,0.202500,0.346250,0
1.800000,a,0.450000,0.000000,0.000000,0.294750,0.311625,0
1.900000,b,0.650000,0.000000,0.000000,0.427775,0.280463,0
2.000000,b,0.000000,0.250000,0.000000,0.384998,0.314916,1
2.100000,a,0.000000,0.450000,0.000000,0.346498,0.395925,1
2.200000,a,1.000000,0.000000,0.000000,0.561848,0.356332,1
2.300000,a,1.000000,0.000000,0.000000,0.755663,0.320699,1
2.400000,b,1.000000,0.000000,0.000000,0.930097,0.288629,1
2.500000,b,1.000000,0.100000,0.000000,1.087087,0.284766,1
2.600000,b,1.000000,0.350000,0.000000,1.228378,0.343790,1
2.700000,b,1.000000,0.550000,0.000000,1.355541,0.446911,1
2.800000,a,0.550000,0.700000,0.000000,1.357487,0.577220,1
2.900000,a,1.000000,0.000000,0.000000,1.471738,0.519498,1
3.000000,b,1.000000,0.000000,0.000000,1.574564,0.467548,1
3.100000,b,1.000000,0.100000,0.000000,1.667108,0.445793,1
3.200000,b,1.000000,0.350000,0.000000,1.750397,0.488714,1
3.300000,b,0.550000,0.600000,0.000000,1.712857,0.589842,1
3.400000,a,0.000000,0.750000,0.000000,1.541572,0.718358,1
3.500000,a,1.000000,0.000000,0.000000,1.637414,0.646522,1
3.600000,b,1.000000,0.000000,0.000000,1.723673,0.581870,1
3.700000,b,1.000000,0.150000,0.000000,1.801306,0.561183,1
3.800000,b,1.000000,0.400000,0.000000,1.871175,0.605065,1
3.900000,a,0.300000,0.500000,0.000000,1.759058,0.669558,1
4.000000,a,1.000000,0.000000,0.000000,1.833152,0.602602,1
4.100000,b,1.000000,0.000000,0.000000,1.899837,0.542342,1
4.200000,b,1.000000,0.000000,0.000000,1.959853,0.488108,1
4.300000,b,1.000000,0.250000,0.000000,2.013868,0.501797,1
4.400000,b,0.400000,0.450000,0.000000,1.912481,0.564117,1
4.500000,a,0.000000,0.700000,0.000000,1.721233,0.682706,1
4.600000,a,1.000000,0.000000,0.000000,1.799110,0.614435,1
4.700000,b,1.000000,0.000000,0.000000,1.869199,0.552992,1
4.800000,b,1.000000,0.150000,0.000000,1.932279,0.535192,1
4.900000,b,1.000000,0.300000,0.000000,1.989051,0.556673,1
5.000000,a,0.350000,0.550000,0.000000,1.877646,0.638506,0
5.100000,a,0.700000,0.000000,0.000000,1.864881,0.574655,0
5.200000,b,0.850000,0.000000,0.000000,1.890893,0.517190,0
5.300000,b,0.000000,0.450000,0.000000,1.701804,0.577971,0
5.400000,a,0.000000,0.600000,0.000000,1.531623,0.670174,0
5.500000,a,0.300000,0.000000,0.000000,1.453461,0.603156,0
5.600000,a,0.500000,0.000000,0.000000,1.433115,0.542841,0
5.700000,b,0.700000,0.000000,0.000000,1.464803,0.488557,0
5.800000,b,0.000000,0.300000,0.000000,1.318323,0.514701,0
5.900000,a,0.000000,0.500000,0.000000,1.186491,0.588231,0
6.000000,a,0.250000,0.000000,0.000000,1.130342,0.529408,0
6.100000,a,0.500000,0.000000,0.000000,1.142308,0.476467,0
6.200000,b,0.650000,0.000000,0.000000,1.190577,0.428820,0
6.300000,b,0.000000,0.300000,0.000000,1.071519,0.460938,0
6.400000,a,0.000000,0.500000,0.000000,0.964367,0.539844,0
6.500000,a,0.200000,0.000000,0.000000,0.917930,0.485860,0
6.600000,a,0.500000,0.000000,0.000000,0.951137,0.437274,0
6.700000,b,0.650000,0.000000,0.000000,1.018524,0.393547,0
6.800000,b,0.000000,0.300000,0.000000,0.916671,0.429192,0
6.900000,a,0.000000,0.500000,0.000000,0.825004,0.511273,0
7.000000,a,0.200000,0.000000,0.000000,0.792504,0.460145,1
7.100000,a,1.000000,0.000000,0.000000,0.963253,0.414131,1
7.200000,b,1.000000,0.000000,0.000000,1.116928,0.372718,1
7.300000,b,1.000000,0.250000,0.000000,1.255235,0.397946,1
7.400000,b,1.000000,0.350000,0.000000,1.379712,0.445651,1
7.500000,b,0.750000,0.600000,0.000000,1.429241,0.551086,1
7.600000,a,0.000000,0.750000,0.000000,1.286316,0.683478,1
7.700000,a,1.000000,0.000000,0.000000,1.407685,0.615130,1
7.800000,b,1.000000,0.000000,0.000000,1.516916,0.553617,1
7.900000,b,1.000000,0.100000,0.000000,1.615225,0.523255,1
8.000000,b,1.000000,0.350000,0.000000,1.703702,0.558430,1
8.100000,b,0.600000,0.550000,0.000000,1.683332,0.640087,1
8.200000,a,0.000000,0.750000,0.000000,1.514999,0.763578,1
8.300000,a,1.000000,0.000000,0.000000,1.613499,0.687220,1
8.400000,b,1.000000,0.000000,0.000000,1.702149,0.618498,1
8.500000,b,1.000000,0.100000,0.000000,1.781934,0.581648,1
8.600000,b,1.000000,0.350000,0.000000,1.853741,0.610984,1
8.700000,b,0.500000,0.550000,0.000000,1.793367,0.687385,1
8.800000,a,0.000000,0.750000,0.000000,1.614030,0.806147,1
8.900000,a,1.000000,0.000000,0.000000,1.702627,0.725532,1
9.000000,b,1.000000,0.000000,0.000000,1.782364,0.652979,1
9.100000,b,1.000000,0.100000,0.000000,1.854128,0.612681,1
9.200000,b,1.000000,0.350000,0.000000,1.918715,0.638913,1
9.300000,a,0.400000,0.550000,0.000000,1.826844,0.712522,1
9.400000,a,1.000000,0.000000,0.000000,1.894159,0.641269,1
9.500000,b,1.000000,0.000000,0.000000,1.954743,0.577142,1
9.600000,b,1.000000,0.050000,0.000000,2.009269,0.531928,1
9.700000,b,1.000000,0.250000,0.000000,2.058342,0.541235,1
9.800000,b,0.500000,0.450000,0.000000,1.977508,0.599612,1
9.900000,a,0.000000,0.650000,0.000000,1.779757,0.702151,1
10.000000,a,1.000000,0.000000,0.000000,1.851781,0.631936,0
10.100000,b,0.350000,0.000000,0.000000,1.754103,0.568742,0
10.200000,b,0.000000,0.100000,0.000000,1.578693,0.536868,0
10.300000,a,0.000000,0.350000,0.000000,1.420824,0.570681,0
10.400000,a,0.100000,0.000000,0.000000,1.303741,0.513613,0
10.500000,b,0.400000,0.000000,0.000000,1.273367,0.462252,0
10.600000,b,0.000000,0.150000,0.000000,1.146030,0.453526,0
10.700000,a,0.000000,0.400000,0.000000,1.031427,0.508174,0
10.800000,a,0.150000,0.000000,0.000000,0.965785,0.457356,0
10.900000,b,0.400000,0.000000,0.000000,0.969206,0.411621,0
11.000000,b,0.000000,0.150000,0.000000,0.872286,0.407959,0
11.100000,a,0.000000,0.400000,0.000000,0.785057,0.467163,0
11.200000,a,0.150000,0.000000,0.000000,0.744051,0.420447,0
11.300000,b,0.250000,0.000000,0.000000,0.732146,0.378402,0
11.400000,b,0.000000,0.050000,0.000000,0.658932,0.353062,0
