scenario,topology,seed,method,startup_full_reachability_tick,loop_active_ticks,loop_episode_count,loop_longest_episode_ticks,loop_post_active_ticks,loop_post_episode_count,loop_longest_post_episode_ticks,loop_first_active_tick,loop_last_active_tick,blackhole_active_ticks,blackhole_episode_count,blackhole_longest_episode_ticks,blackhole_post_active_ticks,blackhole_post_episode_count,blackhole_longest_post_episode_ticks,blackhole_first_active_tick,blackhole_last_active_tick,reachability_gap_active_ticks,reachability_gap_episode_count,reachability_gap_longest_episode_ticks,reachability_gap_post_active_ticks,reachability_gap_post_episode_count,reachability_gap_longest_post_episode_ticks,reachability_gap_first_active_tick,reachability_gap_last_active_tick,incomplete_route_active_ticks,incomplete_route_episode_count,incomplete_route_longest_episode_ticks,incomplete_route_post_active_ticks,incomplete_route_post_episode_count,incomplete_route_longest_post_episode_ticks,incomplete_route_first_active_tick,incomplete_route_last_active_tick
continuous_chaos,er,121,bandit,6,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
continuous_chaos,er,122,bandit,7,0,0,0,0,0,0,,,1,1,1,0,0,0,7,7,0,0,0,0,0,0,,,1,1,1,0,0,0,7,7
continuous_chaos,er,123,bandit,6,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
continuous_chaos,er,124,bandit,6,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
continuous_chaos,er,125,bandit,6,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
continuous_chaos,er,121,ospf_te,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8
continuous_chaos,er,122,ospf_te,11,0,0,0,0,0,0,,,1,1,1,0,0,0,11,11,0,0,0,0,0,0,,,1,1,1,0,0,0,11,11
continuous_chaos,er,123,ospf_te,8,9,3,3,0,0,0,34,96,1,1,1,0,0,0,8,8,6,6,1,0,0,0,34,96,10,4,3,0,0,0,8,96
continuous_chaos,er,124,ospf_te,8,0,0,0,0,0,0,,,2,1,2,0,0,0,8,9,0,0,0,0,0,0,,,2,1,2,0,0,0,8,9
continuous_chaos,er,125,ospf_te,9,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
continuous_chaos,er,121,snn_sra,4,13,1,13,0,0,0,35,47,0,0,0,0,0,0,,,0,0,0,0,0,0,,,13,1,13,0,0,0,35,47
continuous_chaos,er,122,snn_sra,4,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,,0,0,0,0,0,0,,
continuous_chaos,er,123,snn_sra,4,18,1,18,0,0,0,34,51,0,0,0,0,0,0,,,1,1,1,0,0,0,34,34,18,1,18,0,0,0,34,51
continuous_chaos,er,124,snn_sra,4,14,2,13,0,0,0,34,48,0,0,0,0,0,0,,,0,0,0,0,0,0,,,14,2,13,0,0,0,34,48
continuous_chaos,er,125,snn_sra,4,16,2,14,0,0,0,33,57,0,0,0,0,0,0,,,0,0,0,0,0,0,,,16,2,14,0,0,0,33,57
continuous_chaos,er,121,te_ecmp,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8
continuous_chaos,er,122,te_ecmp,11,0,0,0,0,0,0,,,1,1,1,0,0,0,11,11,0,0,0,0,0,0,,,1,1,1,0,0,0,11,11
continuous_chaos,er,123,te_ecmp,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8,0,0,0,0,0,0,,,1,1,1,0,0,0,8,8
continuous_chaos,er,124,te_ecmp,8,0,0,0,0,0,0,,,2,1,2,0,0,0,8,9,0,0,0,0,0,0,,,2,1,2,0,0,0,8,9
