topology,seed,method,tick,time_ms,burst_active,hotspot_pressure,delivery_ratio,loss_ratio,mean_delay,control_messages,control_bytes,route_changes
er,122,snn_sra,0,0,0,0.0,0.029999999999999773,0.9699999999999998,1.0,0.0,0.0,0.0
er,122,snn_sra,1,10,0,0.0,0.2274999999999979,0.7724999999999984,1.8681318681318684,15848.0,507136.0,2512.0
er,122,snn_sra,2,20,0,0.0,0.7349999999999982,0.26499999999999746,2.6496598639455593,27276.0,872832.0,4784.0
er,122,snn_sra,3,30,0,0.0,0.9799999999999999,0.019999999999999848,2.9872448979591586,8270.0,264640.0,1842.0
er,122,snn_sra,4,40,0,0.0,1.0,0.0,3.027499999999975,598.0,19136.0,200.0
er,122,snn_sra,5,50,0,0.0,1.0,0.0,3.027499999999975,15848.0,507136.0,0.0
er,122,snn_sra,6,60,0,0.0,1.0,0.0,3.027499999999975,27276.0,872832.0,0.0
er,122,snn_sra,7,70,0,0.0,1.0,0.0,3.027499999999975,8270.0,264640.0,0.0
er,122,snn_sra,8,80,0,0.0,1.0,0.0,3.027499999999975,598.0,19136.0,0.0
er,122,snn_sra,9,90,0,0.0,1.0,0.0,3.027499999999975,15848.0,507136.0,0.0
er,122,snn_sra,10,100,0,0.0,1.0,0.0,3.027499999999975,27276.0,872832.0,0.0
er,122,snn_sra,11,110,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
er,122,snn_sra,12,120,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
er,122,snn_sra,13,130,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
er,122,snn_sra,14,140,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
er,122,snn_sra,15,150,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
er,122,snn_sra,16,160,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
er,122,snn_sra,17,170,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
er,122,snn_sra,18,180,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
er,122,snn_sra,19,190,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
er,122,snn_sra,20,200,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
er,122,snn_sra,21,210,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
er,122,snn_sra,22,220,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
er,122,snn_sra,23,230,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
er,122,snn_sra,24,240,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
er,122,snn_sra,25,250,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
er,122,snn_sra,26,260,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
er,122,snn_sra,27,270,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
er,122,snn_sra,28,280,0,0.0,1.0,0.0,3.027499999999975,0.0,0.0,0.0
