parameter,value,seed,hotspot_burst_delivery_ratio,hotspot_burst_loss_ratio,hotspot_total_control_mb,hotspot_peak_event_rate,chaos_total_control_mb,chaos_route_changes_per_node,chaos_peak_event_rate,chaos_burst_delivery_ratio,rebound_ratio_after_release,post_stage2_route_changes
rebound_guard,0.15,131,0.9243243438210739,0.07567565617892781,7.001888,30383.0,8.836864,113.46,30383.0,0.9298212023228253,0.0,0.0
rebound_guard,0.15,132,0.9899695095911889,0.01003049040881115,5.072448,26032.0,5.826432,96.4,26032.0,0.9935219749443096,0.0044444444444444444,0.0
rebound_guard,0.15,133,0.9748500637919583,0.025149936208042015,6.133952,28927.0,7.321312,103.92,28927.0,0.9837929454012523,0.0,0.0
rebound_guard,0.15,134,0.9287266652756723,0.0712733347243301,7.739072,31748.0,9.66384,113.72,31748.0,0.9539693046572051,0.005151515151515152,0.0
rebound_guard,0.15,135,0.8222915174032269,0.17770848259677494,7.011872,29370.0,9.022016,123.7,29370.0,0.8272245059107646,0.0029292929292929295,0.0
rebound_guard,0.35,131,0.9209733158767504,0.07902668412325123,6.935456,30383.0,8.770784,101.18,30383.0,0.9296647230840964,0.0,0.0
rebound_guard,0.35,132,0.9899695095911889,0.01003049040881115,5.070144,26032.0,5.824128,95.84,26032.0,0.9935219749443096,0.0044444444444444444,0.0
rebound_guard,0.35,133,0.9748500637919583,0.025149936208042015,6.118496,28927.0,7.30896,97.45,28927.0,0.9837929454012523,0.0,0.0
rebound_guard,0.35,134,0.9138045450063345,0.08619545499366835,7.944992,31748.0,10.266176,102.69,31748.0,0.9497724615560541,0.005151515151515152,0.0
rebound_guard,0.35,135,0.8159570761343065,0.1840429238656956,6.627456,29060.0,8.396448,115.57,29060.0,0.8328988670295431,0.0029292929292929295,0.0
rebound_guard,0.55,131,0.901173844247363,0.09882615575263905,6.639616,30383.0,7.540864,100.32,30383.0,0.9319780465396766,0.0,0.0
rebound_guard,0.55,132,0.9899695095911889,0.01003049040881115,5.069888,26032.0,5.823872,95.56,26032.0,0.9935219749443096,0.0044444444444444444,0.0
rebound_guard,0.55,133,0.9748500637919583,0.025149936208042015,6.1176,28927.0,7.308576,97.35,28927.0,0.9837929454012523,0.0,0.0
rebound_guard,0.55,134,0.8988931074764566,0.10110689252354652,7.962688,31748.0,10.277184,102.09,31748.0,0.9448292399018053,0.005151515151515152,0.0
rebound_guard,0.55,135,0.8259330615038573,0.17406693849614469,6.663616,29060.0,7.965472,109.48,29060.0,0.8192093799210802,0.0029292929292929295,0.0
switch_guard,0.25,131,0.9006394758606867,0.09936052413931523,7.179712,30383.0,8.77696,101.63,30383.0,0.930226126603143,0.0,0.0
switch_guard,0.25,132,0.9899695095911889,0.01003049040881115,5.071168,26032.0,5.825152,96.0,26032.0,0.9935219749443096,0.0044444444444444444,0.0
switch_guard,0.25,133,0.9748500637919583,0.025149936208042015,6.11888,28927.0,7.309216,97.51,28927.0,0.9837929454012523,0.0,0.0
switch_guard,0.25,134,0.92851694248412,0.07148305751588235,7.75328,31748.0,9.681216,103.03,31748.0,0.9538446926630075,0.005151515151515152,0.0
switch_guard,0.25,135,0.8321910707050235,0.16780892929497784,6.710432,29088.0,8.331296,111.15,29088.0,0.8501962003469132,0.0029292929292929295,0.0
switch_guard,0.45,131,0.9209733158767504,0.07902668412325123,6.935456,30383.0,8.770784,101.18,30383.0,0.9296647230840964,0.0,0.0
switch_guard,0.45,132,0.9899695095911889,0.01003049040881115,5.070144,26032.0,5.824128,95.84,26032.0,0.9935219749443096,0.0044444444444444444,0.0
switch_guard,0.45,133,0.9748500637919583,0.025149936208042015,6.118496,28927.0,7.30896,97.45,28927.0,0.9837929454012523,0.0,0.0
switch_guard,0.45,134,0.9138045450063345,0.08619545499366835,7.944992,31748.0,10.266176,102.69,31748.0,0.9497724615560541,0.005151515151515152,0.0
switch_guard,0.45,135,0.8159570761343065,0.1840429238656956,6.627456,29060.0,8.396448,115.57,29060.0,0.8328988670295431,0.0029292929292929295,0.0
switch_guard,0.65,131,0.9209733158767504,0.07902668412325123,6.926336,30383.0,8.76144,100.86,30383.0,0.9296647230840964,0.0,0.0
switch_guard,0.65,132,0.9899695095911889,0.01003049040881115,5.069888,26032.0,5.823872,95.56,26032.0,0.9935219749443096,0.0,0.0
switch_guard,0.65,133,0.9748500637919583,0.025149936208042015,6.11824,28927.0,7.308704,97.43,28927.0,0.9837929454012523,0.0,0.0
switch_guard,0.65,134,0.8998040866942355,0.1001959133057673,8.002592,31748.0,10.313248,102.47,31748.0,0.9449280177673579,0.0,0.0
switch_guard,0.65,135,0.8291982811230115,0.17080171887699003,6.698816,29060.0,7.51648,110.85,29060.0,0.8446457306577607,0.0,0.0
ttl,4,131,0.9209733158767504,0.07902668412325123,6.935456,30383.0,8.770784,101.18,30383.0,0.9296647230840964,0.0,0.0
ttl,4,132,0.9899695095911889,0.01003049040881115,5.070144,26032.0,5.824128,95.84,26032.0,0.9935219749443096,0.0044444444444444444,0.0
ttl,4,133,0.9748500637919583,0.025149936208042015,6.118496,28927.0,7.30896,97.45,28927.0,0.9837929454012523,0.0,0.0
ttl,4,134,0.9138045450063345,0.08619545499366835,7.944992,31748.0,10.266176,102.69,31748.0,0.9497724615560541,0.005151515151515152,0.0
ttl,4,135,0.8159570761343065,0.1840429238656956,6.627456,29060.0,8.396448,115.57,29060.0,0.8328988670295431,0.0029292929292929295,0.0
ttl,8,131,0.9209733158767504,0.07902668412325123,6.935456,30383.0,8.770784,101.18,30383.0,0.9296647230840964,0.0,0.0
ttl,8,132,0.9899695095911889,0.01003049040881115,5.070144,26032.0,5.824128,95.84,26032.0,0.9935219749443096,0.0044444444444444444,0.0
ttl,8,133,0.9748500637919583,0.025149936208042015,6.118496,28927.0,7.30896,97.45,28927.0,0.9837929454012523,0.0,0.0
ttl,8,134,0.9138045450063345,0.08619545499366835,7.944992,31748.0,10.266176,102.69,31748.0,0.9497724615560541,0.005151515151515152,0.0
ttl,8,135,0.8159570761343065,0.1840429238656956,6.627456,29060.0,8.396448,115.57,29060.0,0.8328988670295431,0.0029292929292929295,0.0
ttl,12,131,0.9209733158767504,0.07902668412325123,6.935456,30383.0,8.770784,101.18,30383.0,0.9296647230840964,0.0,0.0
ttl,12,132,0.9899695095911889,0.01003049040881115,5.070144,26032.0,5.824128,95.84,26032.0,0.9935219749443096,0.0044444444444444444,0.0
ttl,12,133,0.9748500637919583,0.025149936208042015,6.118496,28927.0,7.30896,97.45,28927.0,0.9837929454012523,0.0,0.0
ttl,12,134,0.9138045450063345,0.08619545499366835,7.944992,31748.0,10.266176,102.69,31748.0,0.9497724615560541,0.005151515151515152,0.0
ttl,12,135,0.8159570761343065,0.1840429238656956,6.627456,29060.0,8.396448,115.57,29060.0,0.8328988670295431,0.0029292929292929295,0.0
w_edge,0.8,131,0.8981918797380647,0.10180812026193725,7.398304,30383.0,9.008224,100.97,30383.0,0.9265378795474636,0.0,0.0
w_edge,0.8,132,0.9899695095911889,0.01003049040881115,5.384448,26032.0,6.138432,95.64,26032.0,0.9935219749443096,0.0044444444444444444,0.0
w_edge,0.8,133,0.9748500637919583,0.025149936208042015,6.348128,28927.0,7.538208,97.44,28927.0,0.9837929454012523,0.0,0.0
w_edge,0.8,134,0.9027477992792508,0.09725220072075193,8.440576,31748.0,11.195648,102.46,31748.0,0.9316190221960069,0.005151515151515152,0.0
w_edge,0.8,135,0.8196648537532142,0.18033514624678776,6.998304,29060.0,8.931424,111.08,29060.0,0.8342233332365772,0.0029292929292929295,0.0
w_edge,1.0,131,0.9209733158767504,0.07902668412325123,6.935456,30383.0,8.770784,101.18,30383.0,0.9296647230840964,0.0,0.0
w_edge,1.0,132,0.9899695095911889,0.01003049040881115,5.070144,26032.0,5.824128,95.84,26032.0,0.9935219749443096,0.0044444444444444444,0.0
w_edge,1.0,133,0.9748500637919583,0.025149936208042015,6.118496,28927.0,7.30896,97.45,28927.0,0.9837929454012523,0.0,0.0
w_edge,1.0,134,0.9138045450063345,0.08619545499366835,7.944992,31748.0,10.266176,102.69,31748.0,0.9497724615560541,0.005151515151515152,0.0
w_edge,1.0,135,0.8159570761343065,0.1840429238656956,6.627456,29060.0,8.396448,115.57,29060.0,0.8328988670295431,0.0029292929292929295,0.0
w_edge,1.2,131,0.9012674715978187,0.09873252840218331,5.676224,30383.0,6.571296,101.03,30383.0,0.9314608186208763,0.0,0.0
w_edge,1.2,132,0.9899695095911889,0.01003049040881115,4.22448,26032.0,4.978464,95.76,26032.0,0.9935219749443096,0.0044444444444444444,0.0
w_edge,1.2,133,0.9748500637919583,0.025149936208042015,5.177568,28927.0,6.368032,97.44,28927.0,0.9837929454012523,0.0,0.0
w_edge,1.2,134,0.928725424285981,0.07127457571402132,6.582016,31748.0,8.5016,102.69,31748.0,0.953968503184696,0.005151515151515152,0.0
w_edge,1.2,135,0.8292740051916602,0.1707259948083415,5.866592,29060.0,6.477088,109.49,29060.0,0.8574413625317883,0.0029292929292929295,0.0
w_nh_pressure,0.2,131,0.8655312803904188,0.13446871960958356,6.97696,30383.0,8.781984,98.66,30383.0,0.9160281869246707,0.0,0.0
w_nh_pressure,0.2,132,0.9676601769206834,0.03233982307931704,5.295008,26032.0,5.772768,94.51,26032.0,0.99083251276041,0.0,0.0
w_nh_pressure,0.2,133,0.9372808170565572,0.06271918294344365,6.723488,28927.0,8.201056,97.08,28927.0,0.9687474355899504,0.0,0.0
w_nh_pressure,0.2,134,0.8956605432948678,0.10433945670513488,7.583008,31748.0,9.631392,98.78,31748.0,0.919707028749902,0.0,0.0
w_nh_pressure,0.2,135,0.7669578064539501,0.23304219354605163,6.400832,29060.0,7.393504,97.04,29060.0,0.7865401477872461,0.0,0.0
w_nh_pressure,0.5,131,0.9209733158767504,0.07902668412325123,6.935456,30383.0,8.770784,101.18,30383.0,0.9296647230840964,0.0,0.0
w_nh_pressure,0.5,132,0.9899695095911889,0.01003049040881115,5.070144,26032.0,5.824128,95.84,26032.0,0.9935219749443096,0.0044444444444444444,0.0
w_nh_pressure,0.5,133,0.9748500637919583,0.025149936208042015,6.118496,28927.0,7.30896,97.45,28927.0,0.9837929454012523,0.0,0.0
w_nh_pressure,0.5,134,0.9138045450063345,0.08619545499366835,7.944992,31748.0,10.266176,102.69,31748.0,0.9497724615560541,0.005151515151515152,0.0
w_nh_pressure,0.5,135,0.8159570761343065,0.1840429238656956,6.627456,29060.0,8.396448,115.57,29060.0,0.8328988670295431,0.0029292929292929295,0.0
w_nh_pressure,0.8,131,0.8963110741420108,0.10368892585799092,7.21248,30383.0,8.837312,101.42,30383.0,0.9220608745836268,0.0,0.0
w_nh_pressure,0.8,132,0.9899695095911889,0.01003049040881115,5.070144,26032.0,5.824128,95.84,26032.0,0.9935219749443096,0.0044444444444444444,0.0
w_nh_pressure,0.8,133,0.9748500637919583,0.025149936208042015,6.129728,28927.0,7.319168,97.68,28927.0,0.9837929454012523,0.0,0.0
w_nh_pressure,0.8,134,0.9027477992792508,0.09725220072075193,8.253728,31748.0,11.018784,102.88,31748.0,0.9316190221960069,0.005151515151515152,0.0
w_nh_pressure,0.8,135,0.8230817379927206,0.17691826200728114,6.860576,29088.0,8.451328,107.79,29088.0,0.848408114449326,0.0029292929292929295,0.0
w_self_pressure,0.7,131,0.9013483701570192,0.09865162984298281,6.644032,30383.0,7.54272,100.78,30383.0,0.932090761189663,0.0,0.0
w_self_pressure,0.7,132,0.9899695095911889,0.01003049040881115,5.069888,26032.0,5.823872,95.76,26032.0,0.9935219749443096,0.0044444444444444444,0.0
w_self_pressure,0.7,133,0.9748500637919583,0.025149936208042015,6.118496,28927.0,7.30896,97.45,28927.0,0.9837929454012523,0.0,0.0
w_self_pressure,0.7,134,0.9139193836137969,0.08608061638620587,7.943648,31748.0,10.26528,102.63,31748.0,0.9498466281567067,0.005151515151515152,0.0
w_self_pressure,0.7,135,0.8069767944234131,0.19302320557658895,6.950848,29115.0,7.322592,107.9,29115.0,0.8355636221430512,0.0029292929292929295,0.0
w_self_pressure,1.0,131,0.9209733158767504,0.07902668412325123,6.935456,30383.0,8.770784,101.18,30383.0,0.9296647230840964,0.0,0.0
w_self_pressure,1.0,132,0.9899695095911889,0.01003049040881115,5.070144,26032.0,5.824128,95.84,26032.0,0.9935219749443096,0.0044444444444444444,0.0
w_self_pressure,1.0,133,0.9748500637919583,0.025149936208042015,6.118496,28927.0,7.30896,97.45,28927.0,0.9837929454012523,0.0,0.0
w_self_pressure,1.0,134,0.9138045450063345,0.08619545499366835,7.944992,31748.0,10.266176,102.69,31748.0,0.9497724615560541,0.005151515151515152,0.0
w_self_pressure,1.0,135,0.8159570761343065,0.1840429238656956,6.627456,29060.0,8.396448,115.57,29060.0,0.8328988670295431,0.0029292929292929295,0.0
w_self_pressure,1.3,131,0.9209733158767504,0.07902668412325123,6.944352,30383.0,8.771904,101.31,30383.0,0.9296647230840964,0.0,0.0
w_self_pressure,1.3,132,0.9899695095911889,0.01003049040881115,5.070144,26032.0,5.824128,95.84,26032.0,0.9935219749443096,0.0044444444444444444,0.0
w_self_pressure,1.3,133,0.9748500637919583,0.025149936208042015,6.118496,28927.0,7.30896,97.45,28927.0,0.9837929454012523,0.0,0.0
w_self_pressure,1.3,134,0.9138045450063345,0.08619545499366835,7.944992,31748.0,10.265984,102.7,31748.0,0.9497724615560541,0.005151515151515152,0.0
w_self_pressure,1.3,135,0.8097413303192883,0.1902586696807139,6.995104,29060.0,7.8232,117.07,29060.0,0.823274107413713,0.0029292929292929295,0.0
