parameter,value,hotspot_burst_delivery_ratio_mean,hotspot_burst_delivery_ratio_ci95,hotspot_total_control_mb_mean,hotspot_total_control_mb_ci95,chaos_route_changes_per_node_mean,chaos_route_changes_per_node_ci95,chaos_total_control_mb_mean,chaos_total_control_mb_ci95,chaos_peak_event_rate_mean,chaos_peak_event_rate_ci95,rebound_ratio_after_release_mean,rebound_ratio_after_release_ci95,post_stage2_route_changes_mean,post_stage2_route_changes_ci95
w_edge,0.8,0.9170848212307353,0.05993586509187505,6.913952,1.0024621374781026,101.518,5.255587141167006,8.5623872,1.6511486542016172,29230.0,1860.3304662559285,0.002505050505050505,0.0021243887325513478,0.0,0.0
w_edge,1.0,0.9231109020801078,0.05996468445553274,6.539308800000001,0.9272453642817878,102.546,6.824219568097142,8.1132992,1.455859472638016,29230.0,1860.3304662559285,0.002505050505050505,0.0021243887325513478,0.0,0.0
w_edge,1.2,0.9248172948917214,0.05620533145164227,5.505376,0.7675311419074039,101.28200000000001,4.69318060747719,6.579295999999999,1.1011867769403552,29230.0,1860.3304662559285,0.002505050505050505,0.0021243887325513478,0.0,0.0
w_self_pressure,0.7,0.9174128243154753,0.06355645154718759,6.545382399999999,0.9285308918661187,100.904,4.165387831354963,7.6526848,1.4140153849961101,29241.0,1859.489817471448,0.002505050505050505,0.0021243887325513478,0.0,0.0
w_self_pressure,1.0,0.9231109020801078,0.05996468445553274,6.539308800000001,0.9272453642817878,102.546,6.824219568097142,8.1132992,1.455859472638016,29230.0,1860.3304662559285,0.002505050505050505,0.0021243887325513478,0.0,0.0
w_self_pressure,1.3,0.9218677529171041,0.062109311348759966,6.6146176,0.9455782347660786,102.874,7.371524823101387,7.998835199999999,1.4518378988842402,29230.0,1860.3304662559285,0.002505050505050505,0.0021243887325513478,0.0,0.0
w_nh_pressure,0.2,0.8866181248232954,0.06786743718394704,6.5958592,0.7419886882087459,97.214,1.5120685465943642,7.9561408,1.2876576470548833,29230.0,1860.3304662559285,0.0,0.0,0.0,0.0
w_nh_pressure,0.5,0.9231109020801078,0.05996468445553274,6.539308800000001,0.9272453642817878,102.546,6.824219568097142,8.1132992,1.455859472638016,29230.0,1860.3304662559285,0.002505050505050505,0.0021243887325513478,0.0,0.0
w_nh_pressure,0.8,0.9173920369594258,0.05899926803502925,6.705331200000001,1.04488312583244,101.122,4.097020775929748,8.290144000000002,1.685764008496689,29235.6,1859.871316692636,0.002505050505050505,0.0021243887325513478,0.0,0.0
switch_guard,0.25,0.9252334124865953,0.05530725313194842,6.5666944,0.9026192003867906,101.86399999999999,5.203936939817778,7.984768,1.296114182557611,29235.6,1859.871316692636,0.002505050505050505,0.0021243887325513478,0.0,0.0
switch_guard,0.45,0.9231109020801078,0.05996468445553274,6.539308800000001,0.9272453642817878,102.546,6.824219568097142,8.1132992,1.455859472638016,29230.0,1860.3304662559285,0.002505050505050505,0.0021243887325513478,0.0,0.0
switch_guard,0.65,0.9229590514154289,0.05632102929716581,6.563174399999999,0.9450857936077958,101.43400000000001,5.196767670158053,7.944748800000001,1.4773550238320463,29230.0,1860.3304662559285,0.0,0.0,0.0,0.0
rebound_guard,0.15,0.9280324199766241,0.05751767711886792,6.5918464,0.8959280891387497,110.24000000000001,9.142285484057034,8.1340928,1.358517022035048,29292.0,1858.857531410086,0.002505050505050505,0.0021243887325513478,0.0,0.0
rebound_guard,0.35,0.9231109020801078,0.05996468445553274,6.539308800000001,0.9272453642817878,102.546,6.824219568097142,8.1132992,1.455859472638016,29230.0,1860.3304662559285,0.002505050505050505,0.0021243887325513478,0.0,0.0
rebound_guard,0.55,0.9181639173221647,0.05803705251140236,6.490681599999999,0.9168878049539184,100.96000000000001,4.729837790030438,7.7831936,1.411753874682206,29230.0,1860.3304662559285,0.002505050505050505,0.0021243887325513478,0.0,0.0
ttl,4,0.9231109020801078,0.05996468445553274,6.539308800000001,0.9272453642817878,102.546,6.824219568097142,8.1132992,1.455859472638016,29230.0,1860.3304662559285,0.002505050505050505,0.0021243887325513478,0.0,0.0
ttl,8,0.9231109020801078,0.05996468445553274,6.539308800000001,0.9272453642817878,102.546,6.824219568097142,8.1132992,1.455859472638016,29230.0,1860.3304662559285,0.002505050505050505,0.0021243887325513478,0.0,0.0
ttl,12,0.9231109020801078,0.05996468445553274,6.539308800000001,0.9272453642817878,102.546,6.824219568097142,8.1132992,1.455859472638016,29230.0,1860.3304662559285,0.002505050505050505,0.0021243887325513478,0.0,0.0
