inhibit_penalty,inhibit_release,slow_weight,initial_convergence_tick,peak_event_rate,pair_reachability_ratio,emitted_updates,route_changes,post_event_route_changes,fire_count,fire_rate_gain,score
0.06,0.05,0.12,6,3171,1.0,21358,3450,3450,6429,1.1111111111111112,13201.233333333334
0.06,0.05,0.22,6,3171,1.0,21358,3450,3450,6429,1.1111111111111112,13201.233333333334
0.06,0.08,0.12,6,3171,1.0,21358,3450,3450,6429,1.1111111111111112,13201.233333333334
0.06,0.08,0.22,6,3171,1.0,21358,3450,3450,6429,1.1111111111111112,13201.233333333334
0.12,0.02,0.12,6,3171,1.0,21358,3450,3450,6429,1.1111111111111112,13201.233333333334
0.12,0.02,0.22,6,3171,1.0,21358,3450,3450,6429,1.1111111111111112,13201.233333333334
0.12,0.05,0.12,6,3171,1.0,21358,3450,3450,6429,1.1111111111111112,13201.233333333334
0.12,0.05,0.22,6,3171,1.0,21358,3450,3450,6429,1.1111111111111112,13201.233333333334
0.12,0.08,0.12,6,3171,1.0,21358,3450,3450,6429,1.1111111111111112,13201.233333333334
0.12,0.08,0.22,6,3171,1.0,21358,3450,3450,6429,1.1111111111111112,13201.233333333334
0.18,0.02,0.12,6,3171,1.0,21358,3450,3450,6429,1.1111111111111112,13201.233333333334
0.18,0.02,0.22,6,3171,1.0,21358,3450,3450,6429,1.1111111111111112,13201.233333333334
0.18,0.05,0.12,6,3171,1.0,21358,3450,3450,6429,1.1111111111111112,13201.233333333334
0.18,0.05,0.22,6,3171,1.0,21358,3450,3450,6429,1.1111111111111112,13201.233333333334
0.18,0.08,0.12,6,3171,1.0,21358,3450,3450,6429,1.1111111111111112,13201.233333333334
0.18,0.08,0.22,6,3171,1.0,21358,3450,3450,6429,1.1111111111111112,13201.233333333334
0.06,0.02,0.12,6,3171,1.0,21350,3446,3446,6427,1.1004273504273505,13202.858974358975
0.06,0.02,0.22,6,3171,1.0,21350,3446,3446,6427,1.1004273504273505,13202.858974358975
0.06,0.02,0.35,6,3171,1.0,21473,3465,3465,6457,1.1805555555555556,13246.983333333334
0.06,0.05,0.35,6,3171,1.0,21481,3469,3469,6459,1.1912393162393162,13277.408974358974
0.06,0.08,0.35,6,3171,1.0,21481,3469,3469,6459,1.1912393162393162,13277.408974358974
0.12,0.02,0.35,6,3171,1.0,21481,3469,3469,6459,1.1912393162393162,13277.408974358974
0.12,0.05,0.35,6,3171,1.0,21481,3469,3469,6459,1.1912393162393162,13277.408974358974
0.12,0.08,0.35,6,3171,1.0,21481,3469,3469,6459,1.1912393162393162,13277.408974358974
0.18,0.02,0.35,6,3171,1.0,21481,3469,3469,6459,1.1912393162393162,13277.408974358974
0.18,0.05,0.35,6,3171,1.0,21481,3469,3469,6459,1.1912393162393162,13277.408974358974
0.18,0.08,0.35,6,3171,1.0,21481,3469,3469,6459,1.1912393162393162,13277.408974358974
