seed,variant,initial_convergence_tick,peak_event_rate,hotspot_escape_count,hotspot_escape_ratio,post_hotspot_route_changes,post_hotspot_fire_ratio,stabilization_tick,emitted_updates,route_changes,post_event_route_changes,fire_rate_gain
81,baseline,4,44899,63,0.006363636363636364,0,0.0,56,214558,12110,12110,1.719602977667494
81,memory_only,4,44899,63,0.006363636363636364,0,0.0,56,187470,12110,12110,1.3957816377171215
81,memory_inhibition,4,31001,27,0.0027272727272727275,0,0.0,56,168978,9303,9303,1.5120967741935483
81,full,4,31001,27,0.0027272727272727275,0,0.0,56,168978,9303,9303,1.5120967741935483
82,baseline,4,40711,139,0.01404040404040404,0,0.0,56,204011,12090,12090,1.62936142198815
82,memory_only,4,40711,139,0.01404040404040404,0,0.0,56,177940,12090,12090,1.3045540796963946
82,memory_inhibition,4,29734,70,0.007070707070707071,0,0.0,56,161094,9380,9380,1.4622474299893653
82,full,4,29734,70,0.007070707070707071,0,0.0,56,161094,9380,9380,1.4622474299893653
83,baseline,4,39540,247,0.02494949494949495,0,0.0,56,205999,12269,12269,1.6199158485273493
83,memory_only,4,39540,247,0.02494949494949495,0,0.0,56,178931,12269,12269,1.3262244132461687
83,memory_inhibition,4,29027,105,0.010606060606060607,0,0.0,56,160636,9421,9421,1.5063907486305539
83,full,4,29027,105,0.010606060606060607,0,0.0,56,160636,9421,9421,1.5063907486305539
84,baseline,4,37133,189,0.019090909090909092,0,0.0,56,192735,12023,12023,1.757455873402313
84,memory_only,4,37133,189,0.019090909090909092,0,0.0,56,167539,12023,12023,1.4105779094950415
84,memory_inhibition,4,28159,88,0.008888888888888889,0,0.0,56,152129,9430,9430,1.5178461915859194
84,full,4,28159,88,0.008888888888888889,0,0.0,56,152129,9430,9430,1.5178461915859194
85,baseline,4,42191,16,0.0016161616161616162,0,0.0,56,204514,12114,12114,1.7249103942652328
85,memory_only,4,42191,16,0.0016161616161616162,0,0.0,56,178686,12114,12114,1.4463534361851333
85,memory_inhibition,4,29879,6,0.0006060606060606061,0,0.0,56,160821,9304,9304,1.5472618154538633
85,full,4,29879,6,0.0006060606060606061,0,0.0,56,160821,9304,9304,1.5472618154538633
