parameter,value,seed,burst_delivery_ratio,burst_loss_ratio,burst_mean_delay,total_emitted_updates,peak_event_rate,rebound_ratio_after_release,post_stage2_route_changes,return_to_stage1_ratio,after_stage2_fire_ratio
threshold,1.1,131,0.9178810651337984,0.08211893486620314,3.1599636030954743,246254.0,30383.0,0.0,0.0,0.0,0.0
threshold,1.1,132,0.9911080295152876,0.00889197048471247,3.05645573675403,183201.0,26032.0,0.0044444444444444444,0.0,0.0044444444444444444,0.0
threshold,1.1,133,0.9804728375624814,0.019527162437518814,2.8818118148177714,215269.0,28927.0,0.0,0.0,0.0,0.0
threshold,1.1,134,0.8981652883726224,0.10183471162738025,3.3991480060905053,286801.0,31748.0,0.005151515151515152,0.0,0.005151515151515152,0.013333333333333334
threshold,1.1,135,0.8361089719013113,0.1638910280986902,3.217418582186777,249374.0,29060.0,0.0029292929292929295,0.0,0.0029292929292929295,0.005208333333333333
threshold,1.4,131,0.9209733158767504,0.07902668412325123,3.1906105756034986,216733.0,30383.0,0.0,0.0,0.0,0.0
threshold,1.4,132,0.9899695095911889,0.01003049040881115,3.057694918500686,158442.0,26032.0,0.0044444444444444444,0.0,0.0044444444444444444,0.0
threshold,1.4,133,0.9748500637919583,0.025149936208042015,2.8879815043918704,191203.0,28927.0,0.0,0.0,0.0,0.0
threshold,1.4,134,0.9138045450063345,0.08619545499366835,3.384819955352744,248281.0,31748.0,0.005151515151515152,0.0,0.005151515151515152,0.0
threshold,1.4,135,0.8159570761343065,0.1840429238656956,3.1866013923376255,207108.0,29060.0,0.0029292929292929295,0.0,0.0029292929292929295,0.0
threshold,1.7,131,0.9063377521325878,0.09366224786741396,3.1843630815764707,183781.0,30383.0,0.0,0.0,0.0,0.0
threshold,1.7,132,0.9899695095911889,0.01003049040881115,3.057694918500686,131999.0,26032.0,0.0044444444444444444,0.0,0.0044444444444444444,0.0
threshold,1.7,133,0.974574353838829,0.02542564616117132,2.8867273952640358,161193.0,28927.0,0.0,0.0,0.0,0.0
threshold,1.7,134,0.8807973705565888,0.11920262944341463,3.4627843229171993,222774.0,31748.0,0.005151515151515152,0.0,0.005151515151515152,0.0
threshold,1.7,135,0.8110964466938573,0.18890355330614467,3.223647274328005,192161.0,29060.0,0.0029292929292929295,0.0,0.0029292929292929295,0.0
refractory_ticks,2,131,0.9154182955774792,0.0845817044225224,3.1908646329311017,233589.0,30383.0,0.0,0.0,0.0,0.0
