parameter,value,burst_delivery_ratio_mean,burst_delivery_ratio_ci95,total_emitted_updates_mean,total_emitted_updates_ci95,rebound_ratio_after_release_mean,rebound_ratio_after_release_ci95,post_stage2_route_changes_mean,post_stage2_route_changes_ci95
threshold,1.1,0.9247472384971,0.05564395416541668,236179.8,34179.66082059306,0.002505050505050505,0.0021243887325513478,0.0,0.0
threshold,1.4,0.9231109020801078,0.05996468445553274,204353.4,28976.417633805875,0.002505050505050505,0.0021243887325513478,0.0,0.0
threshold,1.7,0.9125550865626103,0.06378354040133598,178381.6,29842.58216789586,0.002505050505050505,0.0021243887325513478,0.0,0.0
refractory_ticks,2,0.9256577220438421,0.05461303417671713,224141.2,35965.58846386896,0.002505050505050505,0.0021243887325513478,0.0,0.0
refractory_ticks,4,0.9231109020801078,0.05996468445553274,204353.4,28976.417633805875,0.002505050505050505,0.0021243887325513478,0.0,0.0
refractory_ticks,6,0.9233639323928667,0.060923818980859086,161922.6,21815.45958902209,0.002505050505050505,0.0021243887325513478,0.0,0.0
memory_decay,0.55,0.923628398338664,0.05766376576609962,204823.4,27949.594451247696,0.002505050505050505,0.0021243887325513478,0.0,0.0
memory_decay,0.78,0.9231109020801078,0.05996468445553274,204353.4,28976.417633805875,0.002505050505050505,0.0021243887325513478,0.0,0.0
memory_decay,0.9,0.9215351420918731,0.0657564524825567,205498.4,29167.3051003965,0.002505050505050505,0.0021243887325513478,0.0,0.0
slow_weight,0.15,0.9229902501109087,0.06166206357364714,205442.8,29135.5806477548,0.002505050505050505,0.0021243887325513478,0.0,0.0
slow_weight,0.35,0.9231109020801078,0.05996468445553274,204353.4,28976.417633805875,0.002505050505050505,0.0021243887325513478,0.0,0.0
slow_weight,0.55,0.923223309439669,0.059771867288594606,204359.2,28976.727694753663,0.002505050505050505,0.0021243887325513478,0.0,0.0
