parameter,full_default,baseline_value,memory_only_value
leak,0.15,0.15,0.15
threshold,1.4,1.4,1.4
refractory_ticks,4,4,4
min_emit_ticks,3,3,3
delta_threshold,0.05,0.05,0.05
ttl,12,12,12
alpha,1.0,1.0,1.0
beta,0.5,0.5,0.5
gamma,0.8,0.8,0.8
damage_boost,1.5,1.5,1.5
w_damage,2.0,2.0,2.0
w_edge,1.0,1.0,1.0
w_self_pressure,1.0,1.0,1.0
w_nh_pressure,0.5,0.5,0.5
w_memory,0.5,0.0,0.5
inhibit_penalty,0.18,0.0,0.0
inhibit_release,0.08,0.0,0.0
score_scale,10.0,10.0,10.0
memory_decay,0.78,0.0,0.78
memory_pressure_gain,0.28,0.0,0.28
memory_damage_gain,0.6,0.0,0.6
memory_switch_gain,0.35,0.0,0.35
fast_leak,0.24,0.15,0.24
slow_decay,0.88,0.0,0.0
slow_leak,0.08,0.0,0.0
fast_route_gain,1.0,1.0,1.0
fast_pressure_gain,0.5,0.5,0.5
fast_damage_gain,1.2,1.2,1.2
slow_pressure_gain,0.1,0.0,0.0
slow_damage_gain,0.22,0.0,0.0
slow_weight,0.35,0.0,0.0
switch_guard,0.45,0.0,0.0
rebound_guard,0.35,0.0,0.0
selected_memory_boost,0.25,0.0,0.0
deselected_memory_boost,0.55,0.0,0.0
