topology,seed,method,burst_multiplier,per_flow_load_to_capacity_ratio,burst_mean_delivery_ratio,burst_mean_loss_ratio,burst_mean_delay,burst_mean_path_stretch,burst_mean_control_messages,burst_mean_control_bytes,burst_mean_route_changes,hotspot_peak_pressure,hotspot_relief_tick_after_shock,quieting_tick_after_shock,total_emitted_updates,total_control_bytes,total_route_changes,total_route_changes_per_node,peak_event_rate
er,121,bandit,2.0,0.04,0.9998185200308517,0.00018147996914840691,2.92414665900275,1.0,20435.516129032258,653936.5161290322,4069.0,0.04800000000000025,0,1,3226771,103256672.0,678084,6780.84,21681
er,121,ospf_te,2.0,0.04,1.0,0.0,2.92405063291139,1.0,12192.967741935483,390174.96774193546,0.0,0.0,0,4,1934434,61901888.0,12950,129.5,14058
er,121,snn_sra,2.0,0.04,0.9442602074910619,0.05573979250893975,3.059472659401043,1.0330922412458443,867.0645161290323,27746.064516129034,17.0,1.8,6,89,261957,8382624.0,9809,98.09,31265
er,121,te_ecmp,2.0,0.04,1.0000000000000033,0.0,2.924050632911384,1.0,24323.516129032258,778352.5161290322,0.0,0.0,0,4,3825230,122407360.0,20354,203.54,28419
er,121,triggered_te,2.0,0.04,0.9907805948551484,0.00921940514485217,2.9318021325604824,1.0001819171684478,10349.258064516129,331176.2580645161,3.4193548387096775,0.5520000000000026,0,3,1740182,55685824.0,11348,113.48,40179
er,122,bandit,2.0,0.04,1.0,0.0,3.0305732484076215,1.0,18580.064516129034,594562.0645161291,3740.8709677419356,0.0,0,1,2928679,93717728.0,619905,6199.05,19602
er,122,ospf_te,2.0,0.04,1.0,0.0,3.0305732484076215,1.0,11161.451612903225,357166.4516129032,0.0,0.0,0,1,1752088,56066816.0,13473,134.73,12177
er,122,snn_sra,2.0,0.04,0.9363388501456409,0.06366114985435839,3.0831943315867116,1.0082322243381883,507.7741935483871,16248.774193548386,10.935483870967742,1.7280000000000033,0,89,199488,6383616.0,9677,96.77,27276
er,122,te_ecmp,2.0,0.04,0.9999999999999967,0.0,3.030573248407644,1.0,21143.225806451614,676583.2258064516,0.0,0.0,0,1,3290005,105280160.0,19587,195.87,22668
er,122,triggered_te,2.0,0.04,1.0,0.0,3.0305732484076215,1.0,9296.41935483871,297485.4193548387,0.0,0.0,0,1,1577759,50488288.0,11337,113.37,35508
er,123,bandit,2.0,0.04,0.9994245743133396,0.0005754256866603961,3.072322300755128,1.0,20556.870967741936,657819.8709677419,4175.032258064516,0.0960000000000005,0,1,3247675,103925600.0,702625,7026.25,21483
er,123,ospf_te,2.0,0.04,0.9788858600427675,0.02111413995723208,3.093777414151341,1.0026761802825315,12311.129032258064,393956.12903225806,86.64516129032258,0.672000000000001,2,1,1947458,62318656.0,16493,164.93,12870
er,123,snn_sra,2.0,0.04,0.9241185543571281,0.07588144564287147,3.244408038165416,1.037432656136384,753.741935483871,24119.74193548387,15.096774193548388,1.8,5,89,229253,7336096.0,9746,97.46,31161
er,123,te_ecmp,2.0,0.04,0.9894132966836202,0.01058670331637385,3.0779970727931993,1.0,24426.032258064515,781633.0322580645,104.70967741935483,0.38119999999999965,0,1,3871836,123898752.0,25185,251.85,25867
er,123,triggered_te,2.0,0.04,0.9844563911054932,0.01554360889450653,3.136023645639687,1.0189412817898507,10912.838709677419,349210.8387096774,12.03225806451613,1.092000000000002,0,1,1771540,56689280.0,11893,118.93,40827
er,124,bandit,2.0,0.04,0.9981406057913308,0.0018593942086693894,2.925998982211556,1.0,19579.645161290322,626548.6451612903,3864.516129032258,0.27600000000000063,0,1,3090025,98880800.0,645685,6456.85,20889
er,124,ospf_te,2.0,0.04,1.0,5.840649274441425e-17,2.9245852187028576,1.0,11793.774193548386,377400.77419354836,64.0,1.2789769243681805e-15,0,1,1848071,59138272.0,15712,157.12,13959
