topology,seed,method,burst_multiplier,per_flow_load_to_capacity_ratio,burst_mean_delivery_ratio,burst_mean_loss_ratio,burst_mean_delay,burst_mean_path_stretch,burst_mean_control_messages,burst_mean_control_bytes,burst_mean_route_changes,hotspot_peak_pressure,hotspot_relief_tick_after_shock,quieting_tick_after_shock,total_emitted_updates,total_control_bytes,total_route_changes,total_route_changes_per_node,peak_event_rate
rgg,121,bandit,2.0,0.04,0.6767251982154213,0.32327480178457385,4.596453310409221,1.0086051604347874,25114.064516129034,803650.0645161291,3425.3870967741937,0.0,43,13,3875158,124005056.0,574404,5744.04,26136
rgg,121,ospf_te,2.0,0.04,0.7316221570466735,0.26837784295332195,4.13351622358427,1.0118462573873448,15073.548387096775,482353.5483870968,448.5806451612903,0.0,39,9,2301400,73644800.0,65461,654.61,15840
rgg,121,snn_sra,2.0,0.04,0.6678945282873671,0.3321054717126272,3.896208236182149,1.009316282147656,1605.225806451613,51367.22580645161,130.83870967741936,0.0,99,79,217861,6971552.0,14193,141.93,18002
rgg,121,te_ecmp,2.0,0.04,0.7273983045301097,0.2726016954698872,4.06258913855062,1.0145187902462907,26876.09677419355,860035.0967741936,866.483870967742,0.0,41,11,4376735,140055520.0,125948,1259.48,33105
rgg,121,triggered_te,2.0,0.04,0.6410079436016438,0.3589920563983503,3.9276500098565865,1.0270609427186816,14534.709677419354,465110.70967741933,87.96774193548387,0.0,119,89,2217312,70953984.0,16734,167.34,29683
rgg,122,bandit,2.0,0.04,0.7082494250961731,0.291750574903824,5.283023570839264,1.0038392774146838,24804.290322580644,793737.2903225806,3371.0,1.8,119,89,3860576,123538432.0,584229,5842.29,25443
rgg,122,ospf_te,2.0,0.04,0.856594691055298,0.1434053089447002,5.46293609838715,1.045287185432919,14885.129032258064,476324.12903225806,377.2258064516129,0.8640000000000004,12,1,2300817,73626144.0,46029,460.29,15840
rgg,122,snn_sra,2.0,0.04,0.6874129628123716,0.31258703718762476,4.95293816064211,1.0030446962079171,1015.6129032258065,32499.612903225807,21.903225806451612,1.4400000000000046,119,89,253943,8126176.0,11363,113.63,19356
rgg,122,te_ecmp,2.0,0.04,0.8134532382378927,0.18654676176209933,5.403809645775199,1.039012246788891,27950.548387096773,894417.5483870967,900.9677419354839,0.7755999999999983,32,2,4775306,152809792.0,90612,906.12,35665
rgg,122,triggered_te,2.0,0.04,0.7125383654511863,0.28746163454881046,5.282258416223715,1.0457594984569394,14944.064516129032,478210.06451612903,94.51612903225806,0.9959999999999949,66,36,2275136,72804352.0,17345,173.45,29863
rgg,123,bandit,2.0,0.04,0.46568699405288116,0.5343130059471154,7.53592421184439,1.027272640522279,23450.225806451614,750407.2258064516,1981.4193548387098,1.8,119,89,3599950,115198400.0,372698,3726.98,24354
rgg,123,ospf_te,2.0,0.04,0.5147836220632238,0.4852163779367723,6.482253300982943,1.0612060810758028,14067.58064516129,450162.5806451613,622.9354838709677,1.8,77,47,2127216,68070912.0,86798,867.98,15444
rgg,123,snn_sra,2.0,0.04,0.46615560272979484,0.5338443972702012,6.221197554383476,1.0812887942829392,3428.6774193548385,109717.67741935483,236.06451612903226,1.7280000000000009,119,89,329100,10531200.0,17256,172.56,17637
rgg,123,te_ecmp,2.0,0.04,0.45524033566385447,0.5447596643361411,6.638794181118725,1.0714477276533594,21399.548387096773,684785.5483870967,1196.967741935484,1.8,48,89,3326143,106436576.0,157188,1571.88,31823
rgg,123,triggered_te,2.0,0.04,0.5299957337274407,0.47000426627255565,6.018166082367651,1.023343831416605,15777.548387096775,504881.5483870968,171.25806451612902,1.416000000000001,83,53,2412323,77194336.0,21618,216.18,25923
rgg,124,bandit,2.0,0.04,0.9973749950766077,0.0026250049233920306,4.642493656328392,1.0,24868.16129032258,795781.1612903225,3642.516129032258,0.0,0,1,3842398,122956736.0,620005,6200.05,26433
