method,burst_multiplier,per_flow_load_to_capacity_ratio,delivery_mean,delivery_ci95,path_stretch_mean,path_stretch_ci95,control_bytes_mean,control_bytes_ci95,route_changes_per_node_mean,route_changes_per_node_ci95,burst_route_changes_mean,burst_route_changes_ci95,hotspot_relief_ms_mean,hotspot_relief_ms_ci95,quieting_ms_mean,quieting_ms_ci95,peak_pressure_mean
snn_sra,2.0,0.04,0.6474410912458994,0.1514176171246822,1.0394808864158485,0.03519545776572858,10026560.0,4010712.186261878,140.878,28.310366061752006,118.70322580645161,77.31314952202895,774.0,435.39360767011726,870.0,39.199999999999996,0.993600000000001
ospf_te,2.0,0.04,0.7503513905483901,0.14732757437871588,1.0371366762062675,0.023848419783345304,72965011.2,2608287.0045512617,584.058,171.76914761618397,491.51612903225805,79.64681846431802,342.0,262.77160881647774,142.0,167.04904190087413,0.8928
triggered_te,2.0,0.04,0.6843836201708207,0.1371311369484089,1.0342324843637232,0.018820518996735168,75632646.4,5248822.290571385,188.346,29.8490069901429,129.3548387096774,39.92450608406059,800.0,385.47773995394334,536.0,327.47840478419334,0.8423999999999993
te_ecmp,2.0,0.04,0.7314429576906385,0.16522877663874716,1.0336546880874953,0.02383991438315325,141202809.6,17819617.035268806,1130.324,295.0302843392074,1014.4193548387096,137.1966318004875,318.0,163.79784613968522,224.0,328.5324848473892,0.8527199999999999
bandit,2.0,0.04,0.7116977778207823,0.16594690570593845,1.0122046347928246,0.010201135494046458,122673920.0,4003710.9761755066,5406.184,850.5913410347378,3086.316129032258,576.7536148066457,628.0,470.82447514971017,390.0,402.0628408594855,1.0368000000000008
snn_sra,3.0,0.06000000000000001,0.5192823216014167,0.10389582981668352,1.072339237691743,0.03856171981684717,14862073.6,3902800.6454397067,180.9,31.006265826635747,230.21290322580643,88.89376065874426,890.0,362.679450755071,890.0,0.0,1.08
ospf_te,3.0,0.06000000000000001,0.5546133546210659,0.13380146160979234,1.0645862855365067,0.024189975153268827,72965011.2,2608287.0045512617,664.4519999999999,89.02229193107979,656.2903225806451,97.26136799311314,636.0,305.1311481969679,336.0,305.1311481969679,1.08
triggered_te,3.0,0.06000000000000001,0.5049640758450342,0.13479990384505394,1.0561367709658134,0.026677781946601507,75656915.2,2274633.3290645205,209.68800000000002,25.23293175369045,169.50967741935483,47.73028064784623,1054.0,266.55999999999995,754.0,266.55999999999995,0.9191999999999989
te_ecmp,3.0,0.06000000000000001,0.5388817943955683,0.14134684953882448,1.0523767530222046,0.020503664381816597,130987475.2,14014080.368150871,1101.8619999999999,241.13804139293822,1084.2193548387097,162.72213123933633,724.0,354.0825576048614,426.0,356.3536580421197,1.08
bandit,3.0,0.06000000000000001,0.5887793059204866,0.15951080525621994,1.025103275227902,0.01640493640167941,122673920.0,4003710.9761755066,4590.8,644.3855636731661,2512.9354838709673,353.5765457566714,584.0,321.3204655791473,284.0,321.3204655791473,1.08
snn_sra,4.0,0.08,0.4367558370656256,0.10407406579215266,1.081451047368336,0.022991828934376738,19447052.8,3596963.275689207,218.414,40.78494086862944,336.18064516129033,124.23853367466808,918.0,336.2642627458351,890.0,0.0,1.08
ospf_te,4.0,0.08,0.4070138614977655,0.1157629502784559,1.0954142711467774,0.03474173024216349,72965011.2,2608287.0045512617,611.798,132.3608340539693,650.6709677419356,61.48839670903833,720.0,376.4016578071887,420.0,376.4016578071887,1.0128000000000001
triggered_te,4.0,0.08,0.38961373649720465,0.12532968652612153,1.0806570939556401,0.031188796324611096,79438720.0,3842289.4205312678,254.49000000000007,33.68233739205163,224.34838709677416,16.97067566640768,1190.0,0.0,890.0,0.0,0.8519999999999991
te_ecmp,4.0,0.08,0.436855584658122,0.12091925585966508,1.0614303209040634,0.024846621010423214,127491616.0,11913529.576529138,1091.0900000000001,245.42337873658244,1171.1741935483872,153.86082633711695,656.0,268.7130692765054,356.0,268.7130692765054,1.08
bandit,4.0,0.08,0.46246284093277756,0.1406141309708222,1.0405114147748065,0.012825287920372186,122673920.0,4003710.9761755066,4062.714,570.6626374523371,2103.4774193548387,294.3663953000404,556.0,312.90097091571954,256.0,312.90097091571954,1.08
snn_sra,5.0,0.1,0.36223168681357126,0.08456010275545857,1.1063798613144464,0.007794633750242892,25995724.8,6274873.728961629,279.13800000000003,67.54302118411938,465.8,183.98362301564944,956.0,298.89839343830533,890.0,0.0,1.08
ospf_te,5.0,0.1,0.31621049665861667,0.12451405408129364,1.0975879115490321,0.04059876022301264,72965011.2,2608287.0045512617,634.922,98.8425509479313,616.083870967742,81.74319886245208,880.0,269.5267259475394,580.0,269.5267259475394,0.984
triggered_te,5.0,0.1,0.3127855351026395,0.11265546167310446,1.0900707685998632,0.018971403487771828,78236435.2,518077.44489938027,255.81799999999998,14.640141771663279,258.083870967742,45.20590158925489,1190.0,0.0,890.0,0.0,0.9720000000000001
te_ecmp,5.0,0.1,0.34201074216919647,0.11008243712017961,1.0677769367742054,0.026761346041412615,120580774.4,12816888.012496144,1022.7860000000001,135.8200495491354,1136.516129032258,121.76330572167687,1036.0,301.84,736.0,301.84,1.08
bandit,5.0,0.1,0.3960467071338637,0.12118792028892664,1.0488376873613379,0.014751150448642133,122673920.0,4003710.9761755066,3798.4080000000004,457.8711208398695,1909.8709677419356,247.04639268166608,856.0,400.991283695793,556.0,400.991283695793,1.08
