method,burst_multiplier,delivery_pct,delivery_ci95
snn_sra,2.0,92.68637857608945,1.7881763273533438
ospf_te,2.0,99.40355435013608,1.166654441208162
te_ecmp,2.0,99.68383929311344,0.3901388812680566
bandit,2.0,99.88738719742527,0.1339249660391234
snn_sra,3.0,93.6108955144495,1.4277652194483703
ospf_te,3.0,95.9650892999286,2.25972509330405
te_ecmp,3.0,96.99915786326811,1.8694506325603792
bandit,3.0,96.88536244117569,1.533642426506027
snn_sra,4.0,89.97289620467346,2.757373182929889
ospf_te,4.0,95.0545391382574,3.2787289379014464
te_ecmp,4.0,95.47513777601152,2.5391140522811786
bandit,4.0,93.68575266079212,2.673770141984507
snn_sra,5.0,85.8001342426744,4.47129668351237
ospf_te,5.0,91.17846049777563,3.7250426578668514
te_ecmp,5.0,93.02382811105772,3.342829774605062
bandit,5.0,90.91796136014739,3.663208125564736
